time,lat,lon,rcp26_rx5day_p10,rcp26_rx5day_p50,rcp26_rx5day_p90,rcp45_rx5day_p10,rcp45_rx5day_p50,rcp45_rx5day_p90,rcp85_rx5day_p10,rcp85_rx5day_p50,rcp85_rx5day_p90
1950-01-01,60.54,-136.46,25.65,34.39,54.47,25.99,34.86,52.69,25.41,34.86,52.31
1951-01-01,60.54,-136.46,25.47,32.45,40.63,25.47,33.03,40.69,25.47,33.03,40.69
1952-01-01,60.54,-136.46,24.18,32.13,48.90,24.06,31.16,46.63,24.02,31.16,49.55
1953-01-01,60.54,-136.46,24.18,30.60,43.75,23.84,30.60,43.75,24.30,30.60,43.75
1954-01-01,60.54,-136.46,23.21,32.43,48.23,23.33,32.28,47.37,22.26,32.29,46.47
1955-01-01,60.54,-136.46,26.54,35.97,46.56,26.00,35.68,45.02,25.61,34.34,45.02
1956-01-01,60.54,-136.46,25.71,32.46,51.96,25.12,32.46,51.96,24.62,32.46,51.96
1957-01-01,60.54,-136.46,24.31,33.87,40.16,23.82,33.23,40.16,23.99,33.24,39.38
1958-01-01,60.54,-136.46,27.61,33.08,41.27,26.74,33.14,41.27,26.19,33.95,41.27
1959-01-01,60.54,-136.46,26.68,32.55,37.82,26.73,31.70,38.63,24.52,31.11,38.12
1960-01-01,60.54,-136.46,27.11,35.20,42.57,25.85,35.16,42.69,25.48,34.38,42.69
1961-01-01,60.54,-136.46,24.65,32.95,44.27,25.32,32.95,42.78,26.56,32.01,42.78
1962-01-01,60.54,-136.46,24.36,30.57,39.83,24.28,30.27,39.76,24.89,29.45,41.70
1963-01-01,60.54,-136.46,27.04,30.82,39.06,27.70,30.91,39.06,27.60,30.19,39.06
1964-01-01,60.54,-136.46,21.32,32.75,52.55,21.23,33.78,54.32,21.32,31.59,54.43
1965-01-01,60.54,-136.46,24.72,29.24,39.71,24.69,28.89,39.80,24.22,28.89,39.80
1966-01-01,60.54,-136.46,24.17,31.13,45.42,24.17,31.36,45.42,24.95,32.82,45.42
1967-01-01,60.54,-136.46,21.66,33.06,50.03,22.67,33.06,48.14,23.24,33.06,48.14
1968-01-01,60.54,-136.46,23.96,31.58,40.45,23.96,31.07,40.80,23.96,31.15,40.02
1969-01-01,60.54,-136.46,26.85,32.29,40.24,26.80,32.29,41.06,26.38,32.12,41.74
1970-01-01,60.54,-136.46,27.42,33.99,42.52,26.15,33.93,42.52,26.78,33.36,41.66
1971-01-01,60.54,-136.46,26.74,31.92,48.70,26.61,31.80,48.46,27.06,31.77,48.52
1972-01-01,60.54,-136.46,26.94,31.07,49.81,26.94,31.16,49.81,26.94,31.09,48.79
1973-01-01,60.54,-136.46,24.94,34.03,53.01,24.10,32.84,53.01,24.11,32.90,53.01
1974-01-01,60.54,-136.46,27.78,33.57,52.06,27.71,33.57,52.04,27.59,33.57,52.04
1975-01-01,60.54,-136.46,26.33,32.86,42.91,26.63,35.05,42.91,26.94,33.78,42.91
1976-01-01,60.54,-136.46,24.90,31.98,40.98,24.90,31.98,40.41,24.90,31.98,41.17
1977-01-01,60.54,-136.46,27.33,34.71,47.71,27.44,34.69,49.33,27.44,35.13,49.33
1978-01-01,60.54,-136.46,27.08,35.25,42.95,26.92,35.16,42.95,26.93,34.36,42.94
1979-01-01,60.54,-136.46,26.85,33.09,47.54,27.75,34.19,53.77,26.85,33.09,50.97
1980-01-01,60.54,-136.46,24.87,30.41,49.82,24.24,30.32,49.58,24.24,30.44,49.03
1981-01-01,60.54,-136.46,23.85,31.10,45.98,23.37,31.16,46.80,23.77,32.20,46.16
1982-01-01,60.54,-136.46,25.60,33.76,44.87,26.78,32.76,45.22,26.27,33.31,45.17
1983-01-01,60.54,-136.46,26.24,31.30,44.12,26.24,31.73,44.19,26.12,31.45,44.49
1984-01-01,60.54,-136.46,23.11,32.74,43.66,23.09,32.10,44.02,23.06,33.47,44.04
1985-01-01,60.54,-136.46,29.66,33.45,46.45,28.62,33.47,46.20,28.96,32.86,48.04
1986-01-01,60.54,-136.46,23.91,31.48,43.28,23.59,31.33,45.35,24.00,30.20,44.37
1987-01-01,60.54,-136.46,28.42,34.56,49.90,28.30,35.05,50.86,28.21,35.21,52.30
1988-01-01,60.54,-136.46,26.18,31.98,39.14,26.18,32.17,38.91,25.58,32.76,39.90
1989-01-01,60.54,-136.46,24.19,30.38,53.22,24.27,30.12,54.14,24.09,30.21,41.72
1990-01-01,60.54,-136.46,25.57,30.38,48.06,25.22,30.15,47.79,25.39,29.74,49.69
1991-01-01,60.54,-136.46,27.11,32.24,44.30,27.27,33.12,44.01,27.26,31.90,44.41
