time,lat,lon,rcp26_tx_mean_p10,rcp26_tx_mean_p50,rcp26_tx_mean_p90,rcp45_tx_mean_p10,rcp45_tx_mean_p50,rcp45_tx_mean_p90,rcp85_tx_mean_p10,rcp85_tx_mean_p50,rcp85_tx_mean_p90
1950-01-01,60.54,-136.46,-1.45,-0.15,1.59,-1.45,-0.15,1.59,-1.45,-0.15,1.59
1951-01-01,60.54,-136.46,-1.19,-0.05,1.27,-1.19,-0.05,1.27,-1.19,-0.05,1.27
1952-01-01,60.54,-136.46,-2.22,-0.25,1.69,-2.22,-0.25,1.69,-2.22,-0.25,1.69
1953-01-01,60.54,-136.46,-2.13,-0.39,1.18,-2.13,-0.39,1.18,-2.13,-0.39,1.18
1954-01-01,60.54,-136.46,-1.27,0.10,1.26,-1.27,0.10,1.26,-1.27,0.10,1.26
1955-01-01,60.54,-136.46,-2.12,-0.66,1.12,-2.12,-0.66,1.12,-2.12,-0.66,1.12
1956-01-01,60.54,-136.46,-1.70,0.07,1.44,-1.70,0.07,1.44,-1.70,0.07,1.44
1957-01-01,60.54,-136.46,-1.90,-0.48,1.42,-1.90,-0.48,1.42,-1.90,-0.48,1.42
1958-01-01,60.54,-136.46,-1.49,-0.20,1.46,-1.49,-0.20,1.46,-1.49,-0.20,1.46
1959-01-01,60.54,-136.46,-1.64,-0.17,1.84,-1.64,-0.17,1.84,-1.64,-0.17,1.84
1960-01-01,60.54,-136.46,-1.64,-0.41,1.76,-1.64,-0.41,1.76,-1.64,-0.41,1.76
1961-01-01,60.54,-136.46,-1.55,-0.03,1.67,-1.55,-0.03,1.67,-1.55,-0.03,1.67
1962-01-01,60.54,-136.46,-1.85,-0.53,1.47,-1.85,-0.53,1.47,-1.85,-0.53,1.47
1963-01-01,60.54,-136.46,-2.12,-0.20,0.82,-2.12,-0.20,0.82,-2.12,-0.20,0.82
1964-01-01,60.54,-136.46,-2.14,-0.53,0.62,-2.14,-0.53,0.62,-2.14,-0.53,0.62
1965-01-01,60.54,-136.46,-1.51,-0.40,1.16,-1.51,-0.40,1.16,-1.51,-0.40,1.16
1966-01-01,60.54,-136.46,-2.20,-0.56,0.98,-2.20,-0.56,0.98,-2.20,-0.56,0.98
1967-01-01,60.54,-136.46,-1.64,0.42,1.28,-1.64,0.42,1.28,-1.64,0.42,1.28
1968-01-01,60.54,-136.46,-1.99,-0.59,0.24,-1.99,-0.59,0.24,-1.99,-0.59,0.24
1969-01-01,60.54,-136.46,-2.02,0.05,1.55,-2.02,0.05,1.55,-2.02,0.05,1.55
1970-01-01,60.54,-136.46,-1.54,0.09,1.31,-1.54,0.09,1.31,-1.54,0.09,1.32
1971-01-01,60.54,-136.46,-1.06,-0.20,1.99,-1.06,-0.20,1.99,-1.06,-0.20,1.99
1972-01-01,60.54,-136.46,-1.74,-0.68,0.95,-1.74,-0.68,0.95,-1.74,-0.68,0.95
1973-01-01,60.54,-136.46,-1.90,-0.18,1.73,-1.90,-0.18,1.73,-1.90,-0.18,1.73
1974-01-01,60.54,-136.46,-1.80,0.05,1.04,-1.80,0.05,1.04,-1.80,0.05,1.04
1975-01-01,60.54,-136.46,-1.69,0.24,1.59,-1.69,0.24,1.59,-1.69,0.24,1.59
1976-01-01,60.54,-136.46,-1.82,0.21,1.97,-1.82,0.21,1.97,-1.82,0.21,1.97
1977-01-01,60.54,-136.46,-1.41,0.18,1.23,-1.41,0.18,1.23,-1.41,0.18,1.23
1978-01-01,60.54,-136.46,-1.04,0.28,1.37,-1.04,0.28,1.37,-1.04,0.28,1.37
1979-01-01,60.54,-136.46,-1.82,0.25,1.90,-1.82,0.25,1.90,-1.82,0.25,1.90
1980-01-01,60.54,-136.46,-1.99,-0.05,1.26,-2.02,-0.05,1.25,-2.01,-0.07,1.25
1981-01-01,60.54,-136.46,-1.81,-0.48,1.39,-1.80,-0.49,1.43,-1.79,-0.52,1.41
1982-01-01,60.54,-136.46,-2.08,-0.59,0.45,-2.05,-0.56,0.42,-2.04,-0.59,0.45
1983-01-01,60.54,-136.46,-2.10,0.27,1.30,-2.11,0.27,1.30,-2.09,0.25,1.34
1984-01-01,60.54,-136.46,-1.22,0.32,1.56,-1.22,0.32,1.55,-1.23,0.33,1.58
1985-01-01,60.54,-136.46,-1.76,-0.02,0.66,-1.73,-0.03,0.69,-1.76,-0.03,0.66
1986-01-01,60.54,-136.46,-1.75,-0.33,1.13,-1.76,-0.32,1.17,-1.78,-0.29,1.14
1987-01-01,60.54,-136.46,-1.20,0.27,1.23,-1.18,0.29,1.25,-1.22,0.27,1.24
1988-01-01,60.54,-136.46,-1.48,0.52,1.28,-1.49,0.54,1.33,-1.48,0.56,1.28
1989-01-01,60.54,-136.46,-1.06,-0.20,2.14,-1.05,-0.19,2.13,-1.06,-0.22,2.15
1990-01-01,60.54,-136.46,-1.45,-0.09,2.39,-1.45,-0.08,2.48,-1.45,-0.09,2.47
1991-01-01,60.54,-136.46,-1.54,-0.47,1.12,-1.55,-0.47,1.15,-1.54,-0.46,1.16
1992-01-01,60.54,-136.46,-0.97,0.24,1.46,-0.95,0.23,1.48,-0.97,0.23,1.49
1993-01-01,60.54,-136.46,-0.60,0.45,2.04,-0.57,0.46,2.07,-0.61,0.47,2.08
1994-01-01,60.54,-136.46,-1.32,-0.35,0.61,-1.29,-0.33,0.64,-1.25,-0.33,0.64
1995-01-01,60.54,-136.46,-2.10,-0.48,1.46,-2.10,-0.49,1.46,-2.11,-0.48,1.49
1996-01-01,60.54,-136.46,-1.36,-0.04,1.47,-1.32,-0.05,1.48,-1.35,-0.04,1.52
1997-01-01,60.54,-136.46,-1.60,0.72,2.05,-1.60,0.72,2.07,-1.60,0.71,2.06
1998-01-01,60.54,-136.46,-0.81,0.62,1.38,-0.80,0.59,1.40,-0.76,0.60,1.41
1999-01-01,60.54,-136.46,-0.46,0.79,1.75,-0.49,0.79,1.76,-0.50,0.77,1.74
2000-01-01,60.54,-136.46,-1.05,0.41,2.23,-1.06,0.42,2.20,-1.02,0.43,2.24
2001-01-01,60.54,-136.46,-0.83,0.54,2.74,-0.82,0.52,2.81,-0.82,0.53,2.79
2002-01-01,60.54,-136.46,-0.26,1.01,2.18,-0.27,0.98,2.17,-0.31,0.97,2.20
2003-01-01,60.54,-136.46,-1.29,0.43,2.54,-1.28,0.44,2.60,-1.32,0.44,2.56
2004-01-01,60.54,-136.46,-0.54,1.04,2.86,-0.51,1.04,2.84,-0.48,1.04,2.87
2005-01-01,60.54,-136.46,-0.31,1.21,2.24,-0.20,1.21,2.24,-0.40,1.25,2.22
2006-01-01,60.54,-136.46,-0.48,1.42,2.84,0.21,1.18,3.14,-0.68,0.77,3.00
2007-01-01,60.54,-136.46,-0.47,1.25,3.41,-0.98,0.30,2.06,-0.61,0.89,2.88
2008-01-01,60.54,-136.46,-1.21,1.01,2.58,-0.25,0.61,1.85,-1.02,0.36,2.54
2009-01-01,60.54,-136.46,-0.36,1.20,3.31,-0.94,1.19,2.80,-0.44,1.28,2.84
2010-01-01,60.54,-136.46,-0.20,1.00,2.73,-0.43,0.82,2.60,-0.97,1.10,2.64
