time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,60.54,-136.46,-6.53,-5.15,-3.56,-6.53,-5.15,-3.56,-6.53,-5.15,-3.56
1951-01-01,60.54,-136.46,-6.39,-5.35,-3.84,-6.39,-5.35,-3.84,-6.39,-5.40,-3.84
1952-01-01,60.54,-136.46,-7.21,-5.41,-3.66,-7.21,-5.41,-3.66,-7.21,-5.41,-3.66
1953-01-01,60.54,-136.46,-7.44,-5.31,-4.04,-7.44,-5.31,-4.04,-7.44,-5.31,-4.04
1954-01-01,60.54,-136.46,-6.49,-5.09,-3.95,-6.49,-5.09,-3.95,-6.49,-5.09,-3.95
1955-01-01,60.54,-136.46,-7.18,-5.81,-3.87,-7.18,-5.81,-3.87,-7.18,-5.81,-3.95
1956-01-01,60.54,-136.46,-6.72,-5.04,-3.77,-6.72,-5.04,-3.77,-6.72,-5.04,-3.81
1957-01-01,60.54,-136.46,-6.93,-5.66,-3.61,-6.93,-5.66,-3.61,-6.93,-5.69,-3.61
1958-01-01,60.54,-136.46,-6.62,-5.46,-3.79,-6.62,-5.46,-3.79,-6.71,-5.46,-3.79
1959-01-01,60.54,-136.46,-6.73,-5.38,-3.47,-6.73,-5.38,-3.47,-6.73,-5.38,-3.47
1960-01-01,60.54,-136.46,-6.58,-5.76,-3.38,-6.58,-5.76,-3.38,-6.58,-5.76,-3.38
1961-01-01,60.54,-136.46,-6.97,-5.18,-3.79,-6.97,-5.18,-3.79,-6.97,-5.18,-3.79
1962-01-01,60.54,-136.46,-6.70,-5.57,-3.77,-6.70,-5.57,-3.77,-6.70,-5.57,-3.77
1963-01-01,60.54,-136.46,-7.24,-5.47,-4.27,-7.24,-5.47,-4.27,-7.24,-5.47,-4.27
1964-01-01,60.54,-136.46,-7.33,-5.80,-4.48,-7.33,-5.80,-4.48,-7.33,-5.80,-4.48
1965-01-01,60.54,-136.46,-6.62,-5.64,-3.85,-6.62,-5.64,-3.85,-6.62,-5.64,-3.85
1966-01-01,60.54,-136.46,-7.20,-5.71,-4.36,-7.20,-5.71,-4.36,-7.20,-5.71,-4.36
1967-01-01,60.54,-136.46,-6.86,-4.99,-3.73,-6.86,-4.99,-3.73,-6.86,-5.05,-3.73
1968-01-01,60.54,-136.46,-7.02,-5.68,-4.86,-7.02,-5.68,-4.86,-7.02,-5.68,-4.86
1969-01-01,60.54,-136.46,-7.08,-5.01,-3.68,-7.08,-5.01,-3.68,-7.08,-5.01,-3.68
1970-01-01,60.54,-136.46,-6.86,-4.99,-3.79,-6.86,-4.99,-3.79,-6.86,-5.05,-3.79
1971-01-01,60.54,-136.46,-6.33,-5.41,-3.00,-6.33,-5.41,-3.00,-6.33,-5.41,-3.01
1972-01-01,60.54,-136.46,-6.91,-5.73,-4.20,-6.91,-5.73,-4.20,-6.91,-5.73,-4.20
1973-01-01,60.54,-136.46,-7.20,-5.07,-3.39,-7.20,-5.07,-3.39,-7.20,-5.07,-3.49
1974-01-01,60.54,-136.46,-6.84,-4.95,-3.99,-6.84,-4.95,-3.99,-6.84,-4.95,-3.99
1975-01-01,60.54,-136.46,-6.54,-4.94,-3.90,-6.54,-4.94,-3.90,-6.54,-4.94,-3.90
1976-01-01,60.54,-136.46,-6.88,-4.88,-3.00,-6.88,-4.88,-3.00,-6.88,-4.88,-3.00
1977-01-01,60.54,-136.46,-6.39,-4.83,-3.67,-6.39,-4.83,-3.67,-6.39,-4.83,-3.67
1978-01-01,60.54,-136.46,-6.25,-4.73,-3.57,-6.25,-4.73,-3.57,-6.25,-4.73,-3.57
1979-01-01,60.54,-136.46,-6.86,-4.94,-3.34,-6.86,-4.94,-3.34,-6.86,-4.94,-3.34
1980-01-01,60.54,-136.46,-7.15,-5.31,-4.03,-7.17,-5.28,-4.00,-7.28,-5.28,-4.02
1981-01-01,60.54,-136.46,-7.01,-5.55,-3.51,-6.99,-5.54,-3.48,-6.98,-5.54,-3.50
1982-01-01,60.54,-136.46,-7.24,-5.61,-4.42,-7.22,-5.60,-4.43,-7.22,-5.62,-4.42
1983-01-01,60.54,-136.46,-7.10,-4.81,-3.87,-7.11,-4.80,-3.84,-7.17,-4.81,-3.83
1984-01-01,60.54,-136.46,-6.51,-4.64,-3.23,-6.49,-4.63,-3.22,-6.56,-4.65,-3.23
1985-01-01,60.54,-136.46,-6.56,-5.16,-4.56,-6.54,-5.14,-4.53,-6.56,-5.16,-4.53
1986-01-01,60.54,-136.46,-6.79,-5.37,-3.85,-6.80,-5.38,-3.82,-6.82,-5.36,-3.83
1987-01-01,60.54,-136.46,-6.15,-4.97,-3.79,-6.13,-4.97,-3.80,-6.16,-4.96,-3.80
1988-01-01,60.54,-136.46,-6.65,-4.64,-3.79,-6.66,-4.61,-3.78,-6.66,-4.58,-3.79
1989-01-01,60.54,-136.46,-6.00,-5.28,-3.24,-5.98,-5.26,-3.23,-5.99,-5.29,-3.28
1990-01-01,60.54,-136.46,-6.41,-5.23,-2.35,-6.40,-5.22,-2.26,-6.41,-5.23,-2.27
1991-01-01,60.54,-136.46,-6.48,-5.50,-3.86,-6.48,-5.50,-3.84,-6.58,-5.50,-3.82
