time,lat,lon,rcp26_tnlt_-15_p10,rcp26_tnlt_-15_p50,rcp26_tnlt_-15_p90,rcp45_tnlt_-15_p10,rcp45_tnlt_-15_p50,rcp45_tnlt_-15_p90,rcp85_tnlt_-15_p10,rcp85_tnlt_-15_p50,rcp85_tnlt_-15_p90
1950-01-01,60.54,-136.46,100.30,112.00,134.50,100.30,112.00,134.50,100.30,112.00,134.50
1951-01-01,60.54,-136.46,97.20,114.50,128.40,97.20,114.50,128.40,97.20,114.50,128.40
1952-01-01,60.54,-136.46,97.90,117.50,133.70,97.90,117.50,133.70,97.90,117.50,133.70
1953-01-01,60.54,-136.46,93.60,122.00,144.90,93.60,122.00,144.90,93.60,122.00,144.90
1954-01-01,60.54,-136.46,94.30,117.50,132.40,94.30,117.50,132.40,94.30,117.50,133.00
1955-01-01,60.54,-136.46,96.60,121.00,140.90,96.60,121.00,140.90,98.60,121.00,140.90
1956-01-01,60.54,-136.46,96.60,114.50,131.00,96.60,114.50,131.00,96.60,114.50,131.00
1957-01-01,60.54,-136.46,99.00,120.00,139.80,99.00,120.00,139.80,99.00,120.00,139.80
1958-01-01,60.54,-136.46,100.80,116.00,132.70,100.80,116.00,132.70,100.80,116.00,133.70
1959-01-01,60.54,-136.46,97.30,113.00,135.00,97.30,113.00,135.00,97.30,113.00,135.00
1960-01-01,60.54,-136.46,103.30,119.50,133.70,103.30,119.50,133.70,103.30,119.50,133.70
1961-01-01,60.54,-136.46,94.90,112.00,139.10,94.90,112.00,139.10,94.90,112.00,139.10
1962-01-01,60.54,-136.46,90.00,115.50,137.00,90.00,115.50,137.00,90.00,115.50,137.00
1963-01-01,60.54,-136.46,98.60,120.50,136.70,98.60,120.50,136.70,98.60,120.50,136.70
1964-01-01,60.54,-136.46,106.50,122.00,137.70,106.50,122.00,137.70,106.50,122.00,137.70
1965-01-01,60.54,-136.46,97.00,114.00,132.40,97.00,114.00,132.40,97.00,114.00,132.40
1966-01-01,60.54,-136.46,107.30,121.00,133.70,107.30,121.00,133.70,107.30,121.00,133.70
