time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-136.46,60.54,394.32,488.84,597.29,393.99,488.85,599.14,394.98,488.84,598.95
1951-01-01,-136.46,60.54,387.30,428.25,534.09,387.12,428.25,531.85,386.93,428.25,531.84
1952-01-01,-136.46,60.54,370.14,451.93,528.63,369.94,452.05,528.63,369.22,452.05,528.63
1953-01-01,-136.46,60.54,365.65,443.25,534.40,365.65,439.82,534.40,365.64,440.90,534.40
1954-01-01,-136.46,60.54,381.90,434.18,576.32,381.34,432.57,573.30,380.37,432.57,573.30
1955-01-01,-136.46,60.54,407.92,466.24,515.12,408.41,466.24,511.72,407.14,466.24,511.77
1956-01-01,-136.46,60.54,389.39,493.44,554.12,389.40,493.43,554.05,389.39,493.44,554.04
1957-01-01,-136.46,60.54,370.57,433.44,502.83,370.78,435.86,502.83,371.04,435.45,502.83
1958-01-01,-136.46,60.54,401.04,455.64,539.93,401.52,457.16,539.93,401.52,457.37,539.93
1959-01-01,-136.46,60.54,389.29,443.31,518.79,389.95,443.69,518.79,390.29,443.26,518.79
1960-01-01,-136.46,60.54,361.66,434.51,501.08,361.66,432.24,499.52,361.66,432.24,500.45
1961-01-01,-136.46,60.54,366.85,441.04,520.45,365.59,441.06,520.44,367.25,441.05,520.44
1962-01-01,-136.46,60.54,390.59,450.14,520.94,390.59,451.22,520.93,390.59,451.24,522.15
1963-01-01,-136.46,60.54,371.90,448.91,497.43,371.90,448.90,497.43,371.90,449.58,497.42
1964-01-01,-136.46,60.54,325.26,440.56,508.01,325.58,440.56,510.89,325.02,440.56,510.90
1965-01-01,-136.46,60.54,366.50,423.73,463.39,364.35,423.73,463.16,365.25,423.73,463.33
1966-01-01,-136.46,60.54,356.25,447.79,534.05,356.26,447.79,534.05,356.26,447.78,534.04
1967-01-01,-136.46,60.54,400.79,450.52,533.08,400.79,450.13,532.19,400.59,450.14,532.66
1968-01-01,-136.46,60.54,364.76,436.97,543.47,367.34,437.02,543.49,367.33,437.10,543.47
1969-01-01,-136.46,60.54,372.42,424.16,501.61,374.19,424.16,500.29,374.19,424.16,499.30
1970-01-01,-136.46,60.54,372.74,444.58,528.51,372.74,444.58,528.50,372.74,444.58,528.51
1971-01-01,-136.46,60.54,411.46,464.72,535.52,411.45,463.82,535.52,411.46,462.77,535.51
1972-01-01,-136.46,60.54,376.29,451.22,530.33,376.29,450.90,526.55,376.29,450.47,528.63
1973-01-01,-136.46,60.54,372.97,447.81,504.54,374.66,447.44,504.54,374.14,446.07,504.54
1974-01-01,-136.46,60.54,398.62,444.64,531.07,398.82,444.64,532.04,398.24,444.64,531.21
1975-01-01,-136.46,60.54,371.97,435.57,534.93,371.55,435.89,530.40,371.75,436.51,530.49
1976-01-01,-136.46,60.54,377.61,449.70,530.85,377.63,448.79,531.01,376.65,448.78,531.08
1977-01-01,-136.46,60.54,441.12,478.75,562.96,441.11,477.76,565.33,441.12,477.34,566.09
1978-01-01,-136.46,60.54,428.16,466.44,514.06,427.60,466.04,517.37,428.34,466.14,517.39
1979-01-01,-136.46,60.54,396.28,481.73,549.35,396.28,478.22,549.35,396.27,478.21,549.35
1980-01-01,-136.46,60.54,355.29,453.66,547.07,355.89,455.93,547.17,356.60,455.48,544.81
1981-01-01,-136.46,60.54,360.53,456.86,520.45,363.38,457.04,518.91,363.15,460.55,518.87
1982-01-01,-136.46,60.54,402.39,453.54,534.71,401.59,455.74,536.99,399.08,457.90,536.63
1983-01-01,-136.46,60.54,381.16,447.39,513.25,380.43,445.15,511.50,382.67,444.90,513.35
1984-01-01,-136.46,60.54,382.57,466.24,516.23,382.26,468.02,517.23,385.61,468.74,519.28
1985-01-01,-136.46,60.54,401.05,457.55,551.28,400.42,455.97,552.66,401.57,455.83,550.45
1986-01-01,-136.46,60.54,349.90,447.45,499.23,348.23,448.07,496.07,350.23,449.70,495.10
1987-01-01,-136.46,60.54,382.90,458.04,515.92,383.57,461.21,518.83,386.22,458.46,520.26
1988-01-01,-136.46,60.54,390.62,453.95,559.07,390.44,456.68,557.80,390.42,456.84,558.76
1989-01-01,-136.46,60.54,358.31,488.65,545.43,357.36,491.80,544.16,359.49,491.40,545.28
1990-01-01,-136.46,60.54,354.03,432.19,488.82,355.56,433.16,488.32,353.14,432.87,489.14
1991-01-01,-136.46,60.54,379.84,451.26,533.22,381.39,451.07,535.15,380.10,451.08,534.51
1992-01-01,-136.46,60.54,376.87,490.69,550.86,378.08,491.36,551.51,378.49,491.06,551.84
1993-01-01,-136.46,60.54,370.85,453.34,523.75,369.45,452.22,525.09,371.42,452.37,524.22
1994-01-01,-136.46,60.54,365.47,458.44,568.52,367.78,460.87,565.45,368.35,460.33,568.39
1995-01-01,-136.46,60.54,361.94,442.75,537.78,364.07,441.57,539.77,365.69,442.36,541.95
1996-01-01,-136.46,60.54,420.04,454.37,529.56,423.20,458.98,526.06,422.56,458.04,528.46
