time,lon,lat,rcp26_r1mm_p10,rcp26_r1mm_p50,rcp26_r1mm_p90,rcp45_r1mm_p10,rcp45_r1mm_p50,rcp45_r1mm_p90,rcp85_r1mm_p10,rcp85_r1mm_p50,rcp85_r1mm_p90
1950-01-01,-136.46,60.54,112.80,134.00,145.80,114.20,135.00,145.10,113.90,135.00,145.10
1951-01-01,-136.46,60.54,114.00,122.50,142.70,113.00,123.00,143.00,113.60,123.00,143.00
1952-01-01,-136.46,60.54,101.30,128.00,140.40,101.30,127.50,140.40,101.30,128.00,140.40
1953-01-01,-136.46,60.54,111.60,124.50,140.90,113.00,124.50,140.90,113.00,124.50,140.90
1954-01-01,-136.46,60.54,112.30,121.50,147.40,112.30,122.00,147.40,112.30,123.00,147.40
1955-01-01,-136.46,60.54,110.60,132.00,141.10,110.60,132.00,139.70,110.60,132.00,139.70
1956-01-01,-136.46,60.54,116.60,130.50,152.20,116.90,130.50,152.20,116.00,130.50,152.20
1957-01-01,-136.46,60.54,111.60,122.50,136.00,111.60,123.00,136.00,112.30,123.00,136.00
1958-01-01,-136.46,60.54,114.00,130.00,147.80,113.30,129.50,148.10,113.30,129.50,148.10
1959-01-01,-136.46,60.54,104.20,125.50,145.80,105.20,126.00,145.10,104.50,126.50,145.10
1960-01-01,-136.46,60.54,109.30,120.00,136.00,109.30,120.00,135.70,109.30,120.00,135.70
1961-01-01,-136.46,60.54,107.90,128.50,147.90,107.30,128.50,150.00,107.30,128.50,150.00
1962-01-01,-136.46,60.54,105.20,129.00,148.40,105.20,127.50,150.10,105.20,128.50,150.80
1963-01-01,-136.46,60.54,111.60,126.50,138.70,111.60,125.00,138.70,111.60,125.00,138.70
1964-01-01,-136.46,60.54,104.00,126.50,136.70,104.00,126.50,137.70,104.00,126.50,137.70
1965-01-01,-136.46,60.54,107.90,127.00,135.40,107.30,126.50,135.40,107.90,126.50,134.70
1966-01-01,-136.46,60.54,111.00,122.50,145.50,110.00,122.50,142.70,110.30,122.50,142.70
1967-01-01,-136.46,60.54,114.90,127.50,143.40,114.20,128.00,145.40,112.80,128.00,143.40
1968-01-01,-136.46,60.54,105.90,125.00,145.70,106.50,123.50,145.70,106.50,124.50,145.70
1969-01-01,-136.46,60.54,109.90,120.50,139.40,109.90,120.50,139.40,110.20,120.50,139.40
1970-01-01,-136.46,60.54,108.60,131.00,146.70,108.60,131.00,145.40,108.60,131.00,145.40
1971-01-01,-136.46,60.54,116.60,128.00,140.40,116.60,128.00,140.40,116.60,127.50,140.70
1972-01-01,-136.46,60.54,113.60,125.50,139.50,113.60,125.50,138.90,113.60,125.00,139.10
1973-01-01,-136.46,60.54,109.30,125.50,137.10,108.90,125.50,137.10,108.90,125.50,137.10
1974-01-01,-136.46,60.54,111.80,125.50,143.10,111.80,125.50,143.10,111.50,125.50,143.10
1975-01-01,-136.46,60.54,102.00,120.50,139.00,102.00,120.50,139.00,102.00,120.50,139.00
1976-01-01,-136.46,60.54,118.00,126.00,143.00,118.00,126.00,143.00,118.00,126.50,143.00
1977-01-01,-136.46,60.54,121.00,133.50,151.00,121.00,133.00,151.70,121.00,132.50,151.70
1978-01-01,-136.46,60.54,120.00,132.00,142.70,119.30,132.00,142.70,119.30,131.00,142.70
1979-01-01,-136.46,60.54,113.60,133.00,155.10,113.60,133.00,155.10,113.60,133.00,155.10
1980-01-01,-136.46,60.54,107.90,125.50,142.40,106.60,126.50,140.70,106.90,127.00,141.00
1981-01-01,-136.46,60.54,112.30,123.50,140.40,111.90,124.00,140.40,112.30,124.50,141.10
1982-01-01,-136.46,60.54,111.90,123.00,146.00,111.20,123.00,145.00,112.60,123.00,146.40
1983-01-01,-136.46,60.54,107.00,127.00,143.90,107.00,128.00,142.20,107.00,128.00,143.20
1984-01-01,-136.46,60.54,114.10,130.50,141.80,112.60,131.50,141.10,112.80,132.00,141.80
1985-01-01,-136.46,60.54,117.20,129.50,149.50,117.50,128.00,148.80,118.90,128.50,149.80
