"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12605600","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","11614300","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12528700","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","12329400","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10952200","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10236800","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","9118000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","10784800","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","9297100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","8648200","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6915400","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6588845","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7449900","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7198700","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","5972700","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6670000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6676222","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","5766000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","6493200","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7402100","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","7561200","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","8295600","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","410000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","420000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","690000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","640000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","860000","","","","0"
