time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-115.21,53.04,239.90,257.00,267.70,239.00,257.00,267.70,239.00,257.00,267.70
1951-01-01,-115.21,53.04,248.30,261.00,267.70,248.30,261.00,267.70,248.30,262.50,267.70
1952-01-01,-115.21,53.04,249.00,261.00,269.00,249.00,261.00,269.00,249.00,261.00,269.00
1953-01-01,-115.21,53.04,244.30,259.50,278.70,244.30,259.00,278.70,244.30,259.00,278.70
1954-01-01,-115.21,53.04,242.30,260.00,271.40,242.30,260.00,271.40,242.30,260.00,271.40
1955-01-01,-115.21,53.04,239.90,255.00,268.40,239.90,254.50,268.40,239.90,253.50,260.00
1956-01-01,-115.21,53.04,247.50,257.50,272.70,247.50,257.50,272.70,247.50,257.50,272.70
1957-01-01,-115.21,53.04,249.60,263.50,269.70,249.60,261.50,269.70,249.60,260.00,269.70
1958-01-01,-115.21,53.04,248.60,256.50,272.00,248.60,257.50,272.00,248.60,256.50,272.00
1959-01-01,-115.21,53.04,247.90,258.50,268.70,247.90,258.50,268.70,247.90,258.50,268.70
1960-01-01,-115.21,53.04,248.90,260.50,276.80,248.60,258.50,276.80,248.60,258.50,276.80
1961-01-01,-115.21,53.04,250.30,262.00,270.10,250.30,262.00,270.10,251.00,262.50,270.40
1962-01-01,-115.21,53.04,243.40,259.00,266.40,243.40,259.00,265.70,243.40,259.00,265.70
1963-01-01,-115.21,53.04,242.60,257.00,269.40,239.80,257.00,270.10,239.80,257.00,267.40
1964-01-01,-115.21,53.04,239.90,256.50,268.00,239.90,256.50,268.00,239.90,255.00,268.00
1965-01-01,-115.21,53.04,240.60,258.50,270.70,242.30,258.50,270.70,242.30,257.00,270.70
1966-01-01,-115.21,53.04,246.50,259.00,268.70,244.30,259.00,268.00,244.30,259.00,268.70
1967-01-01,-115.21,53.04,242.00,262.00,272.50,242.00,262.00,272.50,242.00,262.00,273.20
1968-01-01,-115.21,53.04,238.90,257.50,267.00,238.90,259.50,267.00,238.90,259.50,267.00
1969-01-01,-115.21,53.04,247.00,259.00,266.70,247.00,259.00,266.70,244.90,259.00,266.70
1970-01-01,-115.21,53.04,241.60,259.00,270.70,241.60,259.00,270.70,241.60,259.00,270.70
1971-01-01,-115.21,53.04,250.10,260.00,268.10,250.10,260.00,266.00,250.10,260.00,266.00
1972-01-01,-115.21,53.04,250.30,259.00,269.00,250.30,259.00,268.70,247.90,258.50,267.50
1973-01-01,-115.21,53.04,240.60,256.00,267.00,240.60,256.50,267.00,242.30,256.00,267.00
1974-01-01,-115.21,53.04,247.30,259.50,267.70,247.30,260.50,267.70,247.30,259.50,267.70
1975-01-01,-115.21,53.04,246.00,258.00,273.70,245.00,258.00,273.70,245.30,258.00,273.70
1976-01-01,-115.21,53.04,241.30,255.00,269.40,242.00,255.00,269.40,242.00,255.00,269.40
1977-01-01,-115.21,53.04,251.30,259.50,274.90,251.30,259.50,274.90,251.30,259.50,272.80
1978-01-01,-115.21,53.04,248.30,261.00,272.00,248.30,260.50,272.00,248.30,260.50,272.00
1979-01-01,-115.21,53.04,249.30,260.50,274.60,249.30,260.50,273.40,249.30,260.50,274.60
1980-01-01,-115.21,53.04,238.30,255.50,273.70,238.30,255.50,273.70,238.30,255.50,273.70
1981-01-01,-115.21,53.04,244.60,261.50,272.80,244.60,261.00,272.80,244.60,261.50,272.80
1982-01-01,-115.21,53.04,241.00,256.50,266.70,239.60,256.50,266.70,239.60,254.50,266.70
1983-01-01,-115.21,53.04,242.60,258.00,270.00,242.60,258.00,268.80,242.60,258.00,268.80
1984-01-01,-115.21,53.04,240.20,262.00,272.70,240.20,262.00,272.40,243.70,263.00,272.40
1985-01-01,-115.21,53.04,244.30,262.50,270.00,244.30,262.50,270.00,244.30,262.50,270.00
1986-01-01,-115.21,53.04,248.80,260.00,277.80,253.30,258.00,276.60,248.80,258.00,276.60
1987-01-01,-115.21,53.04,243.00,254.00,271.80,243.00,254.00,271.80,243.00,256.00,274.40
1988-01-01,-115.21,53.04,251.00,260.50,272.00,248.90,259.50,272.00,248.90,260.50,272.00
1989-01-01,-115.21,53.04,251.30,259.50,271.00,251.30,259.50,271.00,252.00,259.50,271.00
1990-01-01,-115.21,53.04,252.20,265.00,274.00,252.20,265.00,274.00,252.20,265.00,274.00
1991-01-01,-115.21,53.04,243.00,261.50,272.00,243.30,262.00,272.70,243.00,261.50,272.00
1992-01-01,-115.21,53.04,244.30,261.00,275.10,244.30,261.50,275.10,245.90,263.00,279.50
1993-01-01,-115.21,53.04,246.30,257.50,269.80,246.30,257.00,269.80,246.30,257.00,269.80
1994-01-01,-115.21,53.04,239.00,256.50,268.80,239.00,256.50,270.20,239.00,257.00,268.80
1995-01-01,-115.21,53.04,242.30,259.00,272.40,242.30,259.50,272.40,242.30,259.00,272.40
1996-01-01,-115.21,53.04,248.30,265.00,271.70,248.30,265.00,271.70,248.30,265.00,271.70
1997-01-01,-115.21,53.04,248.80,263.00,276.90,253.00,263.50,276.90,253.00,264.00,276.90
1998-01-01,-115.21,53.04,256.00,261.00,269.40,256.00,261.00,269.40,256.00,261.00,269.40
1999-01-01,-115.21,53.04,246.00,262.50,272.40,246.00,262.50,272.40,246.00,262.50,272.40
2000-01-01,-115.21,53.04,234.60,263.50,274.00,236.90,263.50,274.00,240.20,267.50,274.00
2001-01-01,-115.21,53.04,251.30,263.00,278.50,251.30,263.00,278.50,251.30,263.00,278.50
2002-01-01,-115.21,53.04,251.30,262.00,270.70,251.30,263.00,271.00,251.30,263.50,271.00
2003-01-01,-115.21,53.04,249.20,263.50,278.60,249.20,263.00,278.60,249.20,262.50,278.60
2004-01-01,-115.21,53.04,251.90,263.50,273.70,248.90,262.50,277.90,251.90,264.50,273.70
2005-01-01,-115.21,53.04,251.40,259.00,271.60,251.40,259.00,271.60,250.30,259.00,271.40
2006-01-01,-115.21,53.04,251.60,261.00,273.10,251.40,263.00,283.70,236.50,257.00,269.50
2007-01-01,-115.21,53.04,248.60,266.50,279.40,255.90,265.00,271.70,247.50,266.00,273.70
2008-01-01,-115.21,53.04,250.30,260.00,270.70,240.20,259.50,269.70,236.50,262.00,277.50
2009-01-01,-115.21,53.04,246.20,262.50,271.00,256.60,264.50,281.00,255.00,268.00,277.00
2010-01-01,-115.21,53.04,247.30,267.50,282.10,245.60,260.00,279.40,245.10,263.00,273.00
2011-01-01,-115.21,53.04,250.30,262.50,281.60,244.20,262.50,277.90,241.60,257.50,271.40
2012-01-01,-115.21,53.04,252.30,266.00,274.80,244.80,262.00,272.70,249.60,264.50,277.80
2013-01-01,-115.21,53.04,251.00,265.00,275.80,252.60,262.50,270.70,252.60,265.50,278.50
2014-01-01,-115.21,53.04,249.40,266.50,279.70,251.30,267.00,282.40,253.30,267.50,281.80
2015-01-01,-115.21,53.04,250.10,263.00,271.70,250.00,258.50,270.40,257.90,265.00,275.90
2016-01-01,-115.21,53.04,251.90,262.00,278.60,240.70,260.00,273.70,249.90,267.00,281.20
2017-01-01,-115.21,53.04,251.00,265.00,279.00,256.00,263.50,275.00,251.90,264.00,279.70
2018-01-01,-115.21,53.04,249.50,264.50,279.50,249.80,268.00,278.70,247.30,263.00,269.70
2019-01-01,-115.21,53.04,253.50,263.00,282.70,250.30,261.00,272.70,256.60,269.50,281.70
2020-01-01,-115.21,53.04,248.20,261.50,272.40,252.90,264.50,280.10,259.30,269.00,283.50
2021-01-01,-115.21,53.04,254.00,265.00,273.00,250.30,263.00,277.70,257.30,269.00,279.40
2022-01-01,-115.21,53.04,247.80,267.50,280.90,261.30,272.50,279.10,244.80,265.50,278.70
2023-01-01,-115.21,53.04,260.00,267.00,284.40,250.30,266.50,278.40,254.70,267.50,284.10
2024-01-01,-115.21,53.04,250.20,267.00,275.40,251.30,264.00,274.10,257.30,265.00,272.40
2025-01-01,-115.21,53.04,244.50,268.50,278.00,249.60,263.00,277.80,256.30,267.00,281.10
2026-01-01,-115.21,53.04,249.60,264.50,279.50,253.90,267.00,277.40,254.60,262.50,275.00
2027-01-01,-115.21,53.04,242.20,262.00,275.00,252.60,267.00,277.50,253.20,265.00,277.40
2028-01-01,-115.21,53.04,243.80,264.00,275.00,255.00,262.50,281.80,252.30,266.00,283.10
2029-01-01,-115.21,53.04,251.50,269.50,279.00,256.00,265.50,279.70,258.00,271.50,285.70
2030-01-01,-115.21,53.04,248.40,267.00,270.70,259.30,270.50,284.80,252.70,267.00,276.70
2031-01-01,-115.21,53.04,251.90,270.50,278.70,257.00,268.00,278.80,258.30,268.00,287.80
2032-01-01,-115.21,53.04,254.30,267.00,278.70,254.30,261.50,276.70,246.60,263.00,279.20
2033-01-01,-115.21,53.04,254.30,267.50,279.70,247.30,260.50,275.70,251.60,264.50,278.40
2034-01-01,-115.21,53.04,259.30,267.50,276.50,253.30,266.50,277.20,251.70,266.50,274.40
2035-01-01,-115.21,53.04,252.20,268.00,280.70,260.00,272.00,285.10,260.30,269.00,281.00
2036-01-01,-115.21,53.04,258.20,268.00,287.30,248.30,266.00,280.80,256.20,269.50,279.40
2037-01-01,-115.21,53.04,249.50,266.50,284.80,254.60,266.50,283.00,256.30,267.00,279.50
2038-01-01,-115.21,53.04,257.00,267.50,288.40,255.30,266.50,283.00,256.20,267.50,279.70
2039-01-01,-115.21,53.04,253.90,268.50,277.80,252.30,260.50,274.10,257.30,269.00,283.00
2040-01-01,-115.21,53.04,258.20,266.00,278.80,253.50,268.00,278.00,258.30,268.50,276.70
2041-01-01,-115.21,53.04,257.00,269.00,284.40,258.30,271.50,281.10,258.30,273.00,290.00
2042-01-01,-115.21,53.04,253.70,265.50,281.70,257.00,266.50,280.90,255.80,267.50,284.40
2043-01-01,-115.21,53.04,255.10,268.00,282.70,252.30,266.00,281.10,260.90,273.00,290.40
2044-01-01,-115.21,53.04,253.90,265.00,274.40,256.30,266.50,282.10,247.60,271.50,287.80
2045-01-01,-115.21,53.04,250.90,264.00,276.40,256.60,269.50,286.10,256.30,270.00,285.70
2046-01-01,-115.21,53.04,248.80,269.50,282.70,243.40,265.00,284.80,260.30,271.00,286.40
2047-01-01,-115.21,53.04,255.60,264.00,269.40,253.30,266.50,282.40,254.90,272.00,291.10
2048-01-01,-115.21,53.04,257.30,271.50,288.00,255.30,268.00,282.70,255.20,274.50,290.70
2049-01-01,-115.21,53.04,257.00,265.50,277.40,261.00,272.00,285.10,263.00,276.50,291.40
2050-01-01,-115.21,53.04,255.80,267.50,285.40,258.30,270.50,285.20,258.60,271.00,291.00
2051-01-01,-115.21,53.04,254.90,268.00,280.60,252.60,269.00,285.70,248.20,267.50,291.10
2052-01-01,-115.21,53.04,260.00,269.00,285.70,249.80,275.50,285.40,267.00,277.50,295.40
2053-01-01,-115.21,53.04,251.00,267.50,283.50,253.60,264.00,274.40,262.50,273.50,285.40
2054-01-01,-115.21,53.04,252.30,270.00,283.20,252.30,269.50,279.70,259.60,272.00,294.10
2055-01-01,-115.21,53.04,252.50,266.00,284.40,248.80,269.50,287.40,271.00,280.50,293.40
2056-01-01,-115.21,53.04,255.60,267.50,285.70,252.50,267.50,278.70,264.30,271.00,286.30
2057-01-01,-115.21,53.04,259.00,263.00,279.80,256.90,271.00,285.70,259.30,275.50,293.00
2058-01-01,-115.21,53.04,253.60,268.00,284.10,257.30,273.00,288.20,262.30,277.50,296.80
2059-01-01,-115.21,53.04,252.20,268.00,284.70,251.60,267.00,284.70,251.90,272.00,291.70
2060-01-01,-115.21,53.04,256.60,269.50,289.00,256.00,270.00,286.00,264.00,279.50,287.40
2061-01-01,-115.21,53.04,252.60,271.00,283.80,259.50,271.50,287.10,257.60,282.00,297.60
2062-01-01,-115.21,53.04,243.30,264.00,287.00,256.00,270.00,283.70,259.00,279.50,292.00
2063-01-01,-115.21,53.04,247.20,267.00,274.00,256.10,272.00,288.00,263.90,276.50,291.40
2064-01-01,-115.21,53.04,255.00,266.00,285.00,259.30,267.50,287.00,262.80,280.50,293.00
2065-01-01,-115.21,53.04,243.20,266.00,282.10,258.30,269.50,287.00,261.10,277.00,290.10
2066-01-01,-115.21,53.04,254.60,266.00,284.00,254.90,268.00,291.70,259.50,276.50,297.00
2067-01-01,-115.21,53.04,254.90,264.50,273.50,261.90,272.50,290.20,256.60,275.00,292.40
2068-01-01,-115.21,53.04,252.30,266.00,279.40,256.90,269.50,286.40,263.00,274.00,291.80
2069-01-01,-115.21,53.04,247.30,268.00,280.40,265.30,274.00,287.70,267.90,276.50,291.70
2070-01-01,-115.21,53.04,256.30,268.00,286.70,260.00,273.00,284.70,263.30,282.50,294.40
2071-01-01,-115.21,53.04,242.50,264.00,282.10,255.30,271.00,287.70,266.00,278.00,288.70
2072-01-01,-115.21,53.04,251.30,264.50,276.50,260.30,270.00,286.00,261.30,276.50,289.80
2073-01-01,-115.21,53.04,256.60,262.50,280.20,256.30,270.50,292.40,265.60,289.50,296.00
2074-01-01,-115.21,53.04,246.90,264.50,277.50,258.90,269.00,287.80,265.50,288.50,296.00
2075-01-01,-115.21,53.04,253.00,269.50,289.70,254.90,268.00,284.70,260.00,284.50,300.10
2076-01-01,-115.21,53.04,254.20,273.50,286.40,253.10,268.00,287.40,269.00,281.50,301.30
2077-01-01,-115.21,53.04,256.90,266.00,277.40,259.30,278.50,291.40,264.90,280.00,295.50
2078-01-01,-115.21,53.04,254.00,270.50,285.70,257.40,272.00,293.50,267.30,282.50,295.70
2079-01-01,-115.21,53.04,253.60,267.00,279.40,262.00,272.50,291.00,268.30,283.50,299.80
