time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-115.21,53.04,121.00,133.00,151.80,121.00,134.00,151.80,121.00,134.50,151.80
1951-01-01,-115.21,53.04,114.70,132.50,148.20,114.70,132.00,148.20,114.70,132.50,148.20
1952-01-01,-115.21,53.04,127.00,136.50,148.70,127.00,136.50,148.70,127.00,135.00,148.70
1953-01-01,-115.21,53.04,125.30,134.50,144.40,125.30,133.00,144.40,125.30,134.00,144.40
1954-01-01,-115.21,53.04,120.90,135.00,154.80,120.90,133.50,154.80,120.90,135.00,154.80
1955-01-01,-115.21,53.04,123.60,132.50,151.30,123.60,131.00,151.30,123.60,131.00,151.30
1956-01-01,-115.21,53.04,125.30,132.00,158.70,125.60,133.00,158.70,125.60,133.00,159.00
1957-01-01,-115.21,53.04,127.30,138.50,154.70,127.30,138.50,154.70,128.30,141.50,155.00
1958-01-01,-115.21,53.04,125.30,135.50,151.50,125.30,136.00,151.50,125.30,135.50,150.90
1959-01-01,-115.21,53.04,120.20,131.00,154.80,120.20,131.00,155.10,119.50,133.00,154.80
1960-01-01,-115.21,53.04,121.00,133.50,147.80,121.00,133.50,147.80,121.00,133.00,147.80
1961-01-01,-115.21,53.04,124.00,134.00,156.10,124.00,133.50,155.10,124.00,133.50,155.10
1962-01-01,-115.21,53.04,122.50,135.00,151.10,122.50,135.00,151.10,122.50,135.00,151.40
1963-01-01,-115.21,53.04,124.60,139.50,149.40,124.60,137.00,147.40,126.60,137.00,147.40
1964-01-01,-115.21,53.04,126.60,138.00,153.00,126.60,138.50,153.70,126.60,137.50,153.70
1965-01-01,-115.21,53.04,125.60,136.50,146.40,125.60,136.50,147.10,125.60,136.50,150.80
1966-01-01,-115.21,53.04,125.60,136.00,151.70,125.60,136.00,151.70,125.90,136.00,151.70
1967-01-01,-115.21,53.04,125.30,139.50,155.50,125.30,139.50,155.50,125.30,139.50,155.50
1968-01-01,-115.21,53.04,123.60,134.00,154.80,123.90,136.50,154.80,124.60,135.00,154.80
1969-01-01,-115.21,53.04,124.30,134.00,158.80,124.30,134.00,158.80,124.30,134.00,158.80
1970-01-01,-115.21,53.04,126.00,132.00,143.70,126.00,132.00,143.70,126.00,132.00,142.70
1971-01-01,-115.21,53.04,115.40,128.50,154.10,115.40,128.50,154.10,116.30,129.00,154.10
1972-01-01,-115.21,53.04,124.30,135.50,155.50,124.30,135.50,155.50,124.30,135.00,155.50
1973-01-01,-115.21,53.04,123.30,137.00,147.80,123.30,137.50,147.80,123.30,137.50,147.80
1974-01-01,-115.21,53.04,124.90,135.50,146.10,124.90,134.50,146.80,127.60,135.50,149.40
1975-01-01,-115.21,53.04,128.90,137.00,148.70,128.90,137.00,148.70,128.90,137.00,148.70
1976-01-01,-115.21,53.04,126.30,135.50,145.70,126.30,135.50,145.10,126.30,135.50,146.70
1977-01-01,-115.21,53.04,125.00,133.50,143.10,123.60,133.50,143.10,123.60,133.50,145.70
1978-01-01,-115.21,53.04,123.60,132.00,138.70,122.90,132.00,141.10,123.60,132.00,141.10
1979-01-01,-115.21,53.04,127.30,133.50,153.00,127.30,134.00,153.00,127.30,134.00,153.00
1980-01-01,-115.21,53.04,125.00,133.00,145.70,125.00,133.00,145.70,125.00,133.50,145.70
1981-01-01,-115.21,53.04,125.00,133.00,145.40,125.00,132.50,143.70,125.00,132.50,143.70
1982-01-01,-115.21,53.04,123.00,131.00,151.70,123.30,131.00,151.70,123.00,131.00,151.70
1983-01-01,-115.21,53.04,124.20,130.50,143.40,124.20,130.50,143.40,123.30,130.00,143.40
1984-01-01,-115.21,53.04,122.00,135.50,144.70,122.60,135.50,144.70,122.00,133.50,144.70
1985-01-01,-115.21,53.04,127.00,133.50,151.90,127.00,133.00,151.90,127.00,133.00,154.00
1986-01-01,-115.21,53.04,120.30,128.00,149.30,119.60,128.00,149.90,119.60,128.00,149.90
1987-01-01,-115.21,53.04,123.10,135.50,158.40,123.10,135.50,158.40,124.20,135.50,158.40
1988-01-01,-115.21,53.04,122.00,131.00,150.60,122.30,131.50,150.60,122.30,131.00,152.00
1989-01-01,-115.21,53.04,126.00,132.50,158.40,126.00,131.50,158.40,126.00,133.00,158.40
1990-01-01,-115.21,53.04,121.60,131.00,139.40,121.90,132.00,140.00,121.90,132.50,139.70
1991-01-01,-115.21,53.04,123.30,134.50,149.20,123.30,134.50,149.20,123.30,134.00,149.20
1992-01-01,-115.21,53.04,124.90,130.00,143.40,124.90,131.00,143.10,124.90,130.00,143.10
1993-01-01,-115.21,53.04,126.00,132.00,150.00,126.00,132.00,150.00,124.60,132.50,150.00
1994-01-01,-115.21,53.04,123.50,135.50,150.00,123.50,135.50,150.00,123.50,135.50,150.00
1995-01-01,-115.21,53.04,125.30,130.50,140.80,125.30,131.00,138.00,125.30,130.50,138.00
1996-01-01,-115.21,53.04,124.00,130.00,144.40,124.00,131.00,144.40,124.00,131.00,144.70
1997-01-01,-115.21,53.04,117.90,128.50,139.90,117.90,128.50,137.80,117.90,128.50,138.10
1998-01-01,-115.21,53.04,123.00,130.50,155.90,123.00,130.50,155.90,123.00,130.50,155.90
1999-01-01,-115.21,53.04,121.30,129.50,138.00,121.30,129.50,138.00,122.00,131.00,138.00
2000-01-01,-115.21,53.04,124.30,133.50,154.40,124.30,133.50,154.40,124.00,133.00,154.40
2001-01-01,-115.21,53.04,121.90,132.50,148.50,121.90,132.50,148.50,121.90,132.50,147.80
2002-01-01,-115.21,53.04,120.60,128.50,141.50,121.30,128.50,141.50,120.60,128.50,141.50
2003-01-01,-115.21,53.04,121.90,132.50,155.40,121.90,132.50,155.40,121.90,132.50,155.40
2004-01-01,-115.21,53.04,123.00,131.50,144.70,123.00,131.50,144.00,123.00,132.00,144.70
2005-01-01,-115.21,53.04,113.20,123.00,138.00,113.20,123.00,138.00,111.60,122.50,138.00
2006-01-01,-115.21,53.04,113.10,130.00,144.50,121.20,131.50,143.70,115.80,130.00,143.70
2007-01-01,-115.21,53.04,122.00,128.00,148.60,121.00,129.00,139.70,122.20,134.50,144.00
2008-01-01,-115.21,53.04,121.90,133.50,142.00,115.40,134.50,159.60,116.00,129.00,141.40
2009-01-01,-115.21,53.04,124.60,133.50,140.70,123.00,126.00,142.10,110.10,129.50,138.40
2010-01-01,-115.21,53.04,114.30,129.50,143.90,114.80,128.00,147.90,121.30,132.00,147.20
2011-01-01,-115.21,53.04,121.00,130.50,152.70,121.30,127.50,140.10,120.30,128.50,138.40
2012-01-01,-115.21,53.04,114.30,132.00,138.70,121.00,128.00,135.70,121.30,130.00,141.00
2013-01-01,-115.21,53.04,115.40,128.50,137.40,110.70,129.00,137.70,124.00,131.00,142.40
2014-01-01,-115.21,53.04,114.60,126.50,142.90,113.80,132.50,143.90,121.00,126.50,133.70
2015-01-01,-115.21,53.04,107.10,128.00,139.70,121.00,128.50,140.70,114.20,129.00,138.40
