time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,53.04,-115.21,-15.49,-11.33,-6.74,-15.49,-11.33,-6.74,-15.49,-11.33,-6.74
1950-02-01,53.04,-115.21,-11.13,-7.35,-2.77,-11.13,-7.35,-2.77,-11.13,-7.35,-2.77
1950-03-01,53.04,-115.21,-7.54,-2.52,0.70,-7.54,-2.52,0.70,-7.54,-2.52,0.70
1950-04-01,53.04,-115.21,1.60,4.01,7.31,1.60,4.01,7.31,1.60,4.01,7.31
1950-05-01,53.04,-115.21,7.51,9.94,12.41,7.51,9.94,12.41,7.51,9.94,12.41
1950-06-01,53.04,-115.21,11.64,13.37,16.02,11.64,13.37,16.02,11.64,13.37,16.02
1950-07-01,53.04,-115.21,14.76,15.68,17.43,14.76,15.68,17.43,14.76,15.68,17.43
1950-08-01,53.04,-115.21,13.47,15.23,16.68,13.47,15.23,16.68,13.47,15.19,16.68
1950-09-01,53.04,-115.21,8.51,10.40,12.84,8.51,10.40,12.84,8.51,10.40,12.84
1950-10-01,53.04,-115.21,2.11,5.16,7.60,2.11,5.16,7.60,2.11,5.16,7.60
1950-11-01,53.04,-115.21,-9.11,-5.62,0.12,-9.11,-5.62,0.12,-9.11,-5.62,0.12
1950-12-01,53.04,-115.21,-14.27,-8.45,-4.15,-14.27,-8.45,-4.15,-14.27,-8.41,-4.15
1951-01-01,53.04,-115.21,-17.13,-10.61,-7.50,-17.13,-10.61,-7.50,-17.13,-10.87,-7.50
1951-02-01,53.04,-115.21,-14.20,-8.77,-3.69,-14.20,-8.77,-3.69,-14.20,-8.81,-3.69
1951-03-01,53.04,-115.21,-7.84,-2.93,0.93,-7.84,-2.93,0.93,-7.84,-2.93,0.93
1951-04-01,53.04,-115.21,0.02,3.33,8.02,0.02,3.33,8.02,0.02,3.33,8.02
1951-05-01,53.04,-115.21,7.40,10.46,12.57,7.40,10.46,12.57,7.40,10.40,12.57
1951-06-01,53.04,-115.21,11.73,13.71,15.67,11.73,13.71,15.67,11.73,13.71,15.67
1951-07-01,53.04,-115.21,14.26,15.74,17.02,14.26,15.74,17.02,14.21,15.74,17.02
1951-08-01,53.04,-115.21,13.94,15.12,16.25,13.94,15.12,16.25,13.91,15.12,16.25
1951-09-01,53.04,-115.21,8.70,10.42,12.07,8.70,10.42,12.07,8.70,10.42,12.07
1951-10-01,53.04,-115.21,3.03,4.94,7.94,3.03,4.94,7.94,3.03,4.94,7.94
1951-11-01,53.04,-115.21,-6.89,-4.30,-0.87,-6.89,-4.30,-0.87,-6.89,-4.30,-0.87
1951-12-01,53.04,-115.21,-14.92,-7.76,-5.52,-14.92,-7.76,-5.52,-14.92,-7.90,-5.50
1952-01-01,53.04,-115.21,-17.87,-13.21,-8.60,-17.87,-13.21,-8.60,-17.87,-13.21,-8.60
1952-02-01,53.04,-115.21,-13.87,-7.91,-2.48,-13.87,-7.91,-2.48,-13.87,-7.91,-2.48
1952-03-01,53.04,-115.21,-8.73,-3.49,0.05,-8.73,-3.49,0.05,-8.73,-3.49,0.05
1952-04-01,53.04,-115.21,1.06,4.36,7.39,1.06,4.36,7.39,1.06,4.36,7.32
1952-05-01,53.04,-115.21,7.70,9.61,11.96,7.70,9.61,11.96,7.70,9.61,11.96
1952-06-01,53.04,-115.21,12.06,14.07,15.38,12.06,14.07,15.38,12.06,14.07,15.38
1952-07-01,53.04,-115.21,14.06,15.49,17.73,14.06,15.49,17.73,13.98,15.49,17.73
1952-08-01,53.04,-115.21,12.69,14.69,16.48,12.69,14.69,16.48,12.69,14.69,16.48
1952-09-01,53.04,-115.21,6.82,9.44,11.19,6.82,9.44,11.19,6.82,9.44,11.19
1952-10-01,53.04,-115.21,-1.00,4.52,8.18,-1.00,4.52,8.18,-1.00,4.52,8.18
1952-11-01,53.04,-115.21,-8.72,-4.89,-1.72,-8.72,-4.89,-1.72,-8.72,-4.89,-1.72
1952-12-01,53.04,-115.21,-15.87,-9.71,-5.10,-15.87,-9.71,-5.10,-15.87,-9.71,-5.10
1953-01-01,53.04,-115.21,-19.29,-12.37,-8.45,-19.29,-12.37,-8.45,-19.29,-12.37,-8.45
1953-02-01,53.04,-115.21,-11.38,-6.59,-3.11,-11.38,-6.59,-3.11,-11.38,-6.59,-3.11
1953-03-01,53.04,-115.21,-11.23,-3.95,-0.96,-11.23,-3.95,-0.96,-11.23,-3.95,-1.10
1953-04-01,53.04,-115.21,0.34,3.55,7.27,0.34,3.55,7.27,0.34,3.55,7.27
1953-05-01,53.04,-115.21,8.16,9.54,11.43,8.16,9.54,11.43,8.16,9.54,11.43
1953-06-01,53.04,-115.21,12.10,13.51,15.11,12.10,13.51,15.11,12.10,13.51,15.11
1953-07-01,53.04,-115.21,13.49,14.75,16.79,13.49,14.75,16.79,13.49,14.75,16.79
1953-08-01,53.04,-115.21,12.93,14.13,15.68,12.93,14.13,15.68,12.93,14.13,15.68
1953-09-01,53.04,-115.21,7.75,9.46,11.65,7.75,9.46,11.65,7.75,9.46,11.65
1953-10-01,53.04,-115.21,2.43,5.07,7.40,2.43,5.07,7.40,2.43,5.09,7.40
1953-11-01,53.04,-115.21,-7.11,-2.43,-0.14,-7.11,-2.43,-0.14,-7.11,-2.43,-0.14
1953-12-01,53.04,-115.21,-13.90,-9.41,-5.63,-13.90,-9.41,-5.63,-13.90,-9.41,-5.63
1954-01-01,53.04,-115.21,-17.19,-11.53,-7.50,-17.19,-11.53,-7.50,-17.19,-11.78,-7.50
1954-02-01,53.04,-115.21,-14.08,-7.07,-3.69,-14.08,-7.07,-3.69,-14.08,-7.07,-3.68
1954-03-01,53.04,-115.21,-9.49,-5.14,0.77,-9.49,-5.14,0.77,-9.69,-5.14,0.77
1954-04-01,53.04,-115.21,0.58,3.42,5.90,0.58,3.42,5.90,0.58,3.42,5.90
1954-05-01,53.04,-115.21,8.85,10.04,12.24,8.85,10.04,12.24,8.85,10.04,12.24
1954-06-01,53.04,-115.21,11.20,12.80,15.50,11.20,12.80,15.50,11.20,12.80,15.50
1954-07-01,53.04,-115.21,14.13,15.81,16.89,14.14,15.81,16.89,14.13,15.81,16.89
1954-08-01,53.04,-115.21,12.45,14.49,16.93,12.45,14.49,16.93,12.45,14.49,16.93
1954-09-01,53.04,-115.21,8.66,10.55,12.70,8.66,10.55,12.70,8.66,10.55,12.70
1954-10-01,53.04,-115.21,2.51,4.92,6.65,2.51,4.92,6.65,2.51,4.92,6.65
1954-11-01,53.04,-115.21,-8.24,-3.90,0.55,-8.24,-3.90,0.55,-8.24,-3.90,0.55
1954-12-01,53.04,-115.21,-12.52,-7.96,-3.99,-12.52,-7.96,-3.99,-12.52,-7.96,-3.99
1955-01-01,53.04,-115.21,-18.16,-13.64,-8.76,-18.16,-13.64,-8.76,-18.16,-13.64,-8.90
1955-02-01,53.04,-115.21,-13.82,-7.16,-2.09,-13.82,-7.16,-2.09,-13.82,-7.16,-2.09
1955-03-01,53.04,-115.21,-6.10,-3.48,-0.04,-6.10,-3.48,-0.04,-6.10,-3.48,-0.04
1955-04-01,53.04,-115.21,1.89,4.24,6.66,1.89,4.24,6.66,1.89,4.24,6.66
1955-05-01,53.04,-115.21,8.10,10.53,11.64,8.10,10.53,11.64,8.10,10.53,11.60
1955-06-01,53.04,-115.21,12.06,13.05,15.60,12.06,13.05,15.60,12.06,13.05,15.60
1955-07-01,53.04,-115.21,14.22,15.59,16.71,14.22,15.59,16.71,14.15,15.59,16.71
1955-08-01,53.04,-115.21,12.68,14.65,16.00,12.68,14.65,16.00,12.68,14.58,16.00
1955-09-01,53.04,-115.21,7.25,10.21,12.05,7.25,10.21,12.05,7.25,10.21,12.05
1955-10-01,53.04,-115.21,2.98,4.51,8.17,2.98,4.51,8.17,2.98,4.51,8.17
