time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-115.21,53.04,14.64,23.01,39.10,14.64,23.01,39.05,14.64,23.01,39.05
1950-02-01,-115.21,53.04,6.73,15.98,26.99,6.93,15.98,25.65,7.07,15.98,25.62
1950-03-01,-115.21,53.04,3.11,10.90,22.78,3.21,11.01,23.38,3.21,10.76,23.06
1950-04-01,-115.21,53.04,9.37,15.53,32.72,9.77,15.53,30.39,9.50,15.53,30.10
1950-05-01,-115.21,53.04,33.18,61.47,89.37,32.59,61.48,88.43,32.89,61.48,88.43
1950-06-01,-115.21,53.04,43.00,78.22,120.43,43.23,77.95,121.91,43.23,77.95,116.21
1950-07-01,-115.21,53.04,48.99,89.68,172.81,48.99,89.51,172.48,48.99,89.51,173.99
1950-08-01,-115.21,53.04,23.88,55.46,123.36,24.20,54.24,116.25,23.83,55.20,127.21
1950-09-01,-115.21,53.04,15.56,41.87,80.51,15.56,41.87,80.51,15.56,41.87,80.51
1950-10-01,-115.21,53.04,7.97,19.59,42.03,7.91,19.41,42.46,7.91,19.12,43.57
1950-11-01,-115.21,53.04,5.77,12.78,32.73,5.77,12.20,30.93,5.77,12.48,29.65
1950-12-01,-115.21,53.04,8.17,14.41,41.21,8.17,14.41,41.21,8.17,14.41,40.62
1951-01-01,-115.21,53.04,10.44,19.64,43.37,10.20,19.64,43.09,10.20,19.64,42.63
1951-02-01,-115.21,53.04,7.95,17.34,33.92,7.95,17.14,33.92,7.95,17.75,33.92
1951-03-01,-115.21,53.04,4.01,11.72,25.20,3.96,11.72,25.64,3.96,11.72,25.26
1951-04-01,-115.21,53.04,11.04,19.11,33.50,10.30,19.61,34.44,10.27,19.61,33.91
1951-05-01,-115.21,53.04,22.93,64.37,108.82,22.93,65.17,108.82,22.93,64.60,108.82
1951-06-01,-115.21,53.04,38.73,70.59,131.84,38.89,70.91,131.83,38.52,70.91,131.83
1951-07-01,-115.21,53.04,45.55,87.85,185.74,46.58,88.78,183.55,46.32,88.78,187.19
1951-08-01,-115.21,53.04,19.98,49.49,120.88,19.88,49.21,120.88,19.89,52.66,120.88
1951-09-01,-115.21,53.04,20.94,52.62,92.58,20.69,52.62,92.80,20.69,52.62,92.23
1951-10-01,-115.21,53.04,8.58,18.16,36.11,8.51,18.21,33.42,8.21,18.74,34.47
1951-11-01,-115.21,53.04,3.77,11.50,25.82,3.59,11.50,25.82,3.66,11.50,25.82
1951-12-01,-115.21,53.04,6.28,16.56,31.67,6.24,16.59,31.67,6.11,16.59,31.67
1952-01-01,-115.21,53.04,10.86,22.72,39.29,10.86,22.72,39.29,10.86,22.72,39.29
1952-02-01,-115.21,53.04,4.21,16.73,26.47,4.31,16.87,25.67,4.31,16.87,25.63
1952-03-01,-115.21,53.04,4.81,11.17,16.84,4.81,11.64,16.84,4.81,11.25,16.84
1952-04-01,-115.21,53.04,7.52,14.35,29.56,7.06,14.37,29.64,7.62,14.37,29.84
1952-05-01,-115.21,53.04,39.91,73.80,113.30,39.91,72.85,111.60,39.91,72.03,112.78
1952-06-01,-115.21,53.04,40.55,67.92,136.44,40.12,67.92,137.45,38.85,67.92,136.05
1952-07-01,-115.21,53.04,47.57,110.17,157.22,47.64,110.17,156.73,47.64,110.17,159.75
1952-08-01,-115.21,53.04,22.10,65.85,128.99,21.23,64.62,130.46,22.30,64.62,127.96
1952-09-01,-115.21,53.04,26.08,67.23,92.40,26.08,66.90,94.17,26.08,66.90,95.72
1952-10-01,-115.21,53.04,5.11,15.59,43.48,5.11,15.59,42.64,5.11,15.59,42.69
1952-11-01,-115.21,53.04,5.20,12.09,22.18,5.07,11.87,22.29,5.08,11.87,22.52
1952-12-01,-115.21,53.04,6.60,19.00,30.23,6.60,19.00,30.60,6.60,18.96,29.18
1953-01-01,-115.21,53.04,8.92,26.03,58.53,8.92,25.60,58.53,8.92,25.89,58.54
1953-02-01,-115.21,53.04,7.04,16.32,26.29,7.04,16.32,26.76,7.02,16.32,26.76
1953-03-01,-115.21,53.04,4.34,10.69,24.29,4.34,10.59,24.41,4.34,10.59,24.16
