time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-121.29,49.29,131.40,158.00,177.50,131.40,158.00,177.50,132.00,156.00,177.50
1951-01-01,-121.29,49.29,132.30,148.00,162.70,132.30,148.00,162.70,132.30,148.00,162.70
1952-01-01,-121.29,49.29,133.00,148.50,171.00,133.00,148.50,171.00,133.00,148.50,171.00
1953-01-01,-121.29,49.29,139.60,153.50,167.40,139.60,154.50,167.40,139.60,154.00,167.40
1954-01-01,-121.29,49.29,130.00,152.50,164.70,130.00,152.50,164.70,130.00,152.50,164.70
1955-01-01,-121.29,49.29,132.40,153.00,163.80,129.30,153.00,163.80,129.30,153.00,160.70
1956-01-01,-121.29,49.29,130.00,152.50,168.10,130.30,152.50,164.50,130.30,153.00,169.50
1957-01-01,-121.29,49.29,127.30,151.50,162.50,127.00,151.00,161.90,127.30,151.50,161.90
1958-01-01,-121.29,49.29,132.50,153.50,163.70,132.50,152.50,163.70,132.50,153.50,163.70
1959-01-01,-121.29,49.29,132.30,154.00,167.00,131.30,155.50,167.00,128.20,154.00,167.00
1960-01-01,-121.29,49.29,128.90,152.50,169.80,130.40,152.50,169.80,130.40,152.50,169.80
1961-01-01,-121.29,49.29,127.90,142.00,168.00,127.90,139.50,168.00,127.90,139.00,168.00
1962-01-01,-121.29,49.29,137.60,155.50,165.90,137.60,155.50,165.90,137.60,155.50,160.70
1963-01-01,-121.29,49.29,132.30,146.00,164.40,132.30,146.00,164.40,132.30,146.00,168.50
1964-01-01,-121.29,49.29,135.20,153.50,171.40,135.20,153.50,171.40,135.20,153.50,171.40
1965-01-01,-121.29,49.29,129.90,155.00,168.70,129.90,155.00,168.00,129.90,155.00,168.00
1966-01-01,-121.29,49.29,129.30,143.50,169.00,129.30,142.00,169.00,130.00,139.50,169.00
1967-01-01,-121.29,49.29,128.60,149.50,164.10,128.60,149.50,164.10,128.60,151.50,174.10
1968-01-01,-121.29,49.29,133.50,150.50,169.00,133.50,150.50,170.40,133.50,150.50,169.00
1969-01-01,-121.29,49.29,127.00,149.00,174.40,127.00,149.00,174.40,125.60,152.50,174.40
1970-01-01,-121.29,49.29,134.30,157.00,171.70,134.30,157.00,171.70,134.30,157.00,171.70
1971-01-01,-121.29,49.29,131.30,142.50,156.40,132.00,143.00,163.30,131.30,142.50,163.30
1972-01-01,-121.29,49.29,134.00,152.00,183.40,134.00,152.00,183.40,133.30,152.00,183.40
1973-01-01,-121.29,49.29,138.30,155.50,165.10,138.30,155.50,165.10,136.60,155.50,165.10
1974-01-01,-121.29,49.29,132.60,149.50,163.70,132.60,149.00,163.70,132.60,149.00,163.70
1975-01-01,-121.29,49.29,126.00,151.00,164.40,126.90,151.00,163.70,126.90,151.00,163.70
1976-01-01,-121.29,49.29,129.20,141.50,164.70,132.30,141.50,163.70,129.20,141.50,163.70
1977-01-01,-121.29,49.29,133.60,154.50,168.10,133.60,154.50,169.00,133.60,154.50,168.10
1978-01-01,-121.29,49.29,130.30,153.00,161.10,131.00,153.00,161.10,130.30,153.00,163.20
1979-01-01,-121.29,49.29,132.30,156.00,165.40,132.30,156.00,165.40,137.90,156.00,165.40
1980-01-01,-121.29,49.29,130.20,153.50,167.40,125.30,153.50,166.20,126.30,153.50,166.20
1981-01-01,-121.29,49.29,135.00,151.50,176.80,135.00,151.50,176.80,135.00,151.50,176.80
1982-01-01,-121.29,49.29,135.30,152.50,175.20,135.00,152.50,175.20,135.00,152.50,175.20
1983-01-01,-121.29,49.29,128.30,145.50,164.70,129.60,151.00,164.70,128.30,145.50,164.70
1984-01-01,-121.29,49.29,127.30,140.50,161.80,127.30,144.00,162.50,127.30,143.00,162.50
1985-01-01,-121.29,49.29,127.20,139.50,169.80,126.50,139.50,169.80,126.50,139.50,169.80
1986-01-01,-121.29,49.29,127.60,150.50,162.70,127.60,153.00,162.70,127.60,151.50,162.70
1987-01-01,-121.29,49.29,132.00,152.00,163.00,132.00,152.00,162.70,132.00,152.00,162.70
1988-01-01,-121.29,49.29,128.30,144.50,159.40,128.30,144.50,159.40,128.30,144.50,158.70
1989-01-01,-121.29,49.29,132.60,149.00,167.00,132.60,152.00,167.00,132.60,147.50,166.70
1990-01-01,-121.29,49.29,127.90,143.00,172.60,127.90,143.00,170.50,127.90,143.00,162.10
1991-01-01,-121.29,49.29,128.30,147.00,165.60,128.30,145.00,165.30,128.30,145.50,165.30
1992-01-01,-121.29,49.29,126.60,145.00,162.70,126.30,143.50,161.40,126.30,145.00,162.70
1993-01-01,-121.29,49.29,129.00,148.00,163.10,128.30,150.00,163.10,128.30,150.00,163.10
1994-01-01,-121.29,49.29,133.30,154.00,161.80,133.30,155.00,161.80,133.30,154.50,161.80
1995-01-01,-121.29,49.29,136.30,144.00,156.00,137.00,149.00,158.10,136.30,149.00,158.80
1996-01-01,-121.29,49.29,129.00,144.00,161.50,127.60,145.50,161.50,128.30,144.00,157.70
1997-01-01,-121.29,49.29,120.60,139.00,158.00,120.90,137.00,158.00,123.30,142.50,159.40
1998-01-01,-121.29,49.29,126.00,144.00,160.10,126.90,143.50,160.10,126.00,145.00,161.00
1999-01-01,-121.29,49.29,128.30,141.00,156.70,128.30,141.00,156.70,128.30,141.00,156.40
2000-01-01,-121.29,49.29,129.30,137.00,159.10,130.00,137.00,159.10,128.30,136.50,159.10
2001-01-01,-121.29,49.29,123.60,141.00,159.70,123.60,141.50,159.00,123.60,141.50,159.00
2002-01-01,-121.29,49.29,125.20,134.00,152.70,128.60,134.50,152.70,128.30,134.50,152.70
2003-01-01,-121.29,49.29,130.00,144.50,159.70,129.30,140.50,159.70,129.30,140.00,159.70
2004-01-01,-121.29,49.29,124.30,137.50,162.50,124.30,137.50,162.50,124.30,138.50,162.50
2005-01-01,-121.29,49.29,124.20,135.00,159.00,124.20,135.00,158.20,124.30,135.00,157.50
2006-01-01,-121.29,49.29,131.30,141.00,153.70,126.90,136.50,156.40,122.20,134.00,152.50
2007-01-01,-121.29,49.29,129.00,138.00,156.00,131.00,142.00,163.40,126.30,139.50,163.00
2008-01-01,-121.29,49.29,123.30,138.50,155.40,128.60,138.00,157.40,125.50,139.50,153.40
2009-01-01,-121.29,49.29,119.10,135.50,156.50,124.90,133.00,156.00,124.30,143.00,162.80
2010-01-01,-121.29,49.29,122.30,131.50,155.10,122.90,130.00,146.40,123.90,134.00,152.60
2011-01-01,-121.29,49.29,123.60,139.00,154.00,123.30,132.00,152.10,124.30,137.00,155.80
