time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,49.29,-121.29,-8.24,-5.23,-1.75,-8.24,-5.23,-1.75,-8.24,-5.23,-1.75
1950-02-01,49.29,-121.29,-6.25,-2.66,0.21,-6.25,-2.66,0.21,-6.25,-2.66,0.21
1950-03-01,49.29,-121.29,-3.46,-1.27,2.08,-3.46,-1.27,2.08,-3.46,-1.27,2.00
1950-04-01,49.29,-121.29,0.60,2.62,4.31,0.60,2.62,4.31,0.60,2.62,4.31
1950-05-01,49.29,-121.29,4.04,7.02,9.06,4.04,7.02,9.06,4.04,7.02,9.06
1950-06-01,49.29,-121.29,7.79,10.20,12.69,7.79,10.20,12.69,7.79,10.20,12.69
1950-07-01,49.29,-121.29,12.23,13.50,16.30,12.23,13.50,16.30,12.23,13.50,16.30
1950-08-01,49.29,-121.29,11.54,13.60,15.26,11.54,13.60,15.26,11.54,13.60,15.26
1950-09-01,49.29,-121.29,8.67,9.84,12.07,8.67,9.84,12.07,8.67,9.84,12.07
1950-10-01,49.29,-121.29,2.64,4.54,6.16,2.64,4.54,6.16,2.64,4.54,6.16
1950-11-01,49.29,-121.29,-4.00,-1.83,1.04,-4.00,-1.83,1.04,-4.00,-1.83,1.04
1950-12-01,49.29,-121.29,-6.75,-4.29,-1.65,-6.75,-4.29,-1.65,-6.75,-4.29,-1.65
1951-01-01,49.29,-121.29,-7.88,-5.19,-2.19,-7.88,-5.19,-2.19,-7.88,-5.23,-2.19
1951-02-01,49.29,-121.29,-5.68,-2.54,-0.34,-5.68,-2.54,-0.34,-5.68,-2.54,-0.34
1951-03-01,49.29,-121.29,-4.22,-0.86,2.34,-4.22,-0.86,2.34,-4.22,-0.98,2.34
1951-04-01,49.29,-121.29,-0.22,2.20,4.46,-0.22,2.20,4.46,-0.22,2.20,4.46
1951-05-01,49.29,-121.29,5.08,6.88,9.17,5.08,6.88,9.17,5.08,6.88,9.17
1951-06-01,49.29,-121.29,8.39,9.81,12.51,8.39,9.81,12.51,8.39,9.81,12.51
1951-07-01,49.29,-121.29,12.13,13.56,14.74,12.13,13.56,14.74,12.13,13.56,14.74
1951-08-01,49.29,-121.29,11.38,14.25,15.31,11.38,14.25,15.31,11.31,14.25,15.31
1951-09-01,49.29,-121.29,8.29,9.81,12.65,8.29,9.81,12.65,8.29,9.81,12.65
1951-10-01,49.29,-121.29,3.23,4.39,7.15,3.23,4.39,7.15,3.23,4.39,7.15
1951-11-01,49.29,-121.29,-3.44,-1.56,0.55,-3.44,-1.56,0.55,-3.47,-1.56,0.55
1951-12-01,49.29,-121.29,-5.47,-4.42,-2.03,-5.47,-4.42,-2.03,-5.51,-4.42,-2.03
1952-01-01,49.29,-121.29,-8.26,-6.40,-2.98,-8.26,-6.40,-2.98,-8.26,-6.40,-2.98
1952-02-01,49.29,-121.29,-6.13,-2.96,-0.79,-6.13,-2.96,-0.79,-6.16,-2.96,-0.79
1952-03-01,49.29,-121.29,-4.04,-1.57,0.35,-4.04,-1.57,0.35,-4.04,-1.57,0.35
1952-04-01,49.29,-121.29,0.78,2.36,5.28,0.78,2.36,5.28,0.78,2.36,5.28
1952-05-01,49.29,-121.29,4.31,6.17,8.86,4.31,6.17,8.86,4.31,6.17,8.86
1952-06-01,49.29,-121.29,8.07,10.70,12.98,8.07,10.70,12.98,8.07,10.70,12.98
1952-07-01,49.29,-121.29,11.67,13.01,16.05,11.67,13.01,16.05,11.67,13.01,16.05
1952-08-01,49.29,-121.29,11.46,13.54,14.80,11.46,13.54,14.80,11.46,13.40,14.80
1952-09-01,49.29,-121.29,7.92,8.75,10.40,7.92,8.75,10.40,7.92,8.75,10.40
1952-10-01,49.29,-121.29,2.16,4.33,6.95,2.16,4.33,6.95,2.16,4.33,6.95
1952-11-01,49.29,-121.29,-4.84,-1.92,0.83,-4.84,-1.92,0.83,-4.84,-1.92,0.83
1952-12-01,49.29,-121.29,-8.40,-4.36,-2.56,-8.40,-4.36,-2.56,-8.40,-4.36,-2.56
1953-01-01,49.29,-121.29,-8.59,-4.04,-1.84,-8.59,-4.04,-1.84,-8.59,-4.04,-2.10
1953-02-01,49.29,-121.29,-5.49,-2.56,-0.89,-5.49,-2.56,-0.89,-5.49,-2.56,-0.89
1953-03-01,49.29,-121.29,-4.42,-1.30,0.34,-4.42,-1.30,0.34,-4.42,-1.30,0.14
1953-04-01,49.29,-121.29,0.14,2.20,5.11,0.14,2.20,5.11,0.14,2.20,5.11
1953-05-01,49.29,-121.29,5.06,6.30,7.87,5.06,6.30,7.87,5.06,6.30,7.87
1953-06-01,49.29,-121.29,7.92,10.16,12.08,7.92,10.16,12.08,7.92,10.15,12.08
1953-07-01,49.29,-121.29,11.48,12.69,14.15,11.48,12.69,14.15,11.48,12.69,14.15
1953-08-01,49.29,-121.29,11.27,12.68,14.43,11.27,12.68,14.43,11.27,12.68,14.43
1953-09-01,49.29,-121.29,7.42,9.08,11.18,7.42,9.08,11.18,7.42,9.08,11.18
1953-10-01,49.29,-121.29,3.26,5.14,6.31,3.26,5.14,6.31,3.26,5.14,6.31
1953-11-01,49.29,-121.29,-2.92,-0.88,0.37,-2.92,-0.88,0.37,-2.92,-0.88,0.37
1953-12-01,49.29,-121.29,-6.59,-5.01,-2.81,-6.59,-5.01,-2.81,-6.59,-5.01,-2.81
1954-01-01,49.29,-121.29,-7.72,-4.93,-1.94,-7.72,-4.93,-1.94,-7.72,-5.09,-1.94
