time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-121.29,49.29,85.95,148.63,201.84,85.95,148.31,200.17,85.95,150.12,200.17
1950-02-01,-121.29,49.29,51.14,104.42,142.07,51.14,104.42,142.07,51.14,104.42,142.07
1950-03-01,-121.29,49.29,71.44,109.03,144.51,71.30,109.03,143.60,71.30,108.35,142.14
1950-04-01,-121.29,49.29,35.06,72.04,96.06,35.18,72.23,96.06,34.84,72.23,96.06
1950-05-01,-121.29,49.29,20.77,46.28,77.83,20.77,45.01,77.06,20.77,45.01,77.06
1950-06-01,-121.29,49.29,11.71,54.59,79.31,9.53,56.39,79.41,9.56,57.25,79.41
1950-07-01,-121.29,49.29,12.10,34.26,66.13,12.10,34.31,66.77,12.10,34.31,67.23
1950-08-01,-121.29,49.29,7.55,49.71,85.61,7.56,49.07,85.61,7.21,47.79,85.61
1950-09-01,-121.29,49.29,8.43,29.02,77.69,8.20,28.79,77.69,8.20,28.78,77.69
1950-10-01,-121.29,49.29,41.15,94.31,163.37,41.15,91.02,163.37,41.15,92.83,163.37
1950-11-01,-121.29,49.29,68.04,144.65,242.32,68.06,144.65,241.90,68.01,144.65,243.27
1950-12-01,-121.29,49.29,66.49,164.95,238.07,67.76,161.51,238.07,67.89,162.38,238.07
1951-01-01,-121.29,49.29,78.29,151.08,227.31,78.29,156.29,226.82,78.29,156.34,230.64
1951-02-01,-121.29,49.29,66.76,103.23,165.85,66.76,102.16,160.76,66.76,103.84,162.93
1951-03-01,-121.29,49.29,59.30,90.56,135.35,59.30,89.48,135.35,59.30,88.01,135.35
1951-04-01,-121.29,49.29,35.32,73.88,122.34,35.26,73.88,123.23,35.77,73.88,124.50
1951-05-01,-121.29,49.29,25.28,47.43,83.57,25.28,47.40,84.77,25.28,47.40,82.85
1951-06-01,-121.29,49.29,29.39,54.09,102.06,30.12,55.44,99.54,29.74,55.44,99.54
