time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-113.71,49.29,241.30,259.50,275.90,241.30,259.00,275.90,241.30,259.50,275.90
1951-01-01,-113.71,49.29,243.00,261.00,269.40,243.00,258.00,267.70,243.00,258.00,267.70
1952-01-01,-113.71,49.29,241.20,256.00,266.40,241.20,256.00,266.70,241.20,256.00,266.70
1953-01-01,-113.71,49.29,242.00,259.00,277.20,242.00,259.00,277.20,242.00,259.00,276.30
1954-01-01,-113.71,49.29,239.60,260.50,272.80,239.60,260.50,272.80,239.60,260.50,272.80
1955-01-01,-113.71,49.29,243.60,255.00,271.70,243.60,254.00,271.70,243.60,255.00,271.70
1956-01-01,-113.71,49.29,245.50,256.50,268.40,245.50,256.50,268.40,245.50,256.50,268.40
1957-01-01,-113.71,49.29,243.60,256.50,269.00,244.50,257.00,269.00,243.60,257.00,269.00
1958-01-01,-113.71,49.29,245.20,256.00,278.50,244.00,256.00,278.50,244.00,256.00,278.50
1959-01-01,-113.71,49.29,250.30,259.00,269.70,250.30,259.00,269.70,250.30,259.00,269.70
1960-01-01,-113.71,49.29,250.60,264.00,279.40,250.60,264.00,279.40,250.60,264.00,279.40
1961-01-01,-113.71,49.29,243.00,259.00,265.70,243.00,259.00,265.70,243.00,260.00,265.70
1962-01-01,-113.71,49.29,241.20,259.50,268.70,241.20,259.00,268.70,241.20,258.50,268.70
1963-01-01,-113.71,49.29,241.60,258.50,275.00,242.30,258.50,275.00,242.30,259.00,275.00
1964-01-01,-113.71,49.29,237.60,256.50,276.40,237.60,256.50,276.40,237.60,256.50,276.40
1965-01-01,-113.71,49.29,243.20,258.00,269.80,243.20,258.00,269.80,242.90,256.00,269.80
1966-01-01,-113.71,49.29,238.30,255.50,267.70,238.30,255.50,267.70,239.60,255.50,267.00
1967-01-01,-113.71,49.29,241.60,257.00,268.70,241.60,258.50,269.00,241.60,258.50,269.00
1968-01-01,-113.71,49.29,241.90,257.00,267.00,242.20,257.00,268.40,241.90,256.00,267.00
1969-01-01,-113.71,49.29,241.30,255.50,267.70,241.30,256.00,267.70,241.30,256.00,267.70
1970-01-01,-113.71,49.29,242.20,256.50,271.70,242.20,257.00,271.70,242.20,257.50,271.70
1971-01-01,-113.71,49.29,243.00,256.50,262.70,243.00,257.50,262.70,243.00,257.50,262.70
1972-01-01,-113.71,49.29,236.90,253.50,267.10,236.90,253.50,267.10,235.30,253.50,267.10
1973-01-01,-113.71,49.29,238.30,257.50,268.00,238.30,257.50,267.70,238.30,257.50,268.00
1974-01-01,-113.71,49.29,241.00,255.00,266.70,241.00,255.00,266.70,241.00,255.00,266.70
1975-01-01,-113.71,49.29,243.60,257.50,270.20,243.60,256.50,270.20,240.80,255.50,270.20
1976-01-01,-113.71,49.29,235.80,256.50,271.10,236.10,256.50,271.10,236.10,256.50,271.10
1977-01-01,-113.71,49.29,251.30,263.00,271.40,248.90,261.50,271.40,248.90,261.50,271.40
1978-01-01,-113.71,49.29,243.00,260.00,275.00,243.00,260.00,275.00,243.00,260.00,275.00
1979-01-01,-113.71,49.29,250.20,262.50,273.80,250.90,262.50,273.80,250.90,262.50,273.80
1980-01-01,-113.71,49.29,242.30,255.50,272.20,242.30,255.50,272.20,242.30,255.50,271.50
1981-01-01,-113.71,49.29,243.00,260.00,278.30,243.00,260.00,278.30,243.00,260.00,278.30
1982-01-01,-113.71,49.29,239.90,259.50,270.70,239.90,259.50,272.40,239.90,258.00,270.70
1983-01-01,-113.71,49.29,240.60,257.00,266.40,240.60,257.00,265.00,242.30,257.00,265.00
1984-01-01,-113.71,49.29,243.80,264.50,279.50,248.60,264.50,279.50,248.60,264.50,279.50
1985-01-01,-113.71,49.29,238.60,258.00,269.00,238.60,258.00,267.50,240.30,258.00,268.70
1986-01-01,-113.71,49.29,248.30,259.00,271.00,249.30,258.00,270.40,248.30,259.00,270.40
1987-01-01,-113.71,49.29,232.50,255.00,272.00,236.60,255.00,272.00,232.50,255.00,272.00
