time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-113.71,49.29,122.60,143.00,158.40,122.60,143.00,158.40,122.60,143.00,161.10
1951-01-01,-113.71,49.29,121.60,138.00,158.00,121.60,138.00,158.00,121.60,138.00,158.00
1952-01-01,-113.71,49.29,129.60,138.00,152.00,129.30,138.00,152.00,129.60,138.00,152.00
1953-01-01,-113.71,49.29,127.30,138.00,147.40,127.30,138.00,147.40,127.30,138.00,147.40
1954-01-01,-113.71,49.29,127.60,141.00,160.70,127.60,140.50,160.70,126.30,140.50,160.70
1955-01-01,-113.71,49.29,125.00,135.50,155.70,125.60,135.50,155.70,124.90,135.50,155.70
1956-01-01,-113.71,49.29,128.90,142.50,164.20,128.90,142.50,164.20,128.90,142.50,164.20
1957-01-01,-113.71,49.29,124.60,138.50,155.70,124.90,139.50,155.70,124.90,139.00,155.00
1958-01-01,-113.71,49.29,126.30,140.50,156.70,126.30,138.50,156.70,126.30,138.50,156.70
1959-01-01,-113.71,49.29,126.60,143.00,163.70,126.60,142.00,163.70,126.60,144.50,163.70
1960-01-01,-113.71,49.29,132.00,143.50,163.60,132.00,143.50,165.10,132.00,144.00,165.10
1961-01-01,-113.71,49.29,125.60,132.50,147.50,125.90,133.00,146.10,125.60,132.50,145.40
1962-01-01,-113.71,49.29,127.00,136.50,163.50,127.00,139.00,161.90,127.00,137.50,162.80
1963-01-01,-113.71,49.29,132.20,143.00,159.00,132.20,143.00,158.40,132.20,143.00,158.40
1964-01-01,-113.71,49.29,129.90,145.00,167.10,129.60,145.00,164.70,129.60,145.00,163.70
1965-01-01,-113.71,49.29,129.60,140.00,157.40,129.60,140.00,157.40,129.60,141.50,157.40
1966-01-01,-113.71,49.29,129.00,138.00,171.20,129.00,138.50,171.20,129.90,138.50,171.20
1967-01-01,-113.71,49.29,125.00,143.50,156.70,125.00,143.50,156.70,125.00,143.50,156.00
1968-01-01,-113.71,49.29,129.30,146.50,168.20,129.30,146.50,168.20,129.30,146.50,168.20
1969-01-01,-113.71,49.29,126.30,139.50,164.70,126.30,139.50,164.70,126.30,140.00,164.70
1970-01-01,-113.71,49.29,126.00,135.50,157.10,126.00,135.50,156.40,126.00,135.50,156.40
1971-01-01,-113.71,49.29,125.90,139.00,157.00,125.90,141.50,157.00,125.90,141.50,156.40
1972-01-01,-113.71,49.29,130.00,147.50,180.20,130.00,147.50,180.20,130.00,149.00,180.20
1973-01-01,-113.71,49.29,130.50,140.00,163.70,130.50,140.00,166.80,130.50,139.50,166.80
1974-01-01,-113.71,49.29,131.90,145.00,158.00,131.90,145.50,158.00,131.90,145.50,158.00
1975-01-01,-113.71,49.29,133.30,142.00,157.80,133.30,142.50,157.80,133.30,142.50,157.80
1976-01-01,-113.71,49.29,124.60,137.00,160.90,124.30,136.50,160.90,124.60,136.50,160.90
1977-01-01,-113.71,49.29,116.40,138.50,156.00,116.40,140.00,156.00,116.40,139.50,156.00
1978-01-01,-113.71,49.29,130.30,139.50,159.60,130.30,139.50,154.00,131.00,140.50,159.60
1979-01-01,-113.71,49.29,128.00,137.00,155.00,128.00,137.00,155.00,128.00,137.00,155.00
1980-01-01,-113.71,49.29,125.90,136.00,160.70,125.60,136.00,160.70,125.60,136.00,160.70
1981-01-01,-113.71,49.29,130.30,136.50,154.80,130.00,135.00,154.80,130.00,136.00,153.40
1982-01-01,-113.71,49.29,125.00,136.50,160.40,125.00,136.50,160.40,125.00,134.00,160.40
1983-01-01,-113.71,49.29,123.60,135.00,157.90,123.60,135.00,157.90,123.60,135.00,156.50
1984-01-01,-113.71,49.29,124.30,140.50,153.00,124.30,140.00,153.00,124.30,140.50,152.70
1985-01-01,-113.71,49.29,123.60,136.00,161.10,124.30,135.00,161.10,123.60,136.00,161.10
1986-01-01,-113.71,49.29,122.30,136.50,157.00,122.30,137.50,155.80,122.30,136.50,157.00
1987-01-01,-113.71,49.29,126.30,142.50,157.70,126.30,142.00,156.40,126.30,142.50,156.40
1988-01-01,-113.71,49.29,126.30,135.50,148.40,126.30,135.50,148.40,126.30,135.50,150.40
1989-01-01,-113.71,49.29,126.20,136.00,160.40,125.30,133.00,160.40,125.60,132.50,160.40
1990-01-01,-113.71,49.29,121.30,134.50,156.70,121.30,134.50,156.70,121.30,137.00,156.40
1991-01-01,-113.71,49.29,124.00,136.00,161.10,124.00,136.00,166.20,124.00,136.00,166.20
1992-01-01,-113.71,49.29,125.60,139.50,161.10,125.60,139.50,161.10,125.60,139.50,158.70
1993-01-01,-113.71,49.29,127.00,140.00,159.70,127.00,140.00,159.70,127.00,139.50,159.70
1994-01-01,-113.71,49.29,125.90,137.00,156.40,125.90,136.50,156.40,125.90,136.00,156.40
1995-01-01,-113.71,49.29,126.30,135.00,158.70,126.30,134.00,158.70,125.60,134.50,158.70
1996-01-01,-113.71,49.29,114.20,138.50,155.00,114.20,138.00,155.00,114.20,140.00,155.00
1997-01-01,-113.71,49.29,122.90,135.00,153.70,122.90,135.50,153.70,122.90,135.50,153.70
1998-01-01,-113.71,49.29,122.60,130.50,145.40,122.60,130.50,144.70,122.60,130.50,144.40
1999-01-01,-113.71,49.29,122.00,135.00,151.30,122.00,135.00,152.70,122.00,136.00,152.70
2000-01-01,-113.71,49.29,124.60,132.50,141.00,124.60,132.50,142.40,124.60,132.50,142.40
2001-01-01,-113.71,49.29,127.00,135.00,158.40,127.00,134.50,159.10,127.00,134.00,159.10
2002-01-01,-113.71,49.29,122.60,131.50,146.00,123.30,131.50,146.00,122.60,131.50,146.00
2003-01-01,-113.71,49.29,121.80,132.00,155.70,121.80,134.50,155.70,121.80,133.50,155.40
2004-01-01,-113.71,49.29,122.30,134.00,157.20,122.30,134.00,157.20,122.30,134.00,160.00
2005-01-01,-113.71,49.29,111.20,129.00,154.80,111.20,129.00,154.80,111.30,128.00,154.70
2006-01-01,-113.71,49.29,127.00,138.50,154.70,124.00,132.00,149.90,112.60,132.00,142.70
2007-01-01,-113.71,49.29,122.90,134.00,157.00,124.30,132.50,155.00,118.90,135.00,153.90
2008-01-01,-113.71,49.29,123.60,133.50,151.50,121.50,135.00,151.10,115.60,130.00,145.40
2009-01-01,-113.71,49.29,124.30,135.50,150.10,124.00,129.00,149.80,113.30,129.50,156.40
2010-01-01,-113.71,49.29,115.10,130.50,147.40,114.50,129.50,143.00,121.90,134.00,155.20
2011-01-01,-113.71,49.29,118.90,133.00,152.70,121.30,129.50,146.10,116.40,134.00,163.50
2012-01-01,-113.71,49.29,113.60,129.50,152.90,124.00,129.50,149.20,117.50,134.00,158.80
