time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,49.21,-114.29,-12.74,-9.22,-4.88,-12.74,-9.22,-4.88,-12.74,-9.22,-4.88
1950-02-01,49.21,-114.29,-11.44,-6.25,-1.53,-11.44,-6.25,-1.53,-11.44,-6.25,-1.53
1950-03-01,49.21,-114.29,-9.63,-5.13,-0.95,-9.63,-5.13,-0.95,-9.63,-5.19,-0.95
1950-04-01,49.21,-114.29,-2.61,-0.83,2.42,-2.61,-0.83,2.42,-2.61,-0.83,2.42
1950-05-01,49.21,-114.29,2.48,5.24,7.45,2.48,5.24,7.45,2.48,5.24,7.45
1950-06-01,49.21,-114.29,6.78,9.30,12.02,6.78,9.30,12.02,6.78,9.30,12.02
1950-07-01,49.21,-114.29,11.24,12.99,15.25,11.24,12.99,15.25,11.24,12.99,15.25
1950-08-01,49.21,-114.29,10.05,12.70,15.16,10.05,12.70,15.16,10.05,12.70,15.16
1950-09-01,49.21,-114.29,5.19,7.04,10.97,5.19,7.04,10.97,5.19,7.04,10.97
1950-10-01,49.21,-114.29,-0.17,2.67,5.01,-0.17,2.67,5.01,-0.17,2.67,5.01
1950-11-01,49.21,-114.29,-7.50,-5.09,-1.42,-7.50,-5.09,-1.42,-7.50,-5.09,-1.42
1950-12-01,49.21,-114.29,-10.85,-7.07,-3.52,-10.85,-7.07,-3.52,-10.85,-7.07,-3.52
1951-01-01,49.21,-114.29,-12.26,-9.76,-4.12,-12.26,-9.76,-4.12,-12.26,-10.07,-4.12
1951-02-01,49.21,-114.29,-10.51,-5.88,-2.71,-10.51,-5.88,-2.71,-10.51,-5.88,-2.71
1951-03-01,49.21,-114.29,-9.12,-4.61,-1.55,-9.12,-4.61,-1.55,-9.12,-4.61,-1.55
1951-04-01,49.21,-114.29,-4.22,-0.14,3.02,-4.22,-0.14,3.02,-4.22,-0.14,2.96
1951-05-01,49.21,-114.29,2.32,5.10,7.21,2.32,5.10,7.21,2.32,5.10,7.21
1951-06-01,49.21,-114.29,6.01,8.92,11.24,6.01,8.92,11.24,6.01,8.92,11.24
1951-07-01,49.21,-114.29,11.15,12.83,14.70,11.15,12.83,14.70,11.15,12.83,14.70
1951-08-01,49.21,-114.29,11.24,13.13,14.53,11.24,13.13,14.53,11.24,13.13,14.53
1951-09-01,49.21,-114.29,5.38,8.14,10.02,5.38,8.14,10.02,5.38,8.14,10.02
1951-10-01,49.21,-114.29,0.74,2.30,5.64,0.74,2.30,5.64,0.75,2.30,5.64
1951-11-01,49.21,-114.29,-7.08,-4.38,-1.99,-7.08,-4.38,-1.99,-7.08,-4.38,-1.99
1951-12-01,49.21,-114.29,-10.66,-7.30,-4.72,-10.66,-7.30,-4.72,-10.66,-7.30,-4.72
1952-01-01,49.21,-114.29,-12.97,-10.90,-5.02,-12.97,-10.90,-5.02,-12.97,-10.90,-5.14
1952-02-01,49.21,-114.29,-12.58,-7.67,-3.60,-12.58,-7.67,-3.60,-12.58,-7.67,-3.60
1952-03-01,49.21,-114.29,-9.03,-5.50,-2.41,-9.03,-5.50,-2.41,-9.03,-5.50,-2.54
1952-04-01,49.21,-114.29,-2.62,-0.05,2.48,-2.62,-0.05,2.48,-2.62,-0.05,2.48
1952-05-01,49.21,-114.29,2.61,4.59,6.36,2.61,4.59,6.36,2.61,4.59,6.36
1952-06-01,49.21,-114.29,7.22,9.50,11.47,7.22,9.50,11.47,7.22,9.50,11.47
1952-07-01,49.21,-114.29,11.16,12.80,15.08,11.16,12.80,15.08,11.09,12.80,15.08
1952-08-01,49.21,-114.29,10.08,12.20,14.27,10.08,12.20,14.27,10.08,12.20,14.27
1952-09-01,49.21,-114.29,3.38,6.58,8.26,3.38,6.58,8.26,3.38,6.58,8.26
1952-10-01,49.21,-114.29,-2.34,2.75,5.22,-2.34,2.75,5.22,-2.34,2.75,5.22
1952-11-01,49.21,-114.29,-9.49,-5.09,-1.88,-9.49,-5.09,-1.88,-9.49,-5.09,-1.88
1952-12-01,49.21,-114.29,-13.49,-7.58,-4.68,-13.49,-7.58,-4.68,-13.49,-7.58,-4.68
1953-01-01,49.21,-114.29,-13.87,-7.98,-3.84,-13.87,-7.98,-3.84,-13.87,-7.98,-3.84
1953-02-01,49.21,-114.29,-11.04,-5.64,-3.51,-11.04,-5.64,-3.51,-11.04,-5.64,-3.51
1953-03-01,49.21,-114.29,-12.45,-5.62,-3.09,-12.45,-5.62,-3.09,-12.45,-5.62,-3.14
1953-04-01,49.21,-114.29,-3.06,-0.81,2.85,-3.06,-0.81,2.85,-3.06,-0.81,2.75
1953-05-01,49.21,-114.29,2.84,4.75,6.48,2.84,4.75,6.48,2.84,4.75,6.48
1953-06-01,49.21,-114.29,6.24,9.03,10.89,6.24,9.03,10.89,6.24,9.03,10.89
1953-07-01,49.21,-114.29,9.85,11.94,14.26,9.85,11.94,14.26,9.85,11.94,14.26
1953-08-01,49.21,-114.29,10.40,11.70,13.69,10.40,11.70,13.69,10.40,11.70,13.69
1953-09-01,49.21,-114.29,5.17,6.98,10.19,5.17,6.98,10.19,5.17,6.92,10.19
1953-10-01,49.21,-114.29,0.89,2.64,4.73,0.89,2.64,4.73,0.89,2.64,4.73
1953-11-01,49.21,-114.29,-7.14,-3.90,-1.85,-7.14,-3.90,-1.85,-7.14,-3.90,-1.85
1953-12-01,49.21,-114.29,-11.00,-8.57,-5.44,-11.00,-8.57,-5.44,-11.00,-8.61,-5.44
1954-01-01,49.21,-114.29,-11.88,-8.93,-4.86,-11.88,-8.93,-4.86,-11.88,-8.94,-4.86
1954-02-01,49.21,-114.29,-10.12,-7.32,-3.63,-10.12,-7.32,-3.63,-10.12,-7.32,-3.63
1954-03-01,49.21,-114.29,-10.69,-5.63,-2.20,-10.69,-5.63,-2.20,-11.47,-5.63,-2.20
1954-04-01,49.21,-114.29,-3.61,-0.78,1.25,-3.61,-0.78,1.25,-3.61,-0.78,1.25
1954-05-01,49.21,-114.29,3.22,4.85,7.50,3.22,4.85,7.50,3.22,4.85,7.42
1954-06-01,49.21,-114.29,6.58,8.44,11.86,6.58,8.44,11.86,6.58,8.44,11.83
1954-07-01,49.21,-114.29,10.82,12.88,14.66,10.82,12.88,14.66,10.82,12.88,14.66
1954-08-01,49.21,-114.29,10.31,11.65,14.44,10.31,11.65,14.44,10.28,11.65,14.44
1954-09-01,49.21,-114.29,5.58,7.99,10.90,5.58,7.99,10.90,5.58,7.91,10.90
1954-10-01,49.21,-114.29,0.63,2.25,4.11,0.63,2.25,4.11,0.72,2.25,4.11
1954-11-01,49.21,-114.29,-8.48,-4.33,-1.03,-8.48,-4.33,-1.03,-8.48,-4.33,-1.03
1954-12-01,49.21,-114.29,-11.39,-7.73,-3.54,-11.39,-7.73,-3.54,-11.39,-7.73,-3.54
1955-01-01,49.21,-114.29,-15.95,-10.25,-6.50,-15.95,-10.25,-6.50,-15.95,-10.25,-6.50
1955-02-01,49.21,-114.29,-12.73,-7.15,-3.68,-12.73,-7.15,-3.68,-12.73,-7.15,-3.68
1955-03-01,49.21,-114.29,-8.38,-5.57,-2.07,-8.38,-5.57,-2.07,-8.38,-5.57,-2.46
1955-04-01,49.21,-114.29,-3.32,-0.54,2.48,-3.32,-0.54,2.48,-3.32,-0.54,2.41
1955-05-01,49.21,-114.29,2.51,5.12,6.47,2.51,5.12,6.47,2.51,5.12,6.47
1955-06-01,49.21,-114.29,6.61,8.84,12.09,6.61,8.84,12.09,6.51,8.84,12.09
1955-07-01,49.21,-114.29,10.90,13.34,14.81,10.90,13.34,14.81,10.90,13.34,14.81
1955-08-01,49.21,-114.29,10.36,12.07,14.35,10.36,12.07,14.35,10.36,12.07,14.35
1955-09-01,49.21,-114.29,4.46,7.52,9.46,4.46,7.52,9.46,4.46,7.52,9.46
1955-10-01,49.21,-114.29,-0.14,2.52,5.89,-0.14,2.52,5.89,-0.14,2.52,5.89
1955-11-01,49.21,-114.29,-6.86,-4.22,-1.83,-6.86,-4.22,-1.83,-6.86,-4.30,-1.83
1955-12-01,49.21,-114.29,-11.91,-6.39,-3.78,-11.91,-6.39,-3.78,-11.91,-6.41,-3.78
1956-01-01,49.21,-114.29,-14.80,-10.58,-6.51,-14.80,-10.58,-6.51,-14.80,-10.58,-6.51
1956-02-01,49.21,-114.29,-11.52,-6.37,-2.80,-11.52,-6.37,-2.80,-11.52,-6.37,-2.80
1956-03-01,49.21,-114.29,-7.60,-4.67,-0.91,-7.60,-4.67,-0.91,-7.80,-4.67,-0.91
1956-04-01,49.21,-114.29,-4.14,0.43,2.16,-4.14,0.43,2.16,-4.14,0.43,2.16
1956-05-01,49.21,-114.29,0.91,4.32,6.58,0.91,4.32,6.58,0.91,4.32,6.58
1956-06-01,49.21,-114.29,6.72,8.42,10.04,6.72,8.42,10.04,6.72,8.36,10.04
1956-07-01,49.21,-114.29,10.77,12.94,15.56,10.77,12.94,15.56,10.77,12.94,15.56
1956-08-01,49.21,-114.29,10.76,12.90,14.95,10.76,12.90,14.95,10.54,12.90,14.95
1956-09-01,49.21,-114.29,4.68,6.82,9.94,4.68,6.82,9.94,4.68,6.82,9.94
1956-10-01,49.21,-114.29,0.41,2.00,3.93,0.41,2.00,3.93,0.41,2.00,3.93
1956-11-01,49.21,-114.29,-7.01,-4.27,-1.26,-7.01,-4.27,-1.26,-7.01,-4.27,-1.33
1956-12-01,49.21,-114.29,-11.76,-7.42,-3.90,-11.76,-7.42,-3.90,-11.88,-7.42,-3.90
1957-01-01,49.21,-114.29,-12.85,-8.95,-5.86,-12.85,-8.95,-5.86,-12.85,-8.95,-5.86
1957-02-01,49.21,-114.29,-11.27,-7.59,-3.45,-11.27,-7.59,-3.45,-11.27,-7.59,-3.45
1957-03-01,49.21,-114.29,-8.41,-5.92,-0.51,-8.41,-5.92,-0.51,-8.41,-6.29,-0.51
1957-04-01,49.21,-114.29,-2.99,-1.15,2.82,-2.99,-1.15,2.82,-2.99,-1.18,2.82
1957-05-01,49.21,-114.29,1.76,4.76,7.50,1.76,4.76,7.50,1.76,4.76,7.50
1957-06-01,49.21,-114.29,7.45,8.35,10.21,7.45,8.35,10.21,7.43,8.35,10.21
1957-07-01,49.21,-114.29,9.92,12.66,15.16,9.92,12.66,15.16,9.92,12.65,15.16
1957-08-01,49.21,-114.29,10.22,11.61,14.28,10.22,11.61,14.28,10.22,11.61,14.22
1957-09-01,49.21,-114.29,4.39,6.84,9.08,4.39,6.84,9.08,4.39,6.77,9.08
1957-10-01,49.21,-114.29,0.41,2.65,4.40,0.41,2.65,4.40,0.41,2.65,4.40
1957-11-01,49.21,-114.29,-10.32,-5.60,-3.17,-10.32,-5.60,-3.17,-10.32,-5.60,-3.17
1957-12-01,49.21,-114.29,-11.07,-7.96,-4.02,-11.07,-7.96,-4.02,-11.14,-7.96,-4.02
1958-01-01,49.21,-114.29,-14.12,-9.04,-5.83,-14.12,-9.04,-5.83,-14.67,-9.04,-5.83
1958-02-01,49.21,-114.29,-11.87,-6.71,-4.67,-11.87,-6.71,-4.67,-11.87,-6.71,-4.67
1958-03-01,49.21,-114.29,-10.69,-5.13,-2.05,-10.69,-5.13,-2.05,-10.69,-5.13,-2.15
1958-04-01,49.21,-114.29,-4.36,-1.08,1.12,-4.36,-1.08,1.12,-4.36,-1.08,1.12
1958-05-01,49.21,-114.29,2.34,3.80,7.37,2.34,3.80,7.37,2.26,3.80,7.37
1958-06-01,49.21,-114.29,6.58,8.26,9.64,6.58,8.26,9.64,6.58,8.22,9.64
1958-07-01,49.21,-114.29,10.18,12.59,14.20,10.18,12.59,14.20,10.18,12.59,14.20
1958-08-01,49.21,-114.29,10.64,11.84,13.61,10.64,11.84,13.61,10.64,11.84,13.61
1958-09-01,49.21,-114.29,3.67,6.05,9.80,3.67,6.05,9.80,3.67,6.05,9.80
1958-10-01,49.21,-114.29,-0.43,1.32,3.52,-0.43,1.32,3.52,-0.43,1.32,3.52
1958-11-01,49.21,-114.29,-7.05,-4.31,-2.56,-7.05,-4.31,-2.56,-7.05,-4.31,-2.56
1958-12-01,49.21,-114.29,-11.60,-5.95,-3.88,-11.60,-5.95,-3.88,-11.72,-5.95,-3.88
1959-01-01,49.21,-114.29,-14.05,-8.74,-4.27,-14.05,-8.74,-4.27,-14.05,-8.74,-4.27
1959-02-01,49.21,-114.29,-11.93,-6.68,-3.59,-11.93,-6.68,-3.59,-11.94,-6.68,-3.59
1959-03-01,49.21,-114.29,-9.25,-6.17,-1.62,-9.25,-6.17,-1.62,-9.25,-6.17,-1.62
1959-04-01,49.21,-114.29,-3.34,-0.34,1.38,-3.34,-0.34,1.38,-3.34,-0.34,1.38
1959-05-01,49.21,-114.29,2.65,5.01,6.67,2.65,5.01,6.67,2.65,5.01,6.67
1959-06-01,49.21,-114.29,6.05,7.91,9.99,6.05,7.91,9.99,6.05,7.91,9.99
1959-07-01,49.21,-114.29,10.37,12.55,13.74,10.37,12.55,13.74,10.37,12.55,13.73
1959-08-01,49.21,-114.29,9.74,10.62,13.31,9.74,10.62,13.31,9.74,10.62,13.31
1959-09-01,49.21,-114.29,3.79,7.09,8.39,3.79,7.09,8.39,3.79,7.09,8.39
1959-10-01,49.21,-114.29,-0.56,1.81,3.43,-0.56,1.81,3.43,-0.56,1.81,3.43
1959-11-01,49.21,-114.29,-9.72,-4.28,-3.27,-9.72,-4.28,-3.27,-9.72,-4.28,-3.27
1959-12-01,49.21,-114.29,-13.08,-8.09,-4.99,-13.08,-8.09,-4.99,-13.08,-8.09,-4.99
1960-01-01,49.21,-114.29,-12.44,-10.76,-5.93,-12.44,-10.76,-5.93,-12.44,-10.76,-5.93
1960-02-01,49.21,-114.29,-13.49,-7.91,-3.79,-13.49,-7.91,-3.79,-13.49,-7.91,-3.79
1960-03-01,49.21,-114.29,-9.28,-5.24,-0.39,-9.28,-5.24,-0.39,-9.28,-5.24,-0.39
1960-04-01,49.21,-114.29,-5.02,-0.63,2.54,-5.02,-0.63,2.54,-5.02,-0.63,2.54
1960-05-01,49.21,-114.29,1.48,4.10,7.71,1.48,4.10,7.71,1.48,4.10,7.71
