time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-114.29,49.21,22.66,54.20,94.82,22.67,54.70,93.11,22.66,54.39,93.11
1950-02-01,-114.29,49.21,26.57,54.67,80.03,26.99,52.85,80.03,26.99,52.85,80.03
1950-03-01,-114.29,49.21,24.38,47.12,98.35,24.38,47.12,95.27,24.38,47.12,94.71
1950-04-01,-114.29,49.21,41.56,70.07,109.38,41.56,70.13,111.04,41.56,70.01,111.04
1950-05-01,-114.29,49.21,44.02,65.66,130.40,43.65,67.87,130.40,45.50,67.87,130.40
1950-06-01,-114.29,49.21,42.75,81.56,154.40,43.83,81.56,154.40,43.83,81.56,154.40
1950-07-01,-114.29,49.21,15.87,27.79,84.52,15.60,27.79,84.93,15.75,27.79,86.82
1950-08-01,-114.29,49.21,9.35,47.58,102.48,9.36,44.84,102.48,9.14,44.84,102.48
1950-09-01,-114.29,49.21,10.78,37.63,93.31,11.05,37.36,93.31,10.91,37.36,93.31
1950-10-01,-114.29,49.21,24.97,55.62,96.05,27.27,55.62,96.05,28.02,55.62,96.05
1950-11-01,-114.29,49.21,27.78,75.97,121.16,27.44,78.56,121.25,27.44,76.95,121.16
1950-12-01,-114.29,49.21,21.60,47.95,97.90,21.60,48.40,99.27,21.60,48.08,104.37
1951-01-01,-114.29,49.21,22.36,60.81,116.28,22.10,60.41,116.28,22.10,60.41,116.28
1951-02-01,-114.29,49.21,26.91,51.13,128.18,28.68,51.13,125.01,27.51,51.13,125.37
1951-03-01,-114.29,49.21,26.84,58.02,102.13,27.82,56.39,105.30,27.82,56.39,105.30
1951-04-01,-114.29,49.21,24.40,65.69,125.79,24.77,62.91,125.79,24.77,62.91,126.11
1951-05-01,-114.29,49.21,23.90,91.63,161.08,25.35,91.63,159.69,24.88,91.63,162.42
1951-06-01,-114.29,49.21,49.26,83.75,214.08,49.26,83.51,224.62,49.26,83.51,216.50
1951-07-01,-114.29,49.21,20.71,42.18,73.99,22.62,42.18,75.21,23.44,42.18,75.21
1951-08-01,-114.29,49.21,7.11,35.17,95.06,7.12,35.17,95.05,6.88,35.17,95.37
1951-09-01,-114.29,49.21,10.66,45.59,96.73,10.43,46.77,96.80,10.44,45.83,97.57
