time,lat,lon,rcp26_txgt_32_p10,rcp26_txgt_32_p50,rcp26_txgt_32_p90,rcp45_txgt_32_p10,rcp45_txgt_32_p50,rcp45_txgt_32_p90,rcp85_txgt_32_p10,rcp85_txgt_32_p50,rcp85_txgt_32_p90
1950-01-01,49.37,-113.38,0.00,3.00,13.70,0.00,3.00,13.70,0.00,3.00,13.70
1951-01-01,49.37,-113.38,0.00,1.00,9.50,0.00,1.00,9.50,0.00,1.00,9.50
1952-01-01,49.37,-113.38,0.00,2.50,7.00,0.00,2.50,7.00,0.00,2.50,7.00
1953-01-01,49.37,-113.38,0.00,1.50,8.40,0.00,1.50,8.40,0.00,1.50,8.40
1954-01-01,49.37,-113.38,0.00,3.00,5.70,0.00,3.00,5.70,0.00,3.00,5.70
1955-01-01,49.37,-113.38,0.00,2.00,6.40,0.00,2.00,6.40,0.00,2.00,6.40
1956-01-01,49.37,-113.38,0.00,2.50,9.10,0.00,2.50,9.10,0.00,2.50,9.10
1957-01-01,49.37,-113.38,0.00,2.00,6.70,0.00,2.00,6.70,0.00,2.00,6.70
1958-01-01,49.37,-113.38,0.00,2.00,6.00,0.00,2.00,6.00,0.00,2.00,6.00
1959-01-01,49.37,-113.38,0.00,0.50,6.70,0.00,0.50,6.70,0.00,0.50,6.70
1960-01-01,49.37,-113.38,0.00,2.00,6.70,0.00,2.00,6.70,0.00,2.00,6.70
1961-01-01,49.37,-113.38,0.00,3.00,10.40,0.00,3.00,10.40,0.00,3.00,10.40
1962-01-01,49.37,-113.38,0.00,2.00,6.40,0.00,2.00,6.40,0.00,2.00,6.40
1963-01-01,49.37,-113.38,0.00,1.00,6.00,0.00,1.00,6.00,0.00,1.00,6.00
1964-01-01,49.37,-113.38,0.00,0.50,3.70,0.00,0.50,3.70,0.00,0.50,3.70
1965-01-01,49.37,-113.38,0.00,1.00,6.70,0.00,1.00,6.70,0.00,1.00,6.70
1966-01-01,49.37,-113.38,0.00,0.50,3.00,0.00,0.50,3.00,0.00,0.50,3.00
1967-01-01,49.37,-113.38,0.00,2.50,5.70,0.00,2.50,5.70,0.00,2.50,5.70
1968-01-01,49.37,-113.38,0.00,1.00,4.00,0.00,1.00,4.00,0.00,1.00,4.00
1969-01-01,49.37,-113.38,0.00,2.00,6.40,0.00,2.00,6.40,0.00,2.00,6.40
1970-01-01,49.37,-113.38,0.00,2.00,5.70,0.00,2.00,5.70,0.00,2.00,5.70
1971-01-01,49.37,-113.38,0.00,1.00,7.10,0.00,1.00,7.10,0.00,1.00,7.10
1972-01-01,49.37,-113.38,0.00,1.00,6.40,0.00,1.00,6.40,0.00,1.00,6.40
1973-01-01,49.37,-113.38,0.00,0.00,9.50,0.00,0.00,9.50,0.00,0.00,9.50
1974-01-01,49.37,-113.38,0.00,1.50,6.40,0.00,1.50,6.40,0.00,1.50,6.40
1975-01-01,49.37,-113.38,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00
1976-01-01,49.37,-113.38,0.00,2.00,8.00,0.00,2.00,8.00,0.00,2.00,8.00
1977-01-01,49.37,-113.38,0.00,3.00,10.70,0.00,3.00,10.70,0.00,3.00,10.70
1978-01-01,49.37,-113.38,0.00,4.00,9.40,0.00,4.00,9.40,0.00,4.00,9.40
1979-01-01,49.37,-113.38,0.00,1.50,6.00,0.00,1.50,6.00,0.00,1.50,6.00
1980-01-01,49.37,-113.38,0.00,3.00,7.70,0.00,3.00,7.70,0.00,3.00,7.70
1981-01-01,49.37,-113.38,0.00,3.50,14.70,0.00,3.50,15.40,0.00,3.50,15.40
1982-01-01,49.37,-113.38,0.00,2.00,9.00,0.00,2.00,9.70,0.00,2.00,9.70
1983-01-01,49.37,-113.38,0.00,0.00,7.00,0.00,0.50,7.00,0.00,0.00,7.70
1984-01-01,49.37,-113.38,0.00,3.00,9.70,0.00,3.00,9.70,0.00,3.00,9.70
1985-01-01,49.37,-113.38,0.00,4.00,12.40,0.00,4.00,12.40,0.00,4.00,12.40
1986-01-01,49.37,-113.38,0.00,2.00,7.40,0.00,2.00,7.40,0.00,2.00,7.70
1987-01-01,49.37,-113.38,0.00,2.00,7.70,0.00,2.00,8.00,0.00,2.00,8.00
1988-01-01,49.37,-113.38,0.00,4.00,8.00,0.00,4.00,8.00,0.00,4.00,8.00
1989-01-01,49.37,-113.38,1.00,5.50,12.70,1.00,5.50,12.70,0.30,5.50,12.70
1990-01-01,49.37,-113.38,0.00,1.50,8.00,0.00,1.50,8.00,0.00,1.50,7.70
1991-01-01,49.37,-113.38,0.00,2.00,9.70,0.00,2.00,9.70,0.00,2.00,9.70
1992-01-01,49.37,-113.38,0.00,0.50,9.10,0.00,1.00,8.80,0.00,1.00,8.80
1993-01-01,49.37,-113.38,0.00,1.00,11.40,0.00,1.00,11.40,0.00,1.00,11.70
1994-01-01,49.37,-113.38,0.30,2.50,7.70,0.30,2.50,7.70,0.30,2.50,7.70
1995-01-01,49.37,-113.38,0.00,3.00,9.00,0.00,2.50,9.00,0.00,2.50,9.00
1996-01-01,49.37,-113.38,0.00,2.50,7.00,0.00,3.00,7.00,0.00,3.00,7.00
1997-01-01,49.37,-113.38,0.00,3.00,12.40,0.00,3.00,12.40,0.00,3.00,12.40
1998-01-01,49.37,-113.38,0.30,4.50,13.70,0.30,4.50,13.70,0.60,4.50,13.70
1999-01-01,49.37,-113.38,0.00,2.00,10.40,0.00,2.00,9.80,0.00,2.00,10.50
2000-01-01,49.37,-113.38,0.00,4.00,11.00,0.00,4.00,11.00,0.00,4.00,11.00
2001-01-01,49.37,-113.38,0.30,5.50,14.40,0.30,5.50,13.70,0.30,6.00,13.70
2002-01-01,49.37,-113.38,0.30,5.50,12.70,0.30,6.00,12.70,0.30,6.00,12.70
2003-01-01,49.37,-113.38,0.00,4.00,14.50,0.00,3.50,14.20,0.00,3.50,14.20
2004-01-01,49.37,-113.38,1.00,4.50,15.00,1.30,4.00,15.00,1.00,4.50,15.00
2005-01-01,49.37,-113.38,0.40,8.00,12.00,1.20,8.00,12.00,1.30,7.50,12.00
2006-01-01,49.37,-113.38,1.00,5.00,14.70,1.30,4.00,10.00,2.30,6.50,16.10
2007-01-01,49.37,-113.38,0.00,4.00,12.10,0.60,5.50,13.70,1.60,7.00,17.40
2008-01-01,49.37,-113.38,0.30,5.00,9.70,0.60,6.50,17.70,1.00,6.00,10.70
2009-01-01,49.37,-113.38,1.00,8.00,13.70,0.00,7.50,16.70,0.00,4.00,14.00
2010-01-01,49.37,-113.38,0.00,5.00,13.00,0.30,5.00,15.90,1.00,6.00,12.00
2011-01-01,49.37,-113.38,0.00,5.00,16.00,0.00,6.00,15.90,1.30,6.00,19.00
2012-01-01,49.37,-113.38,0.30,6.50,17.80,2.30,7.50,14.70,1.30,7.50,14.70
2013-01-01,49.37,-113.38,0.00,4.50,15.70,1.30,4.50,15.10,1.30,6.00,12.40
2014-01-01,49.37,-113.38,2.00,7.50,14.70,0.00,4.00,19.70,0.60,6.00,12.70
2015-01-01,49.37,-113.38,1.30,7.50,24.30,2.00,6.50,14.00,1.30,9.00,19.20
2016-01-01,49.37,-113.38,1.30,7.00,18.50,0.00,3.50,15.40,0.30,6.00,17.50
2017-01-01,49.37,-113.38,0.30,7.00,22.70,2.00,7.50,18.00,1.30,5.50,16.70
2018-01-01,49.37,-113.38,0.00,4.00,15.70,3.30,9.00,23.80,2.00,8.00,25.10
2019-01-01,49.37,-113.38,2.30,7.00,18.40,0.00,6.50,13.70,1.30,7.00,19.70
2020-01-01,49.37,-113.38,0.60,6.00,18.40,3.00,7.50,22.60,3.00,11.00,24.00
2021-01-01,49.37,-113.38,3.30,8.00,15.00,3.00,7.50,14.00,0.60,5.50,18.70
2022-01-01,49.37,-113.38,0.00,7.00,16.70,2.00,6.00,16.40,0.60,8.00,21.50
2023-01-01,49.37,-113.38,0.60,10.00,16.00,0.60,5.50,15.40,4.00,11.00,22.70
2024-01-01,49.37,-113.38,1.30,10.00,30.80,0.30,3.00,19.70,2.30,10.50,23.70
2025-01-01,49.37,-113.38,2.00,7.50,17.00,5.00,10.00,24.70,4.00,12.00,21.70
2026-01-01,49.37,-113.38,3.30,8.00,19.70,1.90,10.50,29.10,3.00,8.50,15.00
2027-01-01,49.37,-113.38,3.00,7.50,18.00,1.30,7.50,17.40,4.00,11.50,21.40
2028-01-01,49.37,-113.38,2.00,8.50,27.60,0.00,6.00,19.00,3.30,9.50,20.70
2029-01-01,49.37,-113.38,1.00,5.50,23.70,2.00,12.50,23.80,0.00,9.00,25.40
2030-01-01,49.37,-113.38,3.00,14.50,19.00,1.60,10.50,23.50,3.00,10.50,22.70
2031-01-01,49.37,-113.38,1.60,12.00,25.20,4.00,10.00,19.00,2.60,9.00,19.70
2032-01-01,49.37,-113.38,0.60,7.00,18.40,3.30,9.50,22.80,4.30,14.00,21.00
2033-01-01,49.37,-113.38,3.30,6.50,18.80,5.00,11.50,27.40,3.00,9.50,25.70
2034-01-01,49.37,-113.38,4.60,15.00,24.70,2.30,14.00,27.10,3.60,14.50,20.00
2035-01-01,49.37,-113.38,4.00,13.00,33.20,1.90,10.50,27.40,4.00,13.00,32.40
2036-01-01,49.37,-113.38,1.60,10.00,20.40,4.30,12.50,28.20,1.00,14.00,22.00
2037-01-01,49.37,-113.38,0.90,8.50,21.70,6.30,16.50,27.80,4.00,16.00,27.40
2038-01-01,49.37,-113.38,3.60,12.00,20.00,2.60,14.00,25.40,4.60,19.00,32.00
2039-01-01,49.37,-113.38,4.00,11.00,25.70,4.30,11.00,18.70,4.60,15.00,31.10
2040-01-01,49.37,-113.38,0.90,7.00,24.40,4.30,10.00,20.00,6.00,11.00,28.70
2041-01-01,49.37,-113.38,4.30,10.50,29.50,1.00,11.50,29.40,4.30,17.50,34.70
2042-01-01,49.37,-113.38,2.00,6.50,17.70,5.30,16.00,25.80,5.00,12.50,21.00
2043-01-01,49.37,-113.38,5.30,12.00,24.60,4.00,14.50,24.70,5.30,11.50,27.20
2044-01-01,49.37,-113.38,0.30,10.50,29.70,8.00,15.00,27.10,2.00,12.50,21.10
2045-01-01,49.37,-113.38,4.30,12.00,26.50,5.00,11.00,31.30,8.30,19.50,33.70
2046-01-01,49.37,-113.38,1.60,11.50,22.70,6.00,12.00,40.50,5.00,22.00,34.00
2047-01-01,49.37,-113.38,2.90,14.00,23.70,2.30,14.00,32.00,8.60,20.00,36.40
2048-01-01,49.37,-113.38,5.30,10.50,25.40,9.30,17.50,37.20,10.30,18.00,31.40
2049-01-01,49.37,-113.38,3.30,14.00,24.10,4.00,12.50,24.70,10.90,20.50,44.30
2050-01-01,49.37,-113.38,1.00,13.00,26.30,7.00,17.50,28.70,2.00,16.50,36.70
2051-01-01,49.37,-113.38,1.30,11.00,21.80,4.60,15.00,32.00,6.00,15.50,37.40
2052-01-01,49.37,-113.38,5.30,13.50,28.10,2.90,19.00,31.80,9.30,20.00,42.20
2053-01-01,49.37,-113.38,4.00,10.50,31.60,2.30,17.00,34.40,12.30,28.50,48.00
2054-01-01,49.37,-113.38,4.30,13.50,35.90,4.60,14.00,29.00,9.80,30.00,43.80
2055-01-01,49.37,-113.38,3.90,12.00,33.10,5.60,16.50,34.90,8.30,25.00,42.50
2056-01-01,49.37,-113.38,2.60,10.50,22.40,5.00,15.00,28.80,14.20,29.00,43.70
2057-01-01,49.37,-113.38,2.90,11.00,26.10,5.60,22.00,38.20,11.60,27.00,44.60
2058-01-01,49.37,-113.38,6.30,13.00,25.70,10.00,21.50,35.00,10.30,24.00,38.70
2059-01-01,49.37,-113.38,1.30,10.00,26.70,4.60,16.00,36.90,17.00,28.50,44.40
2060-01-01,49.37,-113.38,0.30,14.00,34.50,3.00,18.00,36.10,8.30,27.00,44.00
2061-01-01,49.37,-113.38,2.30,11.00,29.90,4.90,19.00,47.20,5.60,24.50,41.00
2062-01-01,49.37,-113.38,0.30,6.00,25.70,8.00,21.50,30.70,14.20,27.50,43.80
2063-01-01,49.37,-113.38,0.30,10.00,16.00,6.30,20.00,42.40,10.00,29.00,53.20
2064-01-01,49.37,-113.38,4.30,14.00,30.40,7.00,17.00,29.40,14.20,28.50,47.40
2065-01-01,49.37,-113.38,1.30,8.50,20.40,3.90,18.50,32.50,16.30,38.00,51.70
2066-01-01,49.37,-113.38,2.00,8.50,24.10,2.90,16.00,35.00,19.30,39.50,51.40
2067-01-01,49.37,-113.38,2.30,8.00,24.80,2.30,14.50,40.10,10.90,36.50,59.00
2068-01-01,49.37,-113.38,3.30,8.00,21.70,8.60,15.50,28.70,17.00,34.50,53.50
2069-01-01,49.37,-113.38,3.30,11.00,21.00,6.90,16.00,31.70,19.30,31.00,56.30
2070-01-01,49.37,-113.38,0.30,12.50,21.50,6.00,20.00,37.70,12.30,27.50,49.40
2071-01-01,49.37,-113.38,0.00,8.50,18.70,12.90,26.00,41.60,11.90,32.00,54.30
2072-01-01,49.37,-113.38,1.30,8.50,29.40,8.30,26.00,43.70,12.90,32.00,54.80
2073-01-01,49.37,-113.38,3.30,14.00,32.90,9.30,22.50,36.00,18.60,34.50,59.60
2074-01-01,49.37,-113.38,1.00,8.50,27.20,4.80,23.50,37.40,17.00,27.00,49.20
2075-01-01,49.37,-113.38,1.00,10.50,31.20,8.60,22.00,37.50,16.30,33.00,56.70
2076-01-01,49.37,-113.38,3.30,9.00,39.60,9.30,27.00,45.60,20.90,40.50,60.00
2077-01-01,49.37,-113.38,1.30,10.00,15.70,8.80,27.00,42.10,19.30,37.00,59.70
2078-01-01,49.37,-113.38,0.00,8.00,23.10,11.30,26.50,38.40,17.50,41.00,61.20
2079-01-01,49.37,-113.38,0.90,9.00,24.50,6.90,23.50,39.80,13.20,41.00,59.10
2080-01-01,49.37,-113.38,6.00,11.50,27.60,10.30,19.50,36.00,21.30,45.50,60.40
2081-01-01,49.37,-113.38,2.00,8.50,32.10,4.60,17.50,40.90,15.50,42.00,63.50
2082-01-01,49.37,-113.38,1.00,9.00,22.80,4.80,15.50,32.10,25.00,44.50,68.60
2083-01-01,49.37,-113.38,4.30,9.00,24.70,6.30,15.00,41.10,23.30,43.50,69.00
2084-01-01,49.37,-113.38,3.30,12.00,26.50,4.40,25.50,43.80,19.60,42.50,66.80
2085-01-01,49.37,-113.38,0.30,8.00,24.10,6.30,19.50,40.80,24.30,44.50,70.60
2086-01-01,49.37,-113.38,3.20,13.00,27.20,9.00,18.50,40.40,23.30,45.50,67.50
2087-01-01,49.37,-113.38,0.60,8.00,21.10,9.00,20.00,35.40,22.20,49.50,67.40
2088-01-01,49.37,-113.38,3.00,11.00,19.40,2.90,19.00,46.00,34.30,52.00,82.30
2089-01-01,49.37,-113.38,0.30,8.50,21.00,7.00,24.50,45.10,25.80,51.00,74.10
2090-01-01,49.37,-113.38,0.00,9.50,22.70,7.30,19.50,33.00,24.00,47.50,77.00
2091-01-01,49.37,-113.38,2.00,11.00,18.00,11.00,23.00,40.10,38.90,56.50,80.60
2092-01-01,49.37,-113.38,3.30,9.50,21.00,8.00,26.00,49.50,27.90,56.00,76.40
2093-01-01,49.37,-113.38,4.00,8.50,17.00,8.60,21.50,33.10,37.00,49.50,79.50
2094-01-01,49.37,-113.38,0.00,11.00,30.40,10.30,23.00,36.70,23.80,54.50,78.00
2095-01-01,49.37,-113.38,3.30,9.00,18.70,9.30,24.00,47.00,33.20,48.00,74.40
