time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-125.38,58.87,230.20,243.50,257.40,229.00,243.50,257.40,229.00,243.50,257.40
1951-01-01,-125.38,58.87,230.30,243.00,261.40,230.30,243.00,261.40,230.30,243.00,261.40
1952-01-01,-125.38,58.87,233.20,243.50,259.40,233.20,245.50,259.40,231.80,243.50,260.00
1953-01-01,-125.38,58.87,221.10,238.00,250.40,221.10,238.00,250.40,221.10,238.00,250.40
1954-01-01,-125.38,58.87,232.60,243.00,258.70,232.60,243.00,258.70,232.60,243.00,258.70
1955-01-01,-125.38,58.87,233.90,241.50,253.70,233.90,241.50,252.70,233.90,241.00,253.70
1956-01-01,-125.38,58.87,228.90,241.00,255.70,228.90,241.00,255.70,228.90,241.00,255.70
1957-01-01,-125.38,58.87,229.60,242.50,257.80,231.30,243.00,257.80,229.60,243.00,257.80
1958-01-01,-125.38,58.87,233.10,242.50,254.00,233.10,242.50,254.00,233.10,242.50,254.00
1959-01-01,-125.38,58.87,219.80,243.50,255.10,219.50,243.50,255.10,224.80,245.00,255.10
1960-01-01,-125.38,58.87,230.90,242.00,261.60,230.90,242.00,261.60,229.30,242.00,263.10
1961-01-01,-125.38,58.87,237.60,245.50,262.40,237.60,245.50,262.40,236.30,245.50,262.40
1962-01-01,-125.38,58.87,237.30,243.50,255.70,233.50,243.50,255.70,233.50,243.50,255.70
1963-01-01,-125.38,58.87,230.30,243.00,256.70,230.30,243.00,256.70,230.30,243.00,256.00
1964-01-01,-125.38,58.87,224.30,241.00,249.00,224.30,241.00,249.00,224.30,241.00,249.00
1965-01-01,-125.38,58.87,219.30,242.00,260.10,221.10,242.00,260.10,221.10,242.00,260.10
1966-01-01,-125.38,58.87,230.50,243.50,255.00,230.50,243.50,255.00,230.50,243.50,255.00
1967-01-01,-125.38,58.87,231.30,244.50,256.70,231.30,245.50,256.70,231.30,245.50,256.70
1968-01-01,-125.38,58.87,228.30,239.00,258.00,229.30,239.00,257.70,229.30,239.00,257.70
1969-01-01,-125.38,58.87,224.20,244.00,254.40,223.90,244.00,254.40,223.90,244.00,254.40
1970-01-01,-125.38,58.87,228.10,246.00,257.00,228.10,246.00,257.00,228.10,246.00,257.00
1971-01-01,-125.38,58.87,228.30,239.00,254.50,228.30,239.00,254.50,228.30,239.00,254.50
1972-01-01,-125.38,58.87,224.50,243.00,257.00,224.50,243.00,257.00,224.50,243.00,257.00
1973-01-01,-125.38,58.87,228.90,242.00,254.00,228.90,242.00,254.00,228.90,242.00,254.00
1974-01-01,-125.38,58.87,227.70,240.50,255.40,227.70,240.50,255.40,227.70,240.50,255.40
1975-01-01,-125.38,58.87,234.00,243.00,256.70,234.00,243.00,256.40,234.00,243.00,256.70
1976-01-01,-125.38,58.87,221.80,243.00,257.70,221.80,243.00,257.70,221.80,243.00,257.70
1977-01-01,-125.38,58.87,236.00,245.00,258.10,236.60,245.00,258.10,237.30,245.00,258.10
1978-01-01,-125.38,58.87,226.80,243.50,256.70,226.80,243.50,256.70,226.80,243.50,256.70
1979-01-01,-125.38,58.87,232.20,251.00,260.00,232.20,250.50,260.00,232.20,250.50,260.00
1980-01-01,-125.38,58.87,226.60,247.00,262.20,226.60,245.00,257.70,226.60,245.00,257.70
1981-01-01,-125.38,58.87,233.60,246.00,259.70,233.60,246.00,259.70,232.90,246.00,259.70
1982-01-01,-125.38,58.87,234.30,247.50,262.00,234.30,247.50,262.00,229.10,244.50,262.00
1983-01-01,-125.38,58.87,223.30,242.50,254.70,223.30,243.00,254.70,231.30,243.00,254.70
1984-01-01,-125.38,58.87,234.20,246.50,265.40,234.20,246.50,265.40,236.30,246.50,263.90
1985-01-01,-125.38,58.87,233.30,242.50,258.00,234.20,242.50,258.00,234.90,242.50,258.00
1986-01-01,-125.38,58.87,230.00,244.50,254.70,230.00,244.50,254.70,230.00,244.50,254.70
1987-01-01,-125.38,58.87,236.00,243.50,257.70,236.00,243.50,257.70,236.00,242.50,256.80
1988-01-01,-125.38,58.87,235.30,247.00,256.00,235.30,247.00,256.00,235.30,248.00,256.00
1989-01-01,-125.38,58.87,231.50,249.50,257.10,231.50,249.50,257.10,231.50,249.00,257.10
1990-01-01,-125.38,58.87,234.00,248.00,261.40,234.00,248.00,262.10,234.00,248.00,261.40
1991-01-01,-125.38,58.87,227.20,241.50,255.70,227.20,241.50,255.00,227.20,242.00,255.70
1992-01-01,-125.38,58.87,226.10,242.50,259.20,226.10,242.50,260.70,226.10,242.50,259.20
1993-01-01,-125.38,58.87,240.00,248.50,260.40,239.30,248.50,260.40,240.00,248.50,260.40
1994-01-01,-125.38,58.87,228.30,236.00,254.90,228.30,237.00,254.90,229.30,237.00,254.90
1995-01-01,-125.38,58.87,234.20,245.50,254.10,234.20,245.50,254.10,234.20,245.50,254.10
1996-01-01,-125.38,58.87,230.50,241.00,264.50,230.50,241.00,264.50,230.20,241.00,264.50
1997-01-01,-125.38,58.87,233.60,249.00,258.40,234.30,247.00,258.40,235.60,248.00,258.40
1998-01-01,-125.38,58.87,231.30,245.50,260.40,228.90,245.50,260.10,228.90,245.50,260.10
1999-01-01,-125.38,58.87,234.20,252.50,269.40,234.20,253.50,269.40,234.20,252.50,269.40
2000-01-01,-125.38,58.87,233.30,245.00,256.50,233.30,245.00,256.50,233.30,245.00,256.50
2001-01-01,-125.38,58.87,238.00,248.50,260.40,238.00,248.50,260.40,238.00,248.50,260.40
2002-01-01,-125.38,58.87,221.20,252.50,260.00,221.20,253.00,263.50,221.20,253.00,263.50
2003-01-01,-125.38,58.87,232.80,242.00,260.10,232.80,242.00,260.40,231.90,242.00,260.10
2004-01-01,-125.38,58.87,238.90,253.00,263.40,238.90,253.00,262.00,238.90,253.00,262.70
2005-01-01,-125.38,58.87,226.80,251.00,259.40,227.60,251.00,259.40,227.90,251.00,259.10
2006-01-01,-125.38,58.87,236.30,252.50,264.70,236.20,254.50,263.00,232.30,247.50,256.70
2007-01-01,-125.38,58.87,236.80,252.00,266.70,238.00,252.00,259.70,234.90,253.00,264.10
2008-01-01,-125.38,58.87,234.90,251.50,264.00,233.60,245.00,261.40,238.90,247.50,260.40
2009-01-01,-125.38,58.87,238.30,249.00,265.70,235.10,254.00,262.70,231.50,247.50,266.20
2010-01-01,-125.38,58.87,240.30,254.00,262.00,241.30,253.00,263.70,235.60,250.50,260.10
2011-01-01,-125.38,58.87,230.30,252.50,265.70,240.60,250.50,263.40,236.00,246.00,254.70
2012-01-01,-125.38,58.87,236.00,251.50,265.40,236.30,249.00,264.70,238.20,255.50,265.40
2013-01-01,-125.38,58.87,236.30,249.50,263.10,227.90,250.50,260.80,236.60,252.00,263.40
