time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-125.38,58.87,137.00,155.00,163.50,136.30,155.00,164.40,136.30,155.00,164.40
1951-01-01,-125.38,58.87,132.30,141.50,163.80,132.30,142.00,163.80,132.30,142.00,163.80
1952-01-01,-125.38,58.87,142.00,155.50,165.40,142.00,155.50,165.70,142.00,155.50,165.70
1953-01-01,-125.38,58.87,143.30,154.50,165.40,143.30,154.50,162.00,143.30,154.00,164.80
1954-01-01,-125.38,58.87,136.30,155.00,166.60,135.60,155.00,167.80,135.60,155.00,166.60
1955-01-01,-125.38,58.87,145.00,155.50,167.70,145.00,155.50,167.70,145.00,155.00,167.70
1956-01-01,-125.38,58.87,138.30,155.00,171.60,138.30,155.50,171.60,138.30,155.00,171.00
1957-01-01,-125.38,58.87,138.90,153.50,160.70,137.30,153.50,161.70,138.90,153.50,160.70
1958-01-01,-125.38,58.87,138.90,151.50,163.20,138.90,151.50,159.00,138.90,151.50,163.90
1959-01-01,-125.38,58.87,140.90,148.50,164.70,137.90,149.50,164.70,140.30,149.50,162.80
1960-01-01,-125.38,58.87,134.00,155.00,165.40,133.30,155.00,165.40,133.30,156.00,165.40
1961-01-01,-125.38,58.87,133.00,156.00,169.10,133.00,156.00,169.10,133.00,155.50,169.10
1962-01-01,-125.38,58.87,138.90,153.00,168.00,138.90,154.00,168.00,138.90,154.00,167.70
1963-01-01,-125.38,58.87,139.30,158.50,168.90,139.30,158.50,170.40,138.30,158.50,170.40
1964-01-01,-125.38,58.87,134.30,156.00,182.70,134.30,156.00,182.70,134.30,156.00,182.70
1965-01-01,-125.38,58.87,140.30,155.00,168.40,140.30,155.50,167.20,140.30,155.50,168.10
1966-01-01,-125.38,58.87,138.90,152.00,162.20,139.60,152.00,162.20,138.90,152.00,162.20
1967-01-01,-125.38,58.87,143.30,156.50,163.40,143.30,156.50,164.00,143.30,156.50,162.80
1968-01-01,-125.38,58.87,142.00,154.50,161.40,142.00,154.50,161.40,142.00,154.50,161.40
1969-01-01,-125.38,58.87,140.30,158.00,167.10,140.30,158.50,168.70,141.60,159.00,168.00
1970-01-01,-125.38,58.87,138.90,157.50,164.00,141.30,157.50,164.00,138.90,158.50,164.00
1971-01-01,-125.38,58.87,141.30,154.00,176.70,141.30,154.00,176.70,141.30,154.00,176.70
1972-01-01,-125.38,58.87,137.60,151.50,165.40,137.60,151.50,163.10,136.90,151.50,165.40
1973-01-01,-125.38,58.87,140.60,156.00,168.50,140.60,156.00,168.50,140.60,156.00,168.20
1974-01-01,-125.38,58.87,139.30,153.50,163.40,139.30,155.00,163.40,139.30,155.00,163.40
1975-01-01,-125.38,58.87,137.90,152.50,159.40,138.20,152.50,160.00,137.90,152.50,160.00
1976-01-01,-125.38,58.87,142.00,157.00,178.40,142.00,157.00,179.10,142.00,157.00,178.40
1977-01-01,-125.38,58.87,140.90,156.50,166.70,139.30,156.50,166.70,139.30,156.50,166.10
1978-01-01,-125.38,58.87,131.90,146.50,165.40,131.90,147.00,165.40,131.90,146.50,165.40
1979-01-01,-125.38,58.87,136.50,154.00,165.00,136.50,154.00,165.00,136.50,154.00,165.00
1980-01-01,-125.38,58.87,137.60,151.00,167.60,137.60,151.00,169.00,136.90,151.00,169.00
1981-01-01,-125.38,58.87,136.30,153.50,161.00,136.00,150.50,161.00,136.30,153.50,161.00
1982-01-01,-125.38,58.87,138.60,152.50,161.00,138.00,152.50,161.00,138.00,152.50,161.00
1983-01-01,-125.38,58.87,139.00,155.50,164.70,138.90,155.50,170.60,138.90,155.50,170.60
1984-01-01,-125.38,58.87,140.30,151.50,162.40,141.00,151.50,162.40,141.00,151.50,162.40
