time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-125.38,58.87,19.85,32.54,48.35,19.36,32.70,48.98,20.59,33.22,49.66
1950-02-01,-125.38,58.87,10.21,25.90,35.82,10.39,25.90,35.82,10.17,25.90,35.82
1950-03-01,-125.38,58.87,12.36,23.40,33.65,12.14,23.74,32.51,12.94,22.97,32.51
1950-04-01,-125.38,58.87,5.00,9.93,20.50,4.83,9.56,20.85,4.62,9.45,21.15
1950-05-01,-125.38,58.87,38.02,50.78,74.27,37.71,51.06,74.27,37.90,51.06,74.27
1950-06-01,-125.38,58.87,38.19,64.30,107.98,38.19,65.40,107.98,38.19,65.39,107.21
1950-07-01,-125.38,58.87,43.19,88.27,131.95,42.95,88.27,133.20,43.98,88.27,131.55
1950-08-01,-125.38,58.87,21.47,51.69,90.04,21.47,51.44,88.45,21.47,51.71,88.45
1950-09-01,-125.38,58.87,23.80,43.92,70.87,24.31,43.92,71.16,24.50,44.02,71.16
1950-10-01,-125.38,58.87,18.63,26.99,42.30,18.63,26.99,42.30,18.63,26.99,42.30
1950-11-01,-125.38,58.87,13.10,29.40,39.76,13.10,31.05,39.90,13.10,30.59,41.15
1950-12-01,-125.38,58.87,12.42,31.84,50.03,12.42,31.84,50.22,12.42,31.84,49.44
1951-01-01,-125.38,58.87,17.73,31.25,51.16,17.85,30.91,51.16,17.85,31.83,51.16
1951-02-01,-125.38,58.87,13.11,22.21,48.41,13.12,22.21,45.81,13.12,22.21,45.81
1951-03-01,-125.38,58.87,13.90,24.22,46.18,14.04,23.80,46.18,13.72,23.31,46.18
1951-04-01,-125.38,58.87,5.55,13.56,20.46,5.46,13.56,20.46,5.58,13.56,20.48
1951-05-01,-125.38,58.87,21.55,45.19,74.07,21.45,45.19,74.07,21.60,45.19,74.07
1951-06-01,-125.38,58.87,35.14,57.87,97.07,35.64,57.87,94.29,35.19,57.87,94.29
1951-07-01,-125.38,58.87,38.98,85.83,121.91,38.50,85.83,121.80,39.75,85.83,121.80
1951-08-01,-125.38,58.87,24.25,57.50,99.27,24.25,57.50,99.27,24.25,57.50,99.28
1951-09-01,-125.38,58.87,25.90,46.04,64.38,25.90,46.04,64.28,25.90,46.04,64.62
1951-10-01,-125.38,58.87,18.65,33.04,56.61,18.65,33.04,56.61,18.67,33.04,56.61
1951-11-01,-125.38,58.87,18.01,34.79,49.70,18.18,35.18,50.22,18.01,34.24,50.22
1951-12-01,-125.38,58.87,12.85,27.74,52.98,12.68,27.74,53.03,12.60,27.74,52.77
1952-01-01,-125.38,58.87,17.66,25.69,53.45,17.66,25.69,52.67,17.66,25.91,53.45
1952-02-01,-125.38,58.87,9.17,25.72,44.22,9.17,25.70,46.77,9.17,25.62,46.47
1952-03-01,-125.38,58.87,13.62,25.72,38.53,13.80,24.38,38.53,13.28,24.38,38.53
1952-04-01,-125.38,58.87,8.76,14.29,24.14,8.63,14.55,24.14,8.77,14.59,24.14
1952-05-01,-125.38,58.87,20.31,47.42,102.25,20.29,47.39,100.59,20.30,47.40,103.73
1952-06-01,-125.38,58.87,21.91,55.23,108.35,22.60,54.49,108.18,22.60,53.52,108.36
1952-07-01,-125.38,58.87,43.05,90.19,151.12,43.05,90.79,151.11,43.05,92.01,151.12
1952-08-01,-125.38,58.87,26.95,59.22,82.01,29.53,59.09,82.01,27.62,58.34,82.01
1952-09-01,-125.38,58.87,23.72,47.96,74.06,23.57,47.77,74.04,23.57,48.19,74.04
1952-10-01,-125.38,58.87,19.77,33.23,45.27,19.77,33.06,45.27,19.77,33.06,45.27
1952-11-01,-125.38,58.87,18.63,26.55,45.16,18.41,26.82,45.07,18.42,27.38,44.85
1952-12-01,-125.38,58.87,15.79,28.59,42.76,16.83,28.59,41.28,16.34,28.59,42.96
1953-01-01,-125.38,58.87,19.03,38.65,53.90,19.04,38.65,55.01,19.17,38.65,55.59
1953-02-01,-125.38,58.87,11.37,24.60,41.66,11.37,24.60,44.08,11.37,24.60,41.20
1953-03-01,-125.38,58.87,9.50,22.98,33.14,9.51,22.05,33.22,9.41,22.05,32.47
1953-04-01,-125.38,58.87,5.54,10.21,17.77,5.17,10.21,17.77,4.93,10.21,17.77
1953-05-01,-125.38,58.87,23.95,37.01,67.41,23.82,36.93,67.41,23.82,37.03,67.41
1953-06-01,-125.38,58.87,34.50,60.21,105.75,35.39,60.24,105.76,35.39,60.24,105.76
1953-07-01,-125.38,58.87,62.97,99.80,141.66,62.97,99.80,141.66,62.97,99.80,141.66
1953-08-01,-125.38,58.87,25.53,45.76,99.73,25.53,45.04,97.28,25.53,45.89,97.28
1953-09-01,-125.38,58.87,32.56,55.50,82.72,32.10,56.03,81.85,32.06,56.03,81.97
1953-10-01,-125.38,58.87,15.71,35.56,59.16,16.29,35.66,59.16,15.86,35.96,59.16
1953-11-01,-125.38,58.87,16.31,31.28,45.92,16.31,31.08,48.35,16.31,31.15,47.38
1953-12-01,-125.38,58.87,12.20,24.53,49.91,12.20,24.55,49.91,12.20,24.12,49.91
1954-01-01,-125.38,58.87,20.06,35.21,50.63,20.03,34.32,50.63,20.24,35.65,50.63
1954-02-01,-125.38,58.87,9.61,19.09,33.78,9.61,18.42,36.13,9.61,18.15,35.37
