time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-103.29,54.37,248.20,259.00,266.00,247.50,259.00,266.00,247.50,259.00,266.00
1951-01-01,-103.29,54.37,248.90,260.00,269.00,251.60,260.00,269.00,251.60,260.00,269.00
1952-01-01,-103.29,54.37,243.60,256.50,269.40,243.30,256.50,269.40,243.30,256.50,269.40
1953-01-01,-103.29,54.37,244.50,259.50,272.10,244.50,259.50,272.10,244.50,259.50,272.10
1954-01-01,-103.29,54.37,253.30,262.00,273.10,253.90,262.00,273.10,253.30,262.00,273.10
1955-01-01,-103.29,54.37,247.50,260.50,270.10,248.90,260.50,267.70,248.90,261.00,267.70
1956-01-01,-103.29,54.37,249.50,257.00,272.10,249.20,256.50,272.10,249.50,257.00,270.00
1957-01-01,-103.29,54.37,248.20,260.00,272.40,248.20,260.00,272.40,248.20,260.00,272.40
1958-01-01,-103.29,54.37,248.20,259.00,271.70,248.20,259.00,271.70,248.20,259.00,271.70
1959-01-01,-103.29,54.37,248.30,259.50,269.80,248.30,259.00,269.80,248.90,259.50,269.80
1960-01-01,-103.29,54.37,240.00,256.50,272.40,240.00,256.50,272.40,240.00,256.50,272.40
1961-01-01,-103.29,54.37,244.30,260.50,268.70,244.30,259.00,268.00,244.30,259.00,269.40
1962-01-01,-103.29,54.37,249.30,260.00,267.00,249.30,260.00,267.00,249.30,260.00,267.00
1963-01-01,-103.29,54.37,245.00,256.50,268.70,245.00,254.50,267.40,245.00,256.50,268.70
1964-01-01,-103.29,54.37,243.30,258.50,269.70,243.30,258.50,269.70,243.30,258.00,269.70
1965-01-01,-103.29,54.37,243.60,259.00,266.40,243.60,259.00,267.70,243.60,259.00,267.70
1966-01-01,-103.29,54.37,251.00,260.00,270.70,251.00,260.00,270.70,251.00,260.00,270.70
