time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-103.29,54.37,134.00,149.50,157.40,134.00,149.50,157.40,134.00,149.50,157.40
1951-01-01,-103.29,54.37,128.00,141.00,156.00,128.00,141.00,156.00,128.00,141.00,156.00
1952-01-01,-103.29,54.37,130.30,142.50,162.70,130.30,142.50,162.70,130.30,142.50,162.70
1953-01-01,-103.29,54.37,132.60,142.00,156.70,134.30,142.00,156.70,134.30,142.00,156.70
1954-01-01,-103.29,54.37,130.30,141.00,160.10,130.30,141.00,160.10,130.30,141.00,160.10
1955-01-01,-103.29,54.37,129.60,142.00,163.70,128.90,142.00,163.70,130.60,142.00,163.70
1956-01-01,-103.29,54.37,130.00,140.50,156.40,130.00,140.50,156.40,130.00,141.00,156.40
1957-01-01,-103.29,54.37,128.20,145.50,157.00,128.20,145.50,157.00,128.20,145.50,157.00
1958-01-01,-103.29,54.37,130.60,138.00,151.80,130.60,139.00,151.80,130.60,139.00,151.80
1959-01-01,-103.29,54.37,136.00,149.50,155.00,136.00,149.50,155.00,136.00,149.50,155.00
1960-01-01,-103.29,54.37,135.00,145.50,154.40,135.00,145.50,157.40,135.00,145.00,157.40
1961-01-01,-103.29,54.37,124.30,145.00,158.70,123.60,145.00,158.70,123.60,145.00,158.70
1962-01-01,-103.29,54.37,130.00,139.00,155.20,130.00,140.50,155.20,130.00,140.50,155.20
1963-01-01,-103.29,54.37,132.20,143.50,159.00,132.20,143.50,159.00,132.20,143.50,159.00
1964-01-01,-103.29,54.37,137.30,151.50,158.70,137.30,151.50,158.40,137.30,151.50,158.40
1965-01-01,-103.29,54.37,133.90,141.50,152.10,133.90,140.50,152.10,133.90,141.50,152.10
1966-01-01,-103.29,54.37,130.60,148.00,162.50,130.60,148.00,162.50,130.60,148.00,162.50
1967-01-01,-103.29,54.37,129.30,142.00,158.00,129.30,142.00,158.00,129.30,142.00,158.00
1968-01-01,-103.29,54.37,131.30,142.00,158.70,132.00,142.00,157.70,132.00,142.00,156.70
1969-01-01,-103.29,54.37,129.90,146.00,162.00,129.90,146.00,162.00,129.90,146.00,161.70
1970-01-01,-103.29,54.37,130.00,135.00,154.00,130.00,135.00,154.00,130.00,134.50,154.00
1971-01-01,-103.29,54.37,129.00,144.50,158.00,129.00,145.00,158.00,129.00,144.50,159.40
1972-01-01,-103.29,54.37,130.00,148.00,159.00,130.00,148.00,159.00,129.30,148.00,159.00
1973-01-01,-103.29,54.37,130.90,138.50,156.10,133.30,139.50,156.10,130.90,139.50,156.10
1974-01-01,-103.29,54.37,134.00,146.00,157.00,134.00,146.50,157.00,134.00,148.00,158.00
1975-01-01,-103.29,54.37,130.20,141.50,158.80,130.20,141.50,158.80,130.20,141.50,158.80
1976-01-01,-103.29,54.37,131.30,143.00,158.40,131.30,143.00,158.40,131.00,143.00,158.40
1977-01-01,-103.29,54.37,128.60,140.00,152.00,127.30,139.00,152.00,127.00,140.00,152.00
1978-01-01,-103.29,54.37,130.30,141.50,154.70,131.00,141.50,154.70,130.30,141.50,154.00
1979-01-01,-103.29,54.37,131.30,143.50,156.70,130.30,143.50,156.70,131.30,143.50,157.40
1980-01-01,-103.29,54.37,131.90,139.50,153.70,131.90,140.00,153.70,128.20,138.00,153.70
1981-01-01,-103.29,54.37,130.90,141.50,154.70,130.90,141.50,154.70,130.90,141.50,154.70
1982-01-01,-103.29,54.37,131.30,142.00,158.00,131.30,143.00,158.00,131.30,143.00,158.00
1983-01-01,-103.29,54.37,130.00,143.50,159.10,130.00,144.00,159.10,130.00,144.00,159.10
1984-01-01,-103.29,54.37,134.00,143.00,153.80,131.90,141.50,153.80,131.90,141.50,153.80
1985-01-01,-103.29,54.37,131.30,142.50,152.80,131.30,140.50,152.80,131.30,142.50,152.80
1986-01-01,-103.29,54.37,131.00,141.00,155.70,131.00,141.00,155.40,131.00,141.00,155.40
1987-01-01,-103.29,54.37,131.30,142.00,151.80,132.90,142.00,151.80,132.60,142.00,151.80
1988-01-01,-103.29,54.37,124.30,138.50,148.40,125.90,138.50,148.40,124.30,138.50,148.70
1989-01-01,-103.29,54.37,129.30,137.50,154.80,129.30,136.00,154.80,129.30,138.50,156.70
1990-01-01,-103.29,54.37,130.60,144.50,156.70,130.00,143.00,156.70,130.00,144.00,156.70
1991-01-01,-103.29,54.37,124.30,136.00,154.60,126.80,136.50,154.60,126.80,138.00,157.00
1992-01-01,-103.29,54.37,130.00,141.00,153.00,130.00,141.00,152.10,130.00,141.00,152.10
1993-01-01,-103.29,54.37,128.60,141.00,148.70,128.00,141.00,148.70,128.30,140.50,149.00
1994-01-01,-103.29,54.37,129.90,136.50,152.40,129.60,137.00,152.40,129.60,136.50,152.40
1995-01-01,-103.29,54.37,124.50,136.00,150.00,124.50,135.50,150.00,124.50,135.50,150.70
