time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-103.29,54.37,7.10,17.47,32.77,7.10,17.47,33.03,7.10,17.47,32.74
1950-02-01,-103.29,54.37,6.09,15.16,25.98,6.64,14.83,26.29,6.18,14.84,26.15
1950-03-01,-103.29,54.37,4.74,14.16,28.63,4.74,14.05,28.63,4.74,14.54,28.63
1950-04-01,-103.29,54.37,7.51,17.90,34.50,7.55,17.90,33.01,7.36,17.90,33.53
1950-05-01,-103.29,54.37,10.12,37.61,66.51,10.12,37.61,66.51,10.12,37.61,66.51
1950-06-01,-103.29,54.37,23.21,62.50,95.10,23.21,61.95,93.10,23.21,62.08,93.63
1950-07-01,-103.29,54.37,40.13,64.87,125.28,40.13,64.93,123.33,40.13,66.03,123.72
1950-08-01,-103.29,54.37,29.50,53.73,72.16,29.76,53.73,71.21,30.05,53.73,72.58
1950-09-01,-103.29,54.37,15.44,40.45,73.64,15.32,40.81,74.09,15.34,41.10,74.09
1950-10-01,-103.29,54.37,16.07,27.43,48.42,15.99,26.88,48.42,16.07,27.12,48.42
1950-11-01,-103.29,54.37,8.40,19.38,36.13,7.98,19.08,36.63,7.89,19.08,35.87
1950-12-01,-103.29,54.37,12.78,21.51,29.39,12.78,21.40,29.39,12.78,21.33,29.39
1951-01-01,-103.29,54.37,12.55,19.79,36.95,12.66,19.79,37.18,12.66,19.79,37.05
1951-02-01,-103.29,54.37,6.90,14.69,24.19,6.75,14.69,23.98,6.99,14.69,24.21
1951-03-01,-103.29,54.37,5.17,15.70,26.62,4.95,15.70,26.31,4.95,15.85,27.46
1951-04-01,-103.29,54.37,6.00,19.82,38.10,6.60,19.82,38.00,6.14,19.82,38.06
1951-05-01,-103.29,54.37,16.82,38.18,72.54,16.91,38.82,72.57,16.91,38.05,72.56
1951-06-01,-103.29,54.37,32.74,49.74,78.52,32.74,48.12,80.50,32.74,48.12,80.50
1951-07-01,-103.29,54.37,44.18,66.59,99.97,43.61,66.59,99.97,42.64,66.59,99.97
1951-08-01,-103.29,54.37,25.58,57.45,117.01,25.05,56.14,117.01,25.53,56.14,117.01
1951-09-01,-103.29,54.37,13.87,38.43,73.29,13.87,38.99,73.29,13.87,38.77,73.29
1951-10-01,-103.29,54.37,13.93,23.33,47.06,13.89,23.03,47.06,13.89,23.31,47.06
1951-11-01,-103.29,54.37,9.16,19.58,35.12,9.38,19.39,34.11,9.23,19.21,33.78
1951-12-01,-103.29,54.37,10.86,20.41,41.80,10.65,20.41,41.09,10.65,20.41,40.77
1952-01-01,-103.29,54.37,3.73,17.68,29.50,4.03,18.15,29.75,3.45,18.18,29.75
1952-02-01,-103.29,54.37,4.91,14.82,28.30,4.91,15.18,28.30,4.91,15.41,28.30
1952-03-01,-103.29,54.37,3.52,12.27,26.09,3.52,13.11,25.72,3.52,13.60,25.72
1952-04-01,-103.29,54.37,7.39,19.67,46.06,7.66,19.77,46.04,7.66,19.51,46.03
1952-05-01,-103.29,54.37,18.13,34.78,65.85,18.38,35.11,65.85,18.15,34.63,65.85
1952-06-01,-103.29,54.37,26.05,52.08,89.25,25.60,52.87,91.48,25.60,52.87,91.89
1952-07-01,-103.29,54.37,30.04,60.69,100.72,30.27,60.69,100.71,30.51,60.69,100.71
1952-08-01,-103.29,54.37,29.66,50.98,87.06,30.06,50.98,87.06,29.91,51.69,87.06
1952-09-01,-103.29,54.37,32.92,56.53,83.39,32.92,56.53,83.48,32.91,56.53,83.39
1952-10-01,-103.29,54.37,14.30,33.41,49.16,14.30,33.41,49.16,14.30,33.41,49.16
1952-11-01,-103.29,54.37,9.86,19.88,36.55,9.86,19.48,36.41,9.86,19.48,35.74
1952-12-01,-103.29,54.37,12.96,27.76,39.13,12.96,27.76,39.13,12.96,27.76,39.13
1953-01-01,-103.29,54.37,9.34,20.96,28.22,9.34,21.24,29.40,9.34,21.24,27.72
1953-02-01,-103.29,54.37,6.67,13.77,30.96,6.67,14.37,31.32,6.67,13.83,31.60
1953-03-01,-103.29,54.37,6.76,15.29,30.77,6.76,16.09,30.39,6.76,16.09,30.78
1953-04-01,-103.29,54.37,3.65,15.21,37.24,3.65,15.21,37.24,3.65,15.21,37.25
1953-05-01,-103.29,54.37,16.46,40.58,91.44,16.76,40.58,91.44,16.29,40.58,91.44
1953-06-01,-103.29,54.37,29.27,61.72,110.62,29.27,61.04,110.62,29.27,61.34,110.62
1953-07-01,-103.29,54.37,22.23,65.59,102.14,22.23,66.64,102.95,22.23,67.91,102.39
1953-08-01,-103.29,54.37,35.85,59.35,89.17,35.85,57.79,91.24,35.85,58.98,91.55
1953-09-01,-103.29,54.37,28.88,62.17,96.85,29.43,63.08,97.70,29.30,63.69,97.70
1953-10-01,-103.29,54.37,11.97,28.26,38.51,12.20,28.26,37.49,12.20,28.26,38.02
1953-11-01,-103.29,54.37,9.08,20.82,32.83,9.06,20.57,32.83,9.23,20.30,32.83
1953-12-01,-103.29,54.37,9.08,16.53,31.58,9.10,16.53,31.77,9.42,16.53,31.77
1954-01-01,-103.29,54.37,6.37,18.08,23.63,6.36,18.75,23.63,6.30,18.38,23.63
1954-02-01,-103.29,54.37,6.51,16.58,31.31,6.34,16.90,31.45,6.31,17.06,31.45
1954-03-01,-103.29,54.37,4.48,12.08,24.37,4.48,12.02,24.37,4.48,12.19,24.45
1954-04-01,-103.29,54.37,5.51,18.78,37.83,5.43,18.23,37.61,5.48,17.71,37.59
1954-05-01,-103.29,54.37,16.97,34.53,57.38,16.92,35.85,57.81,16.92,35.03,57.31
1954-06-01,-103.29,54.37,33.00,70.49,89.29,32.65,70.49,91.54,32.56,70.09,91.48
1954-07-01,-103.29,54.37,30.60,52.49,103.89,32.59,52.49,103.39,31.59,52.49,104.05
1954-08-01,-103.29,54.37,21.94,50.10,72.27,22.20,50.50,69.71,22.20,50.19,72.69
1954-09-01,-103.29,54.37,20.30,42.47,99.02,19.95,44.68,99.02,20.22,44.36,99.02
1954-10-01,-103.29,54.37,15.83,33.34,52.28,15.99,32.76,51.21,15.99,33.05,50.26
1954-11-01,-103.29,54.37,9.52,19.75,37.26,8.70,19.02,37.26,8.73,19.02,37.26
1954-12-01,-103.29,54.37,12.27,24.47,36.97,12.27,24.47,37.14,12.48,24.47,37.21
1955-01-01,-103.29,54.37,8.34,21.90,35.84,8.34,22.53,35.84,8.34,21.12,35.84
1955-02-01,-103.29,54.37,5.72,13.45,22.85,5.72,13.58,23.34,5.77,13.58,23.13
1955-03-01,-103.29,54.37,4.11,18.19,29.18,4.06,17.69,29.18,4.26,17.69,29.28
1955-04-01,-103.29,54.37,6.66,19.78,31.99,6.57,19.78,32.04,6.63,19.78,31.62
1955-05-01,-103.29,54.37,14.59,33.46,62.96,14.59,33.46,63.18,14.59,33.46,62.78
1955-06-01,-103.29,54.37,31.12,64.03,117.40,31.12,64.93,117.40,31.12,63.00,117.40
1955-07-01,-103.29,54.37,29.87,78.25,100.30,29.87,77.60,100.30,29.87,76.81,100.30
1955-08-01,-103.29,54.37,20.94,45.24,79.35,20.94,47.32,77.88,20.94,47.86,77.88
1955-09-01,-103.29,54.37,14.50,47.18,92.41,16.60,47.18,92.41,16.60,47.18,92.41
1955-10-01,-103.29,54.37,13.75,30.03,50.22,13.57,29.72,48.59,13.68,29.29,49.97
1955-11-01,-103.29,54.37,12.86,19.96,36.55,12.86,19.96,35.48,12.86,20.03,33.94
1955-12-01,-103.29,54.37,10.62,19.53,31.01,10.62,19.37,31.01,10.73,19.38,31.01
1956-01-01,-103.29,54.37,8.20,16.81,24.59,7.95,17.33,24.72,7.89,17.33,24.58
1956-02-01,-103.29,54.37,4.70,13.41,27.32,4.70,13.14,27.32,4.70,13.12,27.32
1956-03-01,-103.29,54.37,5.46,12.90,27.20,4.79,12.90,26.66,5.26,12.90,27.22
1956-04-01,-103.29,54.37,8.15,20.29,36.54,8.15,20.43,36.54,8.15,20.43,36.54
1956-05-01,-103.29,54.37,11.06,31.20,52.99,11.57,31.20,53.93,11.10,31.20,52.75
1956-06-01,-103.29,54.37,36.74,51.49,80.03,36.74,51.49,78.70,36.74,51.49,78.70
1956-07-01,-103.29,54.37,32.45,70.05,94.76,32.97,70.05,94.76,33.68,68.51,94.76
1956-08-01,-103.29,54.37,29.71,58.10,102.72,29.71,58.10,102.72,29.71,58.10,102.73
1956-09-01,-103.29,54.37,12.02,45.62,92.35,14.01,45.62,92.35,14.02,45.62,92.35
1956-10-01,-103.29,54.37,16.37,31.10,44.37,16.26,29.76,45.13,16.26,29.77,45.13
1956-11-01,-103.29,54.37,16.13,26.12,36.94,16.36,25.74,38.67,15.75,26.24,37.19
