time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-125.46,52.87,199.20,228.50,255.40,199.20,228.50,255.40,199.20,228.50,255.40
1951-01-01,-125.46,52.87,206.70,236.00,257.90,206.70,236.00,257.90,206.70,236.00,257.90
1952-01-01,-125.46,52.87,197.30,230.00,248.30,197.30,232.00,248.30,197.30,230.00,248.30
1953-01-01,-125.46,52.87,199.90,238.50,255.00,200.50,237.50,255.00,200.50,237.50,253.80
1954-01-01,-125.46,52.87,199.60,233.00,242.40,199.60,233.00,242.40,200.30,233.00,242.40
1955-01-01,-125.46,52.87,203.30,232.50,243.00,203.30,232.00,243.00,203.30,232.00,243.00
1956-01-01,-125.46,52.87,199.00,237.00,248.20,199.00,237.00,256.30,199.00,237.00,256.30
1957-01-01,-125.46,52.87,211.30,232.50,248.70,210.60,235.00,248.70,212.00,235.50,248.70
1958-01-01,-125.46,52.87,205.40,238.00,249.80,204.70,238.00,249.80,204.70,238.00,249.80
1959-01-01,-125.46,52.87,202.80,233.50,243.70,202.80,233.50,243.70,202.80,234.00,243.70
1960-01-01,-125.46,52.87,224.00,240.00,251.10,224.00,240.00,251.10,224.00,241.00,250.40
1961-01-01,-125.46,52.87,199.40,239.50,258.10,199.40,239.50,258.10,199.40,239.50,258.10
1962-01-01,-125.46,52.87,201.70,237.50,254.60,201.00,237.50,254.60,201.00,236.00,254.60
1963-01-01,-125.46,52.87,209.20,234.50,252.50,209.20,232.50,252.50,208.90,232.50,252.50
1964-01-01,-125.46,52.87,199.30,232.00,244.70,199.30,232.00,244.00,199.30,232.00,244.70
1965-01-01,-125.46,52.87,198.90,232.50,255.70,198.90,231.50,255.70,198.90,231.50,255.70
1966-01-01,-125.46,52.87,210.60,232.00,254.10,213.50,232.00,254.10,210.60,232.00,254.10
1967-01-01,-125.46,52.87,204.90,232.50,251.80,204.90,232.50,251.10,204.90,232.50,251.10
1968-01-01,-125.46,52.87,201.10,230.00,242.40,201.10,230.00,242.40,206.00,230.00,242.40
1969-01-01,-125.46,52.87,200.30,224.50,250.70,200.30,231.00,250.70,201.60,233.00,250.70
1970-01-01,-125.46,52.87,205.80,238.00,258.10,205.80,238.00,258.10,205.80,237.50,258.10
1971-01-01,-125.46,52.87,206.30,225.50,254.70,207.30,225.50,254.70,207.30,229.50,256.40
1972-01-01,-125.46,52.87,226.60,240.50,247.10,226.60,240.50,247.10,226.60,240.50,247.10
1973-01-01,-125.46,52.87,210.40,240.00,253.50,210.40,240.00,253.50,210.40,240.00,253.50
1974-01-01,-125.46,52.87,213.90,235.50,249.30,214.20,235.50,249.30,214.20,235.50,249.30
1975-01-01,-125.46,52.87,208.90,234.00,243.40,208.90,234.00,243.40,208.90,234.00,243.40
1976-01-01,-125.46,52.87,201.60,234.00,257.40,199.60,234.00,257.40,201.60,234.00,257.40
1977-01-01,-125.46,52.87,198.30,235.00,248.60,202.70,236.00,248.60,202.70,235.50,248.60
1978-01-01,-125.46,52.87,206.80,237.50,251.10,206.80,237.00,251.10,206.80,237.00,251.10
1979-01-01,-125.46,52.87,199.20,233.50,252.70,199.20,232.50,253.00,199.20,232.50,253.70
1980-01-01,-125.46,52.87,202.20,236.50,252.10,207.00,236.50,252.10,207.00,236.50,252.40
1981-01-01,-125.46,52.87,201.20,233.00,244.90,199.30,232.50,244.90,199.30,232.00,247.00
1982-01-01,-125.46,52.87,203.10,235.00,250.70,200.00,231.00,250.70,200.30,233.50,250.70
1983-01-01,-125.46,52.87,204.30,232.50,251.00,204.30,233.00,251.70,204.30,232.50,251.00
1984-01-01,-125.46,52.87,208.20,236.50,258.90,208.20,234.50,258.90,214.60,236.50,258.90
1985-01-01,-125.46,52.87,210.30,236.00,249.70,203.70,236.00,249.70,210.30,236.00,249.70
1986-01-01,-125.46,52.87,212.20,238.50,253.70,217.40,239.00,253.70,212.20,238.50,253.00
1987-01-01,-125.46,52.87,210.30,239.00,256.40,210.30,239.00,256.40,210.30,239.50,256.40
1988-01-01,-125.46,52.87,227.90,239.00,252.40,227.90,238.50,252.40,227.30,238.00,252.40
1989-01-01,-125.46,52.87,197.00,235.00,258.00,197.00,233.50,258.00,198.20,230.50,255.90
1990-01-01,-125.46,52.87,202.00,235.00,250.10,202.00,235.50,250.10,202.00,235.00,250.10
1991-01-01,-125.46,52.87,214.40,238.50,256.70,214.40,238.50,255.40,214.40,238.50,255.40
1992-01-01,-125.46,52.87,200.60,236.00,248.70,200.60,236.00,248.70,200.60,237.00,248.70
1993-01-01,-125.46,52.87,209.60,233.00,258.20,209.60,231.00,259.40,204.00,233.00,258.20
1994-01-01,-125.46,52.87,209.00,230.00,243.70,209.00,230.00,243.70,209.00,231.50,243.70
1995-01-01,-125.46,52.87,216.90,236.00,256.10,216.60,233.00,253.70,216.60,235.50,253.70
1996-01-01,-125.46,52.87,206.30,239.50,248.00,207.00,239.50,248.00,206.30,239.50,248.00
1997-01-01,-125.46,52.87,202.20,235.00,259.30,199.60,233.50,259.30,198.90,234.50,259.30
1998-01-01,-125.46,52.87,211.10,236.50,256.40,211.10,236.50,256.40,211.10,236.50,256.40
1999-01-01,-125.46,52.87,232.90,242.00,258.80,232.90,241.00,255.20,232.90,242.00,254.50
2000-01-01,-125.46,52.87,229.30,242.50,258.00,230.00,242.50,258.00,230.00,242.50,258.00
2001-01-01,-125.46,52.87,208.00,245.50,265.10,208.00,246.00,263.00,208.00,245.50,267.40
2002-01-01,-125.46,52.87,214.10,248.50,260.70,214.10,250.00,260.70,214.10,250.00,260.70
2003-01-01,-125.46,52.87,231.30,241.00,261.70,228.90,239.50,260.70,231.30,241.00,261.70
2004-01-01,-125.46,52.87,226.50,239.00,256.70,226.50,239.00,256.70,226.50,239.50,256.70
2005-01-01,-125.46,52.87,228.80,249.00,259.80,228.80,249.00,260.00,214.60,247.50,260.00
2006-01-01,-125.46,52.87,223.60,239.00,255.70,236.20,252.50,262.70,229.30,240.50,257.00
2007-01-01,-125.46,52.87,227.50,241.50,266.00,211.00,239.00,258.00,220.30,239.00,261.00
2008-01-01,-125.46,52.87,203.60,236.00,259.90,211.00,240.50,253.40,217.10,243.50,260.00
2009-01-01,-125.46,52.87,206.60,242.50,263.80,225.30,246.50,267.00,229.60,241.00,262.70
2010-01-01,-125.46,52.87,220.20,242.00,258.10,232.00,250.00,264.70,203.30,241.50,262.50
2011-01-01,-125.46,52.87,201.60,242.00,262.60,230.70,245.00,258.40,229.80,241.50,258.70
2012-01-01,-125.46,52.87,234.20,251.50,262.80,207.30,239.00,261.40,220.30,246.50,265.40
