time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-125.46,52.87,156.80,167.50,190.40,156.80,169.00,190.40,156.80,167.00,190.40
1951-01-01,-125.46,52.87,155.30,170.00,193.80,155.30,170.00,194.40,155.30,170.00,193.80
1952-01-01,-125.46,52.87,160.00,175.50,192.70,160.90,173.00,192.70,160.60,173.00,192.70
1953-01-01,-125.46,52.87,159.90,180.00,194.00,159.90,185.00,194.00,159.90,180.00,194.00
1954-01-01,-125.46,52.87,159.30,170.00,186.80,159.30,170.00,187.50,159.30,169.50,183.70
1955-01-01,-125.46,52.87,157.30,168.00,186.70,157.30,168.00,186.70,157.30,166.00,186.70
1956-01-01,-125.46,52.87,157.10,180.00,194.10,157.10,178.50,194.10,157.10,179.50,194.10
1957-01-01,-125.46,52.87,155.60,168.50,190.00,155.60,168.50,189.70,154.30,169.00,189.70
1958-01-01,-125.46,52.87,160.30,177.00,187.70,160.30,176.00,187.00,160.30,176.00,187.00
1959-01-01,-125.46,52.87,154.00,171.00,189.70,154.00,171.00,189.70,154.00,171.00,189.70
1960-01-01,-125.46,52.87,154.90,178.00,187.40,155.50,178.00,187.40,155.50,178.00,187.40
1961-01-01,-125.46,52.87,156.00,173.50,192.20,156.00,174.50,192.20,156.00,174.00,192.20
1962-01-01,-125.46,52.87,150.10,171.00,191.00,151.30,169.00,191.00,150.10,171.00,191.00
1963-01-01,-125.46,52.87,160.20,174.00,192.80,160.20,174.00,192.80,160.20,174.00,192.30
1964-01-01,-125.46,52.87,163.20,183.00,192.70,163.20,183.00,192.70,163.20,183.00,191.40
1965-01-01,-125.46,52.87,157.90,183.00,192.00,157.90,183.00,191.70,160.30,183.00,191.70
1966-01-01,-125.46,52.87,156.50,178.00,188.00,157.90,180.50,188.00,156.50,177.00,188.00
1967-01-01,-125.46,52.87,153.90,173.00,193.40,156.30,172.50,193.40,156.30,173.00,193.40
1968-01-01,-125.46,52.87,161.00,185.00,194.00,161.00,185.00,194.00,158.90,185.00,194.00
1969-01-01,-125.46,52.87,162.20,178.00,190.00,162.20,178.50,190.00,162.20,179.00,190.00
1970-01-01,-125.46,52.87,161.00,173.50,191.00,161.00,173.50,191.00,161.00,173.50,191.00
1971-01-01,-125.46,52.87,156.60,174.50,186.20,156.60,175.50,186.50,156.60,175.50,188.70
1972-01-01,-125.46,52.87,159.00,180.50,191.00,159.00,180.50,190.70,159.00,180.50,190.70
1973-01-01,-125.46,52.87,156.20,177.00,192.40,156.50,177.00,192.40,156.50,177.00,192.40
1974-01-01,-125.46,52.87,157.20,180.00,190.70,156.90,180.00,192.80,157.20,180.50,192.80
1975-01-01,-125.46,52.87,159.30,172.00,188.40,159.30,171.00,188.40,159.30,171.50,189.70
1976-01-01,-125.46,52.87,151.20,181.00,191.70,149.40,176.50,191.70,151.20,181.00,191.70
1977-01-01,-125.46,52.87,157.00,169.50,192.10,159.90,170.50,193.70,157.60,170.50,193.70
1978-01-01,-125.46,52.87,154.30,171.50,189.70,154.30,171.00,189.70,154.30,172.00,189.70
1979-01-01,-125.46,52.87,164.60,184.00,193.00,164.60,185.00,193.00,164.60,184.00,192.70
1980-01-01,-125.46,52.87,156.50,171.50,188.70,156.50,172.00,190.40,156.50,172.00,190.40
1981-01-01,-125.46,52.87,158.50,169.00,188.70,158.50,169.00,188.70,158.50,169.00,188.70
1982-01-01,-125.46,52.87,162.90,175.50,189.10,162.90,175.00,186.40,162.30,175.50,188.40
1983-01-01,-125.46,52.87,159.00,174.00,193.00,159.00,178.50,193.00,159.00,178.50,193.00
1984-01-01,-125.46,52.87,155.30,168.00,188.80,155.30,168.00,188.80,155.30,169.00,188.80
1985-01-01,-125.46,52.87,160.60,174.50,192.10,160.60,174.50,192.40,162.30,175.50,192.40
1986-01-01,-125.46,52.87,155.90,165.00,184.30,158.60,166.00,184.30,158.30,166.00,184.30
1987-01-01,-125.46,52.87,153.30,165.50,186.00,153.30,166.50,186.00,153.30,165.50,185.40
1988-01-01,-125.46,52.87,153.80,169.00,184.70,153.80,170.50,184.70,153.80,169.00,184.70
1989-01-01,-125.46,52.87,161.30,183.00,194.70,161.30,183.00,194.00,161.30,183.00,194.70
1990-01-01,-125.46,52.87,153.20,167.50,185.10,149.90,166.50,182.70,149.90,166.50,182.70
1991-01-01,-125.46,52.87,153.50,170.50,187.00,153.50,170.00,187.00,152.30,170.00,187.00
1992-01-01,-125.46,52.87,162.20,175.50,191.70,162.20,175.00,191.70,158.90,175.00,190.70
1993-01-01,-125.46,52.87,158.00,166.00,186.10,158.00,166.00,186.10,158.00,166.00,186.10
1994-01-01,-125.46,52.87,160.50,174.50,188.70,160.50,174.00,188.70,160.50,174.50,190.40
