time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,52.87,-125.46,-14.31,-9.24,-6.34,-14.31,-9.24,-6.34,-14.31,-9.24,-6.34
1950-02-01,52.87,-125.46,-9.95,-6.33,-3.25,-9.95,-6.33,-3.25,-9.95,-6.33,-3.25
1950-03-01,52.87,-125.46,-8.02,-4.10,-1.26,-8.02,-4.10,-1.26,-8.02,-4.10,-1.26
1950-04-01,52.87,-125.46,-0.88,0.47,2.84,-0.88,0.47,2.84,-1.01,0.47,2.84
1950-05-01,52.87,-125.46,3.78,5.35,8.29,3.78,5.35,8.29,3.78,5.35,8.29
1950-06-01,52.87,-125.46,7.55,8.62,11.06,7.55,8.62,11.06,7.55,8.62,11.06
1950-07-01,52.87,-125.46,10.17,11.44,13.68,10.17,11.44,13.68,10.17,11.44,13.68
1950-08-01,52.87,-125.46,9.83,11.52,13.53,9.83,11.52,13.53,9.82,11.52,13.51
1950-09-01,52.87,-125.46,6.44,7.90,9.70,6.44,7.90,9.70,6.44,7.90,9.70
1950-10-01,52.87,-125.46,0.51,2.60,4.76,0.51,2.60,4.76,0.51,2.60,4.76
1950-11-01,52.87,-125.46,-7.93,-5.18,-1.31,-7.93,-5.18,-1.31,-7.93,-5.18,-1.35
1950-12-01,52.87,-125.46,-10.88,-8.66,-4.67,-10.88,-8.66,-4.67,-10.88,-8.66,-4.77
1951-01-01,52.87,-125.46,-16.25,-9.63,-4.83,-16.25,-9.63,-4.83,-16.25,-9.66,-4.83
1951-02-01,52.87,-125.46,-11.55,-6.85,-2.68,-11.55,-6.85,-2.68,-11.55,-6.85,-2.68
1951-03-01,52.87,-125.46,-6.61,-3.04,-0.48,-6.61,-3.04,-0.48,-6.61,-3.04,-0.48
1951-04-01,52.87,-125.46,-1.75,0.24,3.42,-1.75,0.24,3.42,-1.75,0.24,3.42
1951-05-01,52.87,-125.46,3.77,5.87,7.31,3.77,5.87,7.31,3.77,5.87,7.31
1951-06-01,52.87,-125.46,8.23,9.49,11.44,8.23,9.49,11.44,8.23,9.49,11.44
1951-07-01,52.87,-125.46,10.11,11.96,13.07,10.11,11.96,13.07,10.11,11.96,13.07
1951-08-01,52.87,-125.46,10.35,11.64,13.41,10.35,11.64,13.41,10.35,11.64,13.41
1951-09-01,52.87,-125.46,6.04,7.88,10.21,6.04,7.88,10.21,6.04,7.88,10.21
1951-10-01,52.87,-125.46,0.66,2.62,4.91,0.66,2.62,4.91,0.70,2.62,4.91
1951-11-01,52.87,-125.46,-6.95,-4.12,-1.83,-6.95,-4.12,-1.83,-6.95,-4.12,-1.83
1951-12-01,52.87,-125.46,-13.43,-7.99,-5.14,-13.43,-7.99,-5.14,-13.43,-7.99,-5.14
1952-01-01,52.87,-125.46,-15.53,-11.81,-7.92,-15.53,-11.81,-7.92,-15.53,-11.81,-8.07
1952-02-01,52.87,-125.46,-10.61,-6.44,-4.29,-10.61,-6.44,-4.29,-10.58,-6.44,-4.29
1952-03-01,52.87,-125.46,-7.67,-3.92,-0.88,-7.67,-3.92,-0.88,-7.67,-4.03,-0.88
1952-04-01,52.87,-125.46,-1.52,0.33,3.28,-1.52,0.33,3.28,-1.52,0.33,3.28
1952-05-01,52.87,-125.46,3.12,4.94,7.43,3.12,4.94,7.43,3.12,4.94,7.43
1952-06-01,52.87,-125.46,7.00,9.46,11.72,7.00,9.46,11.72,7.00,9.46,11.72
1952-07-01,52.87,-125.46,9.16,11.23,14.14,9.16,11.23,14.14,9.18,11.23,14.14
1952-08-01,52.87,-125.46,9.80,11.61,13.02,9.80,11.61,13.02,9.80,11.61,13.02
1952-09-01,52.87,-125.46,5.97,6.83,8.24,5.97,6.83,8.24,5.97,6.83,8.24
1952-10-01,52.87,-125.46,-0.32,2.12,4.80,-0.32,2.12,4.80,-0.32,2.12,4.80
1952-11-01,52.87,-125.46,-9.41,-5.07,-1.25,-9.41,-5.07,-1.25,-9.41,-5.07,-1.25
1952-12-01,52.87,-125.46,-15.68,-9.17,-5.83,-15.68,-9.17,-5.83,-15.68,-9.17,-5.83
1953-01-01,52.87,-125.46,-15.83,-10.31,-7.31,-15.83,-10.31,-7.31,-15.83,-10.31,-7.31
1953-02-01,52.87,-125.46,-9.80,-6.57,-3.43,-9.80,-6.57,-3.43,-9.80,-6.57,-3.43
1953-03-01,52.87,-125.46,-7.67,-4.72,-1.69,-7.67,-4.72,-1.69,-7.67,-4.72,-1.69
1953-04-01,52.87,-125.46,-1.40,0.52,3.09,-1.40,0.52,3.09,-1.40,0.52,3.09
1953-05-01,52.87,-125.46,3.33,4.93,6.98,3.33,4.93,6.98,3.33,4.93,6.98
1953-06-01,52.87,-125.46,7.65,9.43,11.05,7.65,9.43,11.05,7.65,9.43,11.05
1953-07-01,52.87,-125.46,9.87,11.02,13.40,9.87,11.02,13.40,9.87,11.02,13.40
1953-08-01,52.87,-125.46,9.41,11.09,13.19,9.41,11.09,13.19,9.41,11.09,13.19
1953-09-01,52.87,-125.46,5.40,7.11,9.02,5.40,7.11,9.02,5.40,7.11,9.02
1953-10-01,52.87,-125.46,0.90,3.44,3.98,0.90,3.44,3.98,0.90,3.44,4.06
1953-11-01,52.87,-125.46,-6.06,-3.76,-1.93,-6.06,-3.76,-1.93,-6.06,-3.76,-1.93
1953-12-01,52.87,-125.46,-12.46,-9.60,-6.26,-12.46,-9.60,-6.26,-12.46,-9.60,-6.26
1954-01-01,52.87,-125.46,-12.96,-9.54,-6.19,-12.96,-9.54,-6.19,-12.96,-9.54,-6.19
1954-02-01,52.87,-125.46,-13.29,-7.63,-4.80,-13.29,-7.63,-4.80,-13.29,-7.63,-4.80
1954-03-01,52.87,-125.46,-8.42,-4.64,-1.54,-8.42,-4.64,-1.54,-8.90,-4.64,-1.54
1954-04-01,52.87,-125.46,-1.42,0.83,3.02,-1.42,0.83,3.02,-1.52,0.83,3.02
1954-05-01,52.87,-125.46,3.49,6.00,7.36,3.49,6.00,7.36,3.49,6.00,7.36
1954-06-01,52.87,-125.46,7.56,8.76,10.89,7.56,8.76,10.89,7.56,8.76,10.89
1954-07-01,52.87,-125.46,10.63,12.05,13.25,10.63,12.05,13.25,10.64,12.05,13.25
1954-08-01,52.87,-125.46,9.31,11.24,13.58,9.31,11.24,13.58,9.31,11.24,13.58
1954-09-01,52.87,-125.46,5.58,8.33,9.89,5.58,8.33,9.89,5.58,8.33,9.89
1954-10-01,52.87,-125.46,0.48,2.39,4.05,0.48,2.39,4.05,0.48,2.39,4.05
1954-11-01,52.87,-125.46,-8.33,-4.40,-1.18,-8.33,-4.40,-1.18,-8.33,-4.40,-1.18
1954-12-01,52.87,-125.46,-11.83,-8.03,-5.48,-11.83,-8.03,-5.48,-11.83,-8.12,-5.48
1955-01-01,52.87,-125.46,-15.89,-12.18,-7.29,-15.89,-12.18,-7.29,-15.89,-12.18,-7.62
1955-02-01,52.87,-125.46,-13.05,-7.24,-3.48,-13.05,-7.24,-3.48,-13.05,-7.24,-3.47
1955-03-01,52.87,-125.46,-8.01,-4.01,-0.90,-8.01,-4.01,-0.90,-8.01,-4.01,-1.11
1955-04-01,52.87,-125.46,-0.60,0.72,2.48,-0.60,0.72,2.48,-0.60,0.72,2.48
1955-05-01,52.87,-125.46,3.46,5.62,8.18,3.46,5.62,8.18,3.46,5.62,8.18
1955-06-01,52.87,-125.46,7.31,8.63,11.75,7.31,8.63,11.75,7.31,8.63,11.75
1955-07-01,52.87,-125.46,9.88,10.94,12.52,9.88,10.94,12.52,9.88,10.94,12.52
1955-08-01,52.87,-125.46,9.39,10.89,12.81,9.39,10.89,12.81,9.39,10.89,12.81
1955-09-01,52.87,-125.46,5.83,8.07,9.79,5.83,8.07,9.79,5.86,8.07,9.79
1955-10-01,52.87,-125.46,0.64,2.20,5.09,0.64,2.20,5.09,0.69,2.20,5.09
1955-11-01,52.87,-125.46,-7.64,-5.08,-2.61,-7.64,-5.08,-2.61,-7.64,-5.08,-2.61
1955-12-01,52.87,-125.46,-12.25,-8.23,-4.75,-12.25,-8.23,-4.75,-12.25,-8.23,-4.75
1956-01-01,52.87,-125.46,-15.79,-11.82,-7.52,-15.79,-11.82,-7.52,-15.79,-11.82,-7.52
1956-02-01,52.87,-125.46,-10.40,-6.22,-2.26,-10.40,-6.22,-2.26,-10.40,-6.22,-2.26
1956-03-01,52.87,-125.46,-6.34,-3.77,-1.01,-6.34,-3.77,-1.01,-6.46,-3.77,-1.01
1956-04-01,52.87,-125.46,-2.08,0.68,3.54,-2.08,0.68,3.54,-2.08,0.68,3.54
1956-05-01,52.87,-125.46,2.40,5.36,7.20,2.40,5.36,7.20,2.40,5.36,7.20
1956-06-01,52.87,-125.46,6.57,8.34,10.64,6.57,8.34,10.64,6.57,8.34,10.63
1956-07-01,52.87,-125.46,10.48,11.63,13.17,10.48,11.63,13.17,10.48,11.63,13.17
