time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-125.46,52.87,32.08,61.70,92.56,32.08,62.08,96.21,32.08,61.03,94.32
1950-02-01,-125.46,52.87,16.65,24.00,53.89,16.89,25.39,53.66,16.27,24.17,53.66
1950-03-01,-125.46,52.87,21.41,37.55,54.29,21.41,36.72,54.29,21.41,36.72,54.29
1950-04-01,-125.46,52.87,9.10,18.05,33.68,9.10,17.43,32.96,9.10,17.43,32.83
1950-05-01,-125.46,52.87,16.30,29.97,43.39,16.30,30.49,43.39,16.30,30.49,43.39
1950-06-01,-125.46,52.87,19.73,53.86,71.39,18.64,53.85,71.39,18.66,53.86,71.39
1950-07-01,-125.46,52.87,22.47,46.38,72.27,22.47,44.54,72.27,22.47,43.08,72.27
1950-08-01,-125.46,52.87,13.76,40.43,80.26,13.60,42.20,80.26,14.14,42.02,80.26
1950-09-01,-125.46,52.87,10.95,24.55,43.34,10.95,24.55,44.28,10.95,24.55,44.40
1950-10-01,-125.46,52.87,17.09,55.21,93.01,17.62,55.48,93.01,17.79,55.21,93.01
1950-11-01,-125.46,52.87,30.74,65.87,146.76,30.25,65.87,146.42,30.29,65.87,146.72
1950-12-01,-125.46,52.87,23.45,73.31,108.58,24.06,72.98,108.58,24.06,74.27,108.58
1951-01-01,-125.46,52.87,27.88,65.01,84.41,27.88,65.01,86.03,27.88,65.01,87.58
1951-02-01,-125.46,52.87,20.10,31.99,55.01,20.10,32.11,56.39,20.05,32.11,51.48
1951-03-01,-125.46,52.87,20.08,33.90,63.49,20.08,35.07,62.45,20.08,34.12,61.92
1951-04-01,-125.46,52.87,5.20,18.53,41.70,5.33,18.80,41.23,5.33,18.75,40.99
1951-05-01,-125.46,52.87,14.87,25.04,55.83,14.87,25.25,55.67,14.87,24.81,55.98
1951-06-01,-125.46,52.87,25.18,43.85,68.50,23.96,43.85,68.50,24.58,43.85,68.50
1951-07-01,-125.46,52.87,18.53,27.73,77.90,17.07,27.73,77.90,18.33,27.73,77.90
1951-08-01,-125.46,52.87,13.57,37.47,65.75,13.57,38.47,65.76,13.57,38.47,65.75
1951-09-01,-125.46,52.87,9.26,25.73,53.01,9.66,25.80,53.01,9.51,26.89,53.01
1951-10-01,-125.46,52.87,31.21,57.78,88.54,31.26,58.00,88.54,31.26,59.07,88.54
1951-11-01,-125.46,52.87,33.87,67.92,104.44,33.87,67.73,104.44,33.87,67.36,104.01
1951-12-01,-125.46,52.87,35.70,67.84,86.70,35.70,67.84,86.78,35.70,67.84,90.36
1952-01-01,-125.46,52.87,22.89,57.56,93.95,22.69,57.95,93.95,22.69,58.68,93.95
1952-02-01,-125.46,52.87,7.32,25.41,49.51,7.32,25.72,49.51,7.32,25.58,49.51
1952-03-01,-125.46,52.87,18.14,32.96,66.51,18.22,32.96,64.57,18.22,33.32,64.57
1952-04-01,-125.46,52.87,7.44,20.97,30.97,7.18,20.97,32.10,6.79,20.97,31.62
