time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-106.88,49.71,243.90,259.50,275.20,243.60,259.50,275.20,243.60,259.50,275.20
1951-01-01,-106.88,49.71,249.50,262.00,268.70,249.50,262.00,268.70,249.50,262.00,268.70
1952-01-01,-106.88,49.71,249.30,259.00,270.10,249.30,259.00,270.10,249.30,259.00,270.10
1953-01-01,-106.88,49.71,247.00,263.00,278.10,247.00,263.00,278.10,247.00,263.00,278.10
1954-01-01,-106.88,49.71,247.90,262.00,269.70,247.90,262.00,269.70,247.90,262.00,269.70
1955-01-01,-106.88,49.71,245.50,259.00,268.70,245.50,259.50,268.70,245.50,259.00,268.70
1956-01-01,-106.88,49.71,248.20,256.50,268.70,248.20,256.50,268.70,248.20,256.50,268.70
1957-01-01,-106.88,49.71,247.30,265.50,276.20,247.30,265.50,275.50,247.30,265.50,275.50
1958-01-01,-106.88,49.71,247.60,259.00,276.50,247.30,259.00,276.50,247.30,259.00,276.50
1959-01-01,-106.88,49.71,253.90,262.00,270.70,254.60,262.00,270.70,252.50,262.00,270.70
1960-01-01,-106.88,49.71,253.30,262.50,272.70,251.60,262.50,272.70,250.90,262.50,272.70
1961-01-01,-106.88,49.71,240.10,259.50,267.70,240.10,259.50,267.70,240.10,259.50,270.50
1962-01-01,-106.88,49.71,251.20,260.50,266.00,251.20,260.50,266.70,251.20,260.50,266.70
1963-01-01,-106.88,49.71,251.00,260.00,270.50,251.00,259.50,270.50,250.30,259.50,270.50
1964-01-01,-106.88,49.71,254.60,262.00,269.70,251.90,262.00,269.70,251.90,262.00,269.70
1965-01-01,-106.88,49.71,253.30,261.00,267.00,253.30,261.00,267.00,253.30,260.00,266.70
1966-01-01,-106.88,49.71,247.80,258.00,269.00,247.80,257.00,269.00,247.80,257.00,269.00
1967-01-01,-106.88,49.71,244.00,263.00,269.70,244.00,263.00,269.70,244.00,264.00,269.70
1968-01-01,-106.88,49.71,249.60,261.00,269.00,249.60,261.00,269.00,251.30,261.00,268.70
1969-01-01,-106.88,49.71,248.80,258.00,266.10,253.30,258.50,267.00,249.10,259.00,267.00
1970-01-01,-106.88,49.71,246.30,261.00,271.80,244.60,261.00,271.80,244.60,261.00,271.80
1971-01-01,-106.88,49.71,249.20,260.00,268.00,249.20,260.00,268.00,249.20,260.00,268.00
1972-01-01,-106.88,49.71,250.60,261.00,268.00,250.60,261.00,268.00,250.60,261.00,268.00
1973-01-01,-106.88,49.71,246.60,260.00,273.40,246.60,260.00,273.40,246.60,260.00,273.40
1974-01-01,-106.88,49.71,247.20,260.50,268.40,247.20,261.00,268.40,247.20,261.00,267.70
1975-01-01,-106.88,49.71,250.00,261.50,274.40,250.00,261.50,274.40,250.00,261.50,274.40
1976-01-01,-106.88,49.71,244.00,258.50,269.70,244.00,258.50,269.70,244.00,257.50,269.70
1977-01-01,-106.88,49.71,254.00,262.50,272.70,254.00,262.50,272.70,254.00,262.50,272.70
1978-01-01,-106.88,49.71,249.30,260.00,272.40,249.30,260.00,272.40,249.30,260.00,272.40
1979-01-01,-106.88,49.71,251.60,261.00,267.70,251.60,261.00,267.70,254.20,261.00,267.70
1980-01-01,-106.88,49.71,250.90,263.50,278.70,250.90,264.00,276.80,250.90,264.00,278.70
1981-01-01,-106.88,49.71,249.00,263.50,273.80,249.00,263.50,273.80,249.00,263.50,278.00
1982-01-01,-106.88,49.71,251.00,259.50,272.40,251.00,259.50,272.40,251.00,258.50,272.40
1983-01-01,-106.88,49.71,245.80,261.50,269.70,245.80,261.50,269.70,245.50,260.50,268.10
1984-01-01,-106.88,49.71,256.30,266.00,276.70,256.00,265.00,276.70,256.00,265.00,276.70
1985-01-01,-106.88,49.71,248.30,262.50,274.40,243.80,262.50,274.40,244.50,262.50,274.40
1986-01-01,-106.88,49.71,246.90,261.00,276.50,249.00,262.50,276.50,249.00,262.50,276.50
1987-01-01,-106.88,49.71,251.60,265.00,272.70,252.30,265.00,272.70,252.30,265.00,272.70
1988-01-01,-106.88,49.71,256.20,265.00,273.00,255.90,265.00,273.00,255.90,265.00,273.00
1989-01-01,-106.88,49.71,254.90,263.50,275.40,255.20,265.50,275.40,254.90,265.50,275.40
1990-01-01,-106.88,49.71,251.30,259.50,274.70,252.60,259.50,274.70,251.30,259.50,274.70
1991-01-01,-106.88,49.71,249.90,265.50,273.50,249.90,265.50,277.80,249.90,265.50,273.50
1992-01-01,-106.88,49.71,243.60,261.00,277.20,243.60,261.00,277.20,243.60,261.00,281.10
1993-01-01,-106.88,49.71,249.20,260.00,270.10,249.20,258.50,270.10,249.20,258.00,270.10
1994-01-01,-106.88,49.71,242.20,261.00,272.40,242.20,261.00,272.40,241.00,260.00,272.40
1995-01-01,-106.88,49.71,250.30,260.00,276.60,250.30,259.50,276.60,250.30,260.00,276.60
1996-01-01,-106.88,49.71,254.00,265.00,276.90,251.20,265.00,277.20,254.00,265.00,276.90
1997-01-01,-106.88,49.71,254.00,264.00,273.50,254.00,264.00,273.50,254.00,264.00,273.50
1998-01-01,-106.88,49.71,251.10,265.00,272.40,250.20,263.00,272.40,250.20,263.00,272.40
1999-01-01,-106.88,49.71,254.30,266.50,278.70,254.30,266.50,278.70,254.30,266.50,278.70
2000-01-01,-106.88,49.71,255.30,264.00,278.50,243.80,264.00,279.20,243.80,264.00,278.50
2001-01-01,-106.88,49.71,250.30,263.50,270.70,251.00,263.50,270.70,251.00,263.50,270.70
2002-01-01,-106.88,49.71,255.30,265.50,275.10,255.30,265.50,275.10,254.60,264.00,275.10
2003-01-01,-106.88,49.71,254.50,266.00,278.90,254.50,268.50,278.90,254.50,267.50,278.90
2004-01-01,-106.88,49.71,253.10,266.00,281.30,253.10,266.00,281.30,253.10,266.00,281.30
2005-01-01,-106.88,49.71,253.60,264.00,273.20,253.60,264.00,273.20,253.90,264.00,272.80
2006-01-01,-106.88,49.71,254.30,262.00,271.10,253.80,262.50,274.70,256.00,262.00,269.50
2007-01-01,-106.88,49.71,256.30,267.00,271.70,247.80,260.50,284.80,256.70,270.00,282.60
2008-01-01,-106.88,49.71,255.60,264.00,279.40,250.80,262.00,273.70,243.20,266.00,278.70
2009-01-01,-106.88,49.71,255.30,266.00,282.40,255.30,265.00,270.70,258.00,266.50,273.00
2010-01-01,-106.88,49.71,248.30,266.50,273.00,252.00,268.50,276.70,252.60,265.50,282.70
2011-01-01,-106.88,49.71,256.30,264.00,282.40,250.30,264.50,274.70,249.90,262.00,273.50
2012-01-01,-106.88,49.71,254.20,268.00,275.80,252.20,265.50,276.40,253.80,267.50,283.90
2013-01-01,-106.88,49.71,250.90,265.00,273.70,256.20,264.50,279.70,255.30,268.00,274.40
2014-01-01,-106.88,49.71,260.00,265.50,279.10,257.60,270.00,280.40,253.60,267.00,282.60
2015-01-01,-106.88,49.71,253.60,264.50,275.80,252.30,263.00,275.40,258.30,266.50,288.50
2016-01-01,-106.88,49.71,257.30,269.00,280.40,257.30,266.50,279.40,256.30,268.00,276.10
2017-01-01,-106.88,49.71,259.00,270.50,284.80,258.90,270.00,279.40,255.00,266.50,277.80
2018-01-01,-106.88,49.71,260.30,267.50,289.70,261.60,273.50,285.40,248.30,266.50,274.80
2019-01-01,-106.88,49.71,253.50,270.00,286.70,252.50,267.00,282.80,263.00,270.00,283.80
2020-01-01,-106.88,49.71,259.00,267.50,281.80,255.30,266.00,278.40,262.30,272.00,288.20
2021-01-01,-106.88,49.71,258.30,271.50,282.80,255.30,265.00,287.70,257.30,265.50,272.00
2022-01-01,-106.88,49.71,259.30,269.50,279.50,261.00,271.00,282.00,255.20,267.00,280.10
2023-01-01,-106.88,49.71,261.00,269.50,285.20,257.30,267.00,281.50,256.20,268.50,280.70
2024-01-01,-106.88,49.71,250.30,265.50,283.70,254.00,264.00,282.70,259.30,264.00,282.00
2025-01-01,-106.88,49.71,253.10,270.00,288.20,255.30,267.50,279.50,257.30,268.00,284.10
2026-01-01,-106.88,49.71,259.00,267.00,284.50,249.80,269.00,282.30,253.30,268.00,279.10
2027-01-01,-106.88,49.71,250.40,268.50,276.70,255.90,268.00,281.50,254.60,267.00,280.70
2028-01-01,-106.88,49.71,262.30,267.00,283.30,257.00,271.00,282.10,257.00,264.50,281.70
2029-01-01,-106.88,49.71,257.30,270.00,283.70,259.30,267.50,291.50,257.00,269.00,276.10
2030-01-01,-106.88,49.71,256.60,271.00,283.70,254.90,272.50,288.80,263.00,269.00,282.10
2031-01-01,-106.88,49.71,255.30,269.50,285.70,258.90,268.50,281.00,260.30,266.50,276.90
2032-01-01,-106.88,49.71,253.60,266.00,280.70,255.30,268.50,280.70,256.00,267.50,283.00
2033-01-01,-106.88,49.71,260.00,272.00,286.20,254.20,268.00,286.20,261.30,267.00,284.40
2034-01-01,-106.88,49.71,254.60,267.50,281.70,253.60,266.00,279.70,254.60,270.50,278.00
2035-01-01,-106.88,49.71,259.90,268.50,281.10,255.80,271.00,286.70,260.30,269.00,281.50
2036-01-01,-106.88,49.71,263.00,272.00,287.90,252.50,269.00,284.70,262.20,271.00,284.00
2037-01-01,-106.88,49.71,250.80,267.50,284.40,260.00,270.50,288.40,260.30,271.50,284.40
2038-01-01,-106.88,49.71,258.00,272.50,289.70,260.00,272.50,286.40,259.30,268.50,279.70
2039-01-01,-106.88,49.71,261.80,272.00,278.40,257.00,266.00,283.10,261.00,272.00,290.10
2040-01-01,-106.88,49.71,258.50,270.00,278.40,257.00,270.00,282.10,257.50,271.00,282.70
2041-01-01,-106.88,49.71,257.90,268.50,284.40,259.00,272.00,286.10,259.60,272.50,290.20
2042-01-01,-106.88,49.71,252.50,268.50,283.10,258.60,267.00,279.00,258.50,271.50,288.00
2043-01-01,-106.88,49.71,255.20,268.00,280.50,252.30,263.00,279.00,263.30,276.50,294.00
2044-01-01,-106.88,49.71,259.60,268.50,279.70,258.00,270.00,285.70,257.60,273.00,285.70
2045-01-01,-106.88,49.71,256.30,269.50,283.50,262.30,270.00,283.50,263.20,278.00,290.40
2046-01-01,-106.88,49.71,261.60,270.50,285.70,261.60,279.00,287.70,262.60,271.50,295.90
2047-01-01,-106.88,49.71,254.20,267.00,283.10,258.10,269.50,278.60,258.90,269.50,288.80
2048-01-01,-106.88,49.71,258.30,270.50,290.70,261.00,271.00,286.10,264.00,273.50,289.50
2049-01-01,-106.88,49.71,256.60,269.50,285.70,262.30,271.50,287.10,264.00,278.50,290.00
2050-01-01,-106.88,49.71,257.00,264.50,278.00,254.80,267.00,282.00,263.30,274.00,292.70
2051-01-01,-106.88,49.71,258.30,267.00,282.80,253.00,271.00,286.00,254.30,271.50,293.00
2052-01-01,-106.88,49.71,260.30,267.50,284.50,256.90,274.00,285.40,268.30,276.50,293.10
2053-01-01,-106.88,49.71,256.90,266.00,284.80,257.30,269.50,278.10,263.00,277.00,287.70
2054-01-01,-106.88,49.71,253.90,270.50,281.10,253.00,270.00,281.00,256.40,271.00,293.90
2055-01-01,-106.88,49.71,257.60,267.00,283.00,263.00,270.50,287.00,268.20,278.00,291.40
2056-01-01,-106.88,49.71,253.30,266.50,286.40,264.00,271.00,286.20,266.30,273.50,294.70
2057-01-01,-106.88,49.71,258.00,271.50,286.40,261.00,274.50,287.00,263.30,277.50,293.40
2058-01-01,-106.88,49.71,257.50,267.50,284.70,263.30,273.00,288.50,262.60,277.50,290.10
2059-01-01,-106.88,49.71,260.30,271.50,285.40,258.60,267.00,289.70,258.50,277.00,293.70
2060-01-01,-106.88,49.71,259.20,272.50,285.40,259.30,271.50,286.70,265.00,282.00,298.90
2061-01-01,-106.88,49.71,259.00,276.50,290.00,267.30,276.50,291.40,257.60,275.00,295.50
2062-01-01,-106.88,49.71,256.30,270.50,284.00,259.40,273.50,288.10,264.90,276.50,295.40
2063-01-01,-106.88,49.71,256.30,267.00,279.40,262.90,274.50,291.80,266.30,277.50,293.00
2064-01-01,-106.88,49.71,256.30,269.00,285.70,259.30,270.50,287.80,256.80,279.00,292.70
2065-01-01,-106.88,49.71,249.50,269.50,287.40,254.30,271.00,285.70,262.60,279.50,291.50
2066-01-01,-106.88,49.71,261.30,267.00,273.00,256.60,270.00,286.70,265.20,279.50,291.70
2067-01-01,-106.88,49.71,253.90,266.00,282.40,263.50,278.50,292.00,257.10,280.00,291.40
2068-01-01,-106.88,49.71,253.20,269.00,288.70,257.90,269.50,284.40,269.90,283.00,298.00
2069-01-01,-106.88,49.71,257.30,270.50,281.00,266.00,276.50,290.40,263.50,277.50,297.40
2070-01-01,-106.88,49.71,257.30,269.50,286.00,261.30,273.00,291.40,267.30,283.50,298.40
2071-01-01,-106.88,49.71,245.60,266.50,286.40,257.60,272.00,287.70,270.60,281.50,296.40
2072-01-01,-106.88,49.71,251.60,268.50,279.70,263.00,280.50,291.70,264.30,283.00,290.70
2073-01-01,-106.88,49.71,257.60,269.50,287.00,258.30,270.50,294.00,263.60,284.50,299.00
2074-01-01,-106.88,49.71,256.80,266.00,286.40,262.00,269.00,289.80,272.00,289.00,298.00
2075-01-01,-106.88,49.71,258.80,269.00,286.20,256.30,269.00,291.50,264.20,281.00,297.10
2076-01-01,-106.88,49.71,259.90,272.50,287.40,264.20,275.50,292.10,269.30,283.00,294.70
2077-01-01,-106.88,49.71,257.60,265.00,281.40,261.50,278.00,291.70,265.50,286.50,293.70
2078-01-01,-106.88,49.71,260.20,272.50,283.00,257.40,273.00,292.30,267.30,285.00,296.40
2079-01-01,-106.88,49.71,255.90,269.50,280.70,259.30,268.50,293.70,269.90,287.00,301.00
2080-01-01,-106.88,49.71,254.30,267.00,274.40,266.30,274.50,291.70,264.30,282.00,295.70
2081-01-01,-106.88,49.71,250.90,266.50,281.70,254.60,269.50,287.80,260.30,285.00,299.00
2082-01-01,-106.88,49.71,257.80,268.50,283.40,263.90,277.00,290.50,264.30,291.00,307.50
2083-01-01,-106.88,49.71,255.60,272.50,294.40,261.00,274.50,290.00,269.30,287.00,296.70
2084-01-01,-106.88,49.71,258.90,268.00,279.40,261.30,276.50,296.90,266.90,282.00,301.50
2085-01-01,-106.88,49.71,254.00,272.00,285.70,266.00,279.00,292.70,265.60,283.00,304.40
2086-01-01,-106.88,49.71,264.00,269.50,287.10,260.60,273.00,289.10,268.30,291.00,300.40
2087-01-01,-106.88,49.71,259.60,271.50,284.70,257.50,269.50,291.10,267.30,285.00,297.80
2088-01-01,-106.88,49.71,259.30,267.50,287.20,262.20,280.00,295.00,266.30,289.50,304.40
2089-01-01,-106.88,49.71,258.30,267.50,284.70,264.90,277.50,299.00,264.70,286.00,299.40
2090-01-01,-106.88,49.71,254.60,274.00,290.10,261.30,273.50,289.40,272.00,288.00,304.10
2091-01-01,-106.88,49.71,254.30,268.50,281.00,262.20,277.50,284.70,267.40,291.00,301.40
2092-01-01,-106.88,49.71,254.30,269.50,291.00,262.00,272.00,289.40,267.90,291.50,304.50
2093-01-01,-106.88,49.71,256.80,269.50,288.70,260.00,271.50,292.70,271.00,284.00,298.70
2094-01-01,-106.88,49.71,259.00,269.50,281.00,258.50,274.00,291.00,274.80,288.00,302.40
2095-01-01,-106.88,49.71,254.90,269.00,282.70,260.60,271.50,294.00,276.30,287.00,299.00
2096-01-01,-106.88,49.71,259.00,270.00,286.80,265.00,276.50,293.00,271.70,294.50,304.00
2097-01-01,-106.88,49.71,259.00,267.50,287.70,266.90,275.00,288.20,261.60,289.50,301.40
2098-01-01,-106.88,49.71,253.00,265.50,276.70,257.80,276.00,285.70,270.00,292.50,297.70
2099-01-01,-106.88,49.71,257.20,268.50,282.10,256.90,276.00,285.70,266.40,289.00,302.80
2100-01-01,-106.88,49.71,257.60,269.50,289.20,261.30,282.50,297.00,268.60,288.50,306.40
1950-01-01,-102.21,49.71,242.30,255.50,265.00,242.30,255.00,265.00,242.30,255.50,265.00
