time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-106.88,49.71,126.20,141.50,154.00,126.20,141.50,154.00,126.20,141.50,154.00
1951-01-01,-106.88,49.71,124.00,134.50,158.00,124.00,134.50,158.00,124.00,134.50,158.00
1952-01-01,-106.88,49.71,124.80,140.00,159.90,124.80,140.00,159.90,129.00,140.00,159.90
1953-01-01,-106.88,49.71,128.90,136.50,157.00,128.60,136.50,157.00,128.60,136.50,157.00
1954-01-01,-106.88,49.71,128.60,139.00,157.70,128.60,139.00,157.10,128.60,138.50,157.10
1955-01-01,-106.88,49.71,119.60,135.50,151.60,119.60,135.50,151.60,119.60,135.50,151.60
1956-01-01,-106.88,49.71,132.00,145.00,159.40,132.00,144.50,159.40,132.00,144.50,159.40
1957-01-01,-106.88,49.71,118.50,143.50,157.40,118.50,143.50,157.40,118.50,143.50,157.70
1958-01-01,-106.88,49.71,128.30,137.00,155.70,128.30,137.00,155.70,128.30,137.00,160.90
1959-01-01,-106.88,49.71,128.30,143.00,155.70,127.90,143.00,155.70,127.30,143.00,155.70
1960-01-01,-106.88,49.71,127.90,139.50,152.70,127.90,139.50,152.00,127.90,139.50,153.70
1961-01-01,-106.88,49.71,119.80,137.00,162.10,119.80,135.00,162.10,119.80,135.00,162.10
1962-01-01,-106.88,49.71,122.80,137.50,152.70,122.80,140.50,152.70,122.80,137.50,152.70
1963-01-01,-106.88,49.71,131.90,144.50,159.70,131.30,144.50,159.70,131.30,144.50,159.70
1964-01-01,-106.88,49.71,134.00,147.50,168.80,134.60,147.50,164.70,134.60,147.50,165.40
1965-01-01,-106.88,49.71,130.00,139.00,158.70,130.00,139.00,158.70,130.00,139.00,157.70
1966-01-01,-106.88,49.71,126.00,137.50,156.50,126.00,139.00,156.50,126.00,139.00,156.50
1967-01-01,-106.88,49.71,124.50,140.50,159.00,124.50,141.50,158.70,124.50,141.50,159.00
1968-01-01,-106.88,49.71,129.30,138.50,159.40,128.60,141.00,159.40,128.60,141.50,159.40
1969-01-01,-106.88,49.71,129.00,141.00,160.10,128.30,139.50,160.10,129.00,140.50,160.10
1970-01-01,-106.88,49.71,127.00,134.00,157.40,127.00,137.50,159.40,127.00,134.00,159.40
1971-01-01,-106.88,49.71,124.60,136.00,159.40,124.60,136.00,157.70,124.60,136.00,157.70
1972-01-01,-106.88,49.71,129.60,140.50,158.70,129.60,141.00,158.70,129.60,141.00,158.70
1973-01-01,-106.88,49.71,119.20,149.50,162.70,119.20,149.50,163.00,119.20,149.00,163.00
1974-01-01,-106.88,49.71,129.60,141.50,160.00,129.60,141.50,159.40,129.60,141.50,159.40
1975-01-01,-106.88,49.71,123.30,138.00,159.10,123.30,138.00,159.10,123.30,138.00,159.10
1976-01-01,-106.88,49.71,126.60,137.50,153.00,126.60,138.50,153.00,126.60,137.50,153.00
1977-01-01,-106.88,49.71,117.10,134.50,152.00,117.10,134.50,152.00,117.10,134.50,152.00
1978-01-01,-106.88,49.71,126.60,135.00,155.40,126.60,135.00,155.70,126.30,134.50,155.70
1979-01-01,-106.88,49.71,126.30,135.00,156.70,126.30,135.00,156.70,126.30,135.00,156.70
1980-01-01,-106.88,49.71,120.20,135.00,154.70,120.20,135.00,154.70,120.20,135.00,154.70
1981-01-01,-106.88,49.71,125.60,133.50,154.40,125.60,133.50,154.40,125.60,133.50,154.40
1982-01-01,-106.88,49.71,122.30,135.00,163.90,122.00,135.50,163.90,122.30,135.00,163.90
1983-01-01,-106.88,49.71,124.90,135.50,160.50,124.90,137.50,160.50,124.90,137.50,160.50
1984-01-01,-106.88,49.71,131.60,142.50,158.00,131.90,141.50,158.00,131.60,143.00,158.00
1985-01-01,-106.88,49.71,126.60,132.50,154.00,128.00,132.50,154.00,126.60,132.50,154.00
1986-01-01,-106.88,49.71,126.60,140.00,159.80,126.00,140.00,156.10,125.20,140.00,159.80
1987-01-01,-106.88,49.71,126.30,139.00,159.10,126.90,137.50,155.80,126.60,138.50,159.10
1988-01-01,-106.88,49.71,123.30,136.50,157.00,123.30,136.50,157.40,123.30,136.50,157.40
1989-01-01,-106.88,49.71,127.00,137.50,158.40,126.30,137.50,158.40,126.30,137.50,158.40
1990-01-01,-106.88,49.71,123.80,142.00,158.40,123.80,142.00,158.40,123.80,142.00,158.40
1991-01-01,-106.88,49.71,125.00,137.50,156.70,125.00,135.50,156.70,125.00,135.50,156.70
1992-01-01,-106.88,49.71,124.60,136.50,150.20,124.30,133.50,150.20,124.30,132.50,150.20
1993-01-01,-106.88,49.71,123.60,139.00,158.70,123.60,139.00,157.80,123.30,139.00,157.40
1994-01-01,-106.88,49.71,122.90,135.00,150.00,122.90,135.00,150.00,122.90,135.00,150.00
1995-01-01,-106.88,49.71,128.30,134.00,158.80,127.30,134.00,158.80,127.30,134.00,158.80
1996-01-01,-106.88,49.71,128.00,143.00,161.30,128.90,144.50,161.30,128.90,145.00,161.30
