time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,49.71,-106.88,-16.84,-13.20,-7.29,-16.84,-13.20,-7.29,-16.84,-13.35,-7.29
1950-02-01,49.71,-106.88,-15.32,-9.06,-2.93,-15.32,-9.06,-2.93,-15.32,-9.06,-2.93
1950-03-01,49.71,-106.88,-8.74,-2.59,1.45,-8.74,-2.59,1.45,-8.74,-2.84,1.45
1950-04-01,49.71,-106.88,1.63,4.24,7.71,1.63,4.24,7.71,1.63,4.24,7.71
1950-05-01,49.71,-106.88,9.06,11.19,13.42,9.06,11.19,13.42,9.06,11.19,13.42
1950-06-01,49.71,-106.88,12.52,16.50,19.77,12.52,16.50,19.77,12.52,16.50,19.77
1950-07-01,49.71,-106.88,17.40,18.81,21.06,17.40,18.81,21.06,17.40,18.86,21.06
1950-08-01,49.71,-106.88,15.62,18.46,21.36,15.62,18.46,21.36,15.62,18.46,21.36
1950-09-01,49.71,-106.88,9.67,11.79,14.62,9.67,11.79,14.62,9.67,11.82,14.62
1950-10-01,49.71,-106.88,2.78,5.56,8.13,2.78,5.56,8.13,2.93,5.56,8.13
1950-11-01,49.71,-106.88,-8.66,-4.09,0.32,-8.66,-4.09,0.32,-8.66,-4.09,0.32
1950-12-01,49.71,-106.88,-14.92,-8.48,-4.07,-14.92,-8.48,-4.07,-14.92,-8.48,-4.07
1951-01-01,49.71,-106.88,-17.49,-12.71,-7.44,-17.49,-12.71,-7.44,-17.49,-12.71,-7.44
1951-02-01,49.71,-106.88,-14.21,-9.49,-4.74,-14.21,-9.49,-4.74,-14.21,-9.49,-4.74
1951-03-01,49.71,-106.88,-8.73,-4.44,1.17,-8.73,-4.44,1.17,-8.73,-4.44,1.09
1951-04-01,49.71,-106.88,1.36,5.31,9.13,1.36,5.31,9.13,1.36,5.31,9.13
1951-05-01,49.71,-106.88,8.81,11.37,13.46,8.81,11.37,13.46,8.81,11.39,13.46
1951-06-01,49.71,-106.88,12.88,15.86,17.78,12.88,15.86,17.78,12.88,15.86,17.78
1951-07-01,49.71,-106.88,16.82,18.64,21.37,16.82,18.64,21.37,16.82,18.64,21.37
1951-08-01,49.71,-106.88,16.51,18.39,20.28,16.51,18.39,20.28,16.51,18.39,20.28
1951-09-01,49.71,-106.88,9.70,12.81,14.80,9.70,12.81,14.80,9.70,12.81,14.80
1951-10-01,49.71,-106.88,3.57,5.19,8.57,3.57,5.19,8.57,3.57,5.22,8.57
1951-11-01,49.71,-106.88,-6.64,-3.72,-0.43,-6.64,-3.72,-0.43,-6.64,-3.72,-0.43
1951-12-01,49.71,-106.88,-14.07,-9.18,-6.01,-14.07,-9.18,-6.01,-14.07,-9.18,-6.01
1952-01-01,49.71,-106.88,-17.54,-14.13,-7.38,-17.54,-14.13,-7.38,-17.54,-14.13,-7.38
1952-02-01,49.71,-106.88,-15.76,-8.71,-3.96,-15.76,-8.71,-3.96,-15.76,-8.87,-3.96
1952-03-01,49.71,-106.88,-9.25,-3.02,1.46,-9.25,-3.02,1.46,-9.25,-3.02,1.46
1952-04-01,49.71,-106.88,1.99,5.42,8.07,1.99,5.42,8.07,1.99,5.42,8.03
1952-05-01,49.71,-106.88,9.19,11.43,13.99,9.19,11.43,13.99,9.21,11.43,13.99
1952-06-01,49.71,-106.88,15.21,16.28,18.53,15.21,16.28,18.53,15.21,16.28,18.53
1952-07-01,49.71,-106.88,17.54,18.88,21.52,17.54,18.88,21.52,17.54,18.88,21.52
1952-08-01,49.71,-106.88,16.79,18.64,20.14,16.79,18.64,20.14,16.79,18.64,20.14
1952-09-01,49.71,-106.88,8.42,12.03,13.52,8.42,12.03,13.52,8.42,12.03,13.52
1952-10-01,49.71,-106.88,0.83,5.43,8.68,0.83,5.43,8.68,0.83,5.43,8.68
1952-11-01,49.71,-106.88,-8.65,-4.23,-1.25,-8.65,-4.23,-1.25,-8.65,-4.23,-1.25
1952-12-01,49.71,-106.88,-15.51,-9.63,-5.76,-15.51,-9.63,-5.76,-15.51,-9.63,-5.76
1953-01-01,49.71,-106.88,-18.76,-13.40,-7.22,-18.76,-13.40,-7.22,-18.76,-13.40,-7.22
