time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-106.88,49.71,7.50,11.94,27.11,7.24,11.93,26.86,7.32,11.94,26.86
1950-02-01,-106.88,49.71,2.78,10.90,19.60,2.78,11.55,20.12,2.78,11.55,19.60
1950-03-01,-106.88,49.71,1.24,7.34,25.73,1.28,7.34,26.27,1.28,7.34,25.38
1950-04-01,-106.88,49.71,3.01,17.29,43.10,2.96,18.36,43.10,2.76,18.36,43.10
1950-05-01,-106.88,49.71,14.96,35.77,71.67,14.96,35.70,70.42,15.01,35.70,70.42
1950-06-01,-106.88,49.71,17.69,82.94,134.09,16.77,83.07,140.13,16.77,83.07,132.89
1950-07-01,-106.88,49.71,11.35,34.08,74.53,11.35,34.13,74.53,11.35,34.13,74.53
1950-08-01,-106.88,49.71,7.23,25.98,58.11,7.06,25.98,56.62,7.08,25.98,58.53
1950-09-01,-106.88,49.71,10.40,33.38,94.02,10.40,33.38,94.02,10.40,33.38,94.02
1950-10-01,-106.88,49.71,6.84,16.55,43.30,6.78,16.55,39.24,6.79,16.55,39.24
1950-11-01,-106.88,49.71,2.21,10.06,23.17,2.21,9.49,21.42,2.21,10.06,21.42
1950-12-01,-106.88,49.71,4.52,18.51,31.88,4.52,18.47,30.87,4.52,18.33,31.76
1951-01-01,-106.88,49.71,4.96,13.05,31.56,4.96,13.05,31.97,4.85,13.05,31.70
1951-02-01,-106.88,49.71,2.41,8.69,25.45,2.39,9.17,26.91,2.39,9.46,26.29
1951-03-01,-106.88,49.71,2.21,8.61,28.75,2.34,8.62,28.75,2.34,8.41,28.75
1951-04-01,-106.88,49.71,7.15,17.72,43.15,7.15,18.11,41.06,7.15,18.11,43.15
1951-05-01,-106.88,49.71,19.02,40.13,81.65,18.83,40.13,82.02,18.76,40.13,82.02
1951-06-01,-106.88,49.71,24.07,77.52,163.20,24.66,77.52,169.76,23.80,77.52,163.15
1951-07-01,-106.88,49.71,27.17,42.68,70.53,27.16,44.67,70.66,27.27,43.89,70.54
1951-08-01,-106.88,49.71,4.99,15.93,54.68,5.00,15.39,56.32,4.99,15.39,56.65
1951-09-01,-106.88,49.71,4.87,34.04,64.11,4.93,34.04,64.76,5.07,34.04,66.01
1951-10-01,-106.88,49.71,0.86,10.58,26.05,0.72,10.58,26.80,0.72,10.58,26.54
1951-11-01,-106.88,49.71,2.47,8.66,15.24,2.53,8.66,14.10,2.53,8.66,14.10
1951-12-01,-106.88,49.71,4.18,14.71,25.87,4.18,14.82,25.87,4.18,14.82,25.87
1952-01-01,-106.88,49.71,6.11,14.04,27.85,6.25,14.74,27.85,6.43,14.74,27.27
1952-02-01,-106.88,49.71,3.99,7.63,15.58,3.99,8.04,16.71,3.99,8.04,16.44
1952-03-01,-106.88,49.71,2.75,9.59,21.20,2.75,9.98,21.20,2.75,9.98,21.20
1952-04-01,-106.88,49.71,2.40,16.30,38.60,2.40,16.31,38.60,2.40,16.31,38.60
1952-05-01,-106.88,49.71,14.66,40.60,91.99,15.22,39.24,91.58,14.72,40.65,91.58
1952-06-01,-106.88,49.71,21.72,64.95,107.28,22.44,66.23,107.28,22.44,64.81,107.28
1952-07-01,-106.88,49.71,16.93,41.53,84.12,16.36,40.48,85.78,18.07,42.03,84.98
1952-08-01,-106.88,49.71,8.81,23.70,66.76,8.73,23.81,56.27,8.75,23.82,56.27
1952-09-01,-106.88,49.71,12.50,36.67,89.99,13.66,37.02,89.99,13.66,37.16,89.99
