time,lat,lon,rcp26_txgt_32_p10,rcp26_txgt_32_p50,rcp26_txgt_32_p90,rcp45_txgt_32_p10,rcp45_txgt_32_p50,rcp45_txgt_32_p90,rcp85_txgt_32_p10,rcp85_txgt_32_p50,rcp85_txgt_32_p90
1950-01-01,49.71,-106.88,3.30,12.00,32.40,3.30,12.00,32.40,3.30,12.00,32.40
1951-01-01,49.71,-106.88,6.00,11.00,24.40,6.00,11.00,24.40,6.00,11.00,24.40
1952-01-01,49.71,-106.88,5.30,12.50,27.20,5.30,12.50,27.20,5.30,12.50,27.20
1953-01-01,49.71,-106.88,2.30,7.00,23.40,2.30,7.00,23.40,2.30,7.00,23.40
1954-01-01,49.71,-106.88,5.00,11.50,25.00,5.00,11.50,25.00,5.00,11.50,25.00
1955-01-01,49.71,-106.88,5.00,10.00,18.70,5.00,10.00,18.70,5.00,10.00,18.70
1956-01-01,49.71,-106.88,2.30,13.00,24.40,2.30,13.00,24.40,2.30,13.00,24.40
1957-01-01,49.71,-106.88,3.00,9.50,19.00,3.00,9.50,19.00,3.00,9.50,19.00
1958-01-01,49.71,-106.88,2.00,9.00,14.70,2.00,9.00,14.70,2.00,9.00,14.70
1959-01-01,49.71,-106.88,1.00,8.00,14.70,1.00,8.00,14.70,1.00,8.00,14.70
1960-01-01,49.71,-106.88,5.00,11.00,20.00,5.00,11.00,20.00,5.00,11.00,20.00
1961-01-01,49.71,-106.88,2.30,7.00,25.00,2.30,7.00,25.00,2.30,7.00,25.00
1962-01-01,49.71,-106.88,1.60,7.50,16.00,1.60,7.50,16.00,1.60,7.50,16.00
1963-01-01,49.71,-106.88,0.30,7.00,21.10,0.30,7.00,21.10,0.30,7.00,21.10
1964-01-01,49.71,-106.88,0.30,5.00,14.00,0.30,5.00,14.00,0.30,5.00,14.00
1965-01-01,49.71,-106.88,2.00,6.50,19.00,2.00,6.50,19.00,2.00,6.50,19.00
1966-01-01,49.71,-106.88,0.60,6.00,18.80,0.60,6.00,18.80,0.60,6.00,18.80
1967-01-01,49.71,-106.88,1.30,9.00,18.40,1.30,9.00,18.40,1.30,9.00,18.40
1968-01-01,49.71,-106.88,3.00,9.50,18.70,3.00,9.50,18.70,3.00,9.50,18.70
1969-01-01,49.71,-106.88,0.00,7.50,21.70,0.00,7.50,21.70,0.00,7.50,21.70
1970-01-01,49.71,-106.88,3.00,9.00,23.40,3.00,9.00,23.40,3.00,9.00,23.40
1971-01-01,49.71,-106.88,0.00,8.00,19.40,0.00,8.00,19.40,0.00,8.00,19.40
1972-01-01,49.71,-106.88,0.30,9.50,19.80,0.30,9.50,19.80,0.30,9.50,19.80
1973-01-01,49.71,-106.88,1.00,5.50,19.80,1.00,5.50,19.80,1.00,5.50,19.80
1974-01-01,49.71,-106.88,1.30,6.50,16.70,1.30,6.50,16.70,1.30,6.50,16.70
1975-01-01,49.71,-106.88,0.60,7.00,18.80,0.60,7.00,18.80,0.60,7.00,18.80
1976-01-01,49.71,-106.88,3.30,11.50,22.00,3.30,11.50,22.00,3.30,11.50,22.00
1977-01-01,49.71,-106.88,2.00,13.50,23.10,2.00,13.50,23.10,2.00,13.50,23.10
1978-01-01,49.71,-106.88,6.30,14.00,24.00,6.30,14.00,24.00,6.30,14.00,24.00
1979-01-01,49.71,-106.88,3.00,10.50,18.40,3.00,10.50,18.40,3.00,10.50,18.40
1980-01-01,49.71,-106.88,1.20,9.50,18.40,1.90,9.50,17.70,1.20,9.50,19.10
1981-01-01,49.71,-106.88,4.00,16.00,30.00,4.00,16.50,31.00,4.30,16.50,30.00
1982-01-01,49.71,-106.88,0.60,9.00,27.20,0.60,9.50,26.90,0.60,9.00,26.50
1983-01-01,49.71,-106.88,1.00,4.50,16.70,1.00,4.50,16.70,1.00,5.50,16.70
1984-01-01,49.71,-106.88,3.90,10.00,29.60,4.60,10.00,29.30,4.60,9.50,29.30
1985-01-01,49.71,-106.88,2.90,9.00,22.00,2.90,10.50,22.00,2.90,9.00,22.00
1986-01-01,49.71,-106.88,2.30,7.00,24.80,2.30,7.00,24.80,2.30,7.00,24.50
1987-01-01,49.71,-106.88,2.60,11.50,24.00,2.60,11.50,24.00,2.60,11.50,24.00
1988-01-01,49.71,-106.88,3.60,14.00,22.00,3.60,13.50,22.00,3.60,14.00,21.40
1989-01-01,49.71,-106.88,7.00,19.00,27.00,7.00,19.50,27.00,7.00,19.00,27.00
1990-01-01,49.71,-106.88,2.00,8.50,35.10,2.00,8.50,35.50,2.00,8.50,35.80
1991-01-01,49.71,-106.88,0.30,12.00,28.70,0.30,12.50,27.70,0.00,12.00,28.00
1992-01-01,49.71,-106.88,0.00,7.50,18.50,0.00,7.50,18.50,0.00,7.50,19.90
1993-01-01,49.71,-106.88,1.30,7.00,22.00,1.30,7.00,22.00,1.30,6.50,22.00
1994-01-01,49.71,-106.88,4.30,13.00,23.80,4.30,13.00,23.80,4.30,13.00,23.10
1995-01-01,49.71,-106.88,6.30,14.50,28.10,6.30,14.00,28.10,6.30,14.00,27.80
1996-01-01,49.71,-106.88,4.90,14.00,23.80,5.20,14.00,23.50,5.20,14.00,23.50
1997-01-01,49.71,-106.88,2.30,11.50,27.10,2.30,12.00,27.10,2.30,12.00,27.10
1998-01-01,49.71,-106.88,5.30,14.00,25.70,5.00,14.00,25.70,5.30,14.00,25.70
1999-01-01,49.71,-106.88,5.30,12.00,21.00,5.30,12.00,21.00,5.00,12.00,21.00
2000-01-01,49.71,-106.88,6.00,13.50,23.00,6.00,14.00,23.40,5.30,14.00,23.70
2001-01-01,49.71,-106.88,5.90,15.50,23.70,5.90,16.00,23.70,5.90,15.50,23.00
2002-01-01,49.71,-106.88,6.30,13.00,25.70,6.30,13.00,26.40,6.00,12.00,26.40
2003-01-01,49.71,-106.88,6.60,14.50,27.20,6.90,13.50,27.50,7.60,14.00,27.50
2004-01-01,49.71,-106.88,3.00,16.00,30.10,3.00,16.00,29.80,3.00,15.50,30.10
2005-01-01,49.71,-106.88,6.00,15.00,29.40,6.00,15.00,29.40,6.00,15.50,29.10
2006-01-01,49.71,-106.88,5.30,14.50,31.00,3.30,15.00,26.00,9.60,20.00,33.10
2007-01-01,49.71,-106.88,3.30,13.00,39.00,5.60,21.50,30.00,10.30,18.00,28.50
2008-01-01,49.71,-106.88,1.90,10.50,21.70,9.00,14.00,34.80,6.30,18.00,31.40
2009-01-01,49.71,-106.88,3.00,16.00,32.30,5.20,19.50,34.70,3.30,16.50,32.80
2010-01-01,49.71,-106.88,2.00,14.00,23.70,2.00,10.50,27.80,3.30,13.00,30.70
2011-01-01,49.71,-106.88,2.60,15.00,27.70,4.90,20.00,30.50,5.00,13.50,25.00
2012-01-01,49.71,-106.88,7.30,17.50,36.80,9.30,18.00,32.70,5.00,16.00,29.00
2013-01-01,49.71,-106.88,2.90,14.50,26.10,5.60,12.00,29.70,5.90,16.00,31.70
2014-01-01,49.71,-106.88,8.30,16.50,31.70,7.30,11.00,28.70,5.20,14.00,29.10
2015-01-01,49.71,-106.88,7.00,18.50,36.40,8.30,18.50,31.10,6.60,18.00,28.70
2016-01-01,49.71,-106.88,9.00,17.50,39.40,3.00,12.50,25.00,5.30,17.00,31.10
2017-01-01,49.71,-106.88,8.20,19.50,35.50,9.30,20.50,29.00,3.30,18.50,27.00
2018-01-01,49.71,-106.88,5.60,14.50,30.20,12.60,22.00,42.40,6.30,19.00,41.10
2019-01-01,49.71,-106.88,4.60,14.00,33.40,9.90,21.00,31.40,7.90,19.00,33.40
2020-01-01,49.71,-106.88,6.30,14.00,37.70,5.60,16.50,39.00,5.40,24.50,40.70
2021-01-01,49.71,-106.88,5.90,22.00,37.70,10.00,19.50,31.70,5.30,14.00,32.90
2022-01-01,49.71,-106.88,5.60,17.50,36.10,8.00,17.00,30.10,6.20,21.50,42.20
2023-01-01,49.71,-106.88,9.00,21.00,34.40,3.30,13.00,29.40,7.80,26.50,45.40
2024-01-01,49.71,-106.88,7.30,22.50,46.10,4.30,13.00,29.70,8.30,23.50,35.70
2025-01-01,49.71,-106.88,8.30,20.50,33.70,8.20,22.50,44.00,9.30,18.50,40.10
2026-01-01,49.71,-106.88,9.00,20.00,33.00,8.50,24.00,42.90,9.90,19.00,34.40
2027-01-01,49.71,-106.88,6.60,22.50,36.70,9.30,26.00,33.00,7.00,21.50,37.00
2028-01-01,49.71,-106.88,9.30,22.50,37.70,2.30,24.50,35.50,9.30,18.50,38.00
2029-01-01,49.71,-106.88,7.60,22.00,37.10,4.60,20.50,43.20,7.00,19.50,43.70
2030-01-01,49.71,-106.88,5.60,21.50,41.70,9.00,27.50,41.50,7.50,24.00,35.70
2031-01-01,49.71,-106.88,7.60,26.50,37.70,9.90,19.50,30.50,8.90,24.50,40.00
2032-01-01,49.71,-106.88,3.90,17.00,32.70,10.30,22.00,37.80,8.90,25.00,40.20
2033-01-01,49.71,-106.88,10.50,22.00,35.00,8.30,23.00,38.70,9.30,19.50,43.60
2034-01-01,49.71,-106.88,10.50,25.00,43.70,14.00,24.50,44.40,7.50,23.00,35.00
2035-01-01,49.71,-106.88,13.90,25.50,45.20,8.60,26.00,36.70,9.60,28.50,50.50
2036-01-01,49.71,-106.88,12.30,21.00,45.40,11.30,25.00,41.20,5.20,28.00,41.00
2037-01-01,49.71,-106.88,6.30,19.00,35.50,10.80,26.00,42.50,13.60,23.50,47.70
2038-01-01,49.71,-106.88,4.00,25.00,38.40,14.60,24.00,42.40,13.00,37.00,47.00
2039-01-01,49.71,-106.88,8.90,18.00,41.00,13.20,23.00,33.00,10.00,28.50,42.70
2040-01-01,49.71,-106.88,7.30,20.00,37.40,4.50,19.00,35.80,9.30,25.50,44.70
2041-01-01,49.71,-106.88,10.30,21.50,46.10,9.30,22.50,48.40,11.30,30.00,49.10
2042-01-01,49.71,-106.88,9.30,22.50,37.70,9.20,26.50,43.20,9.00,24.00,39.00
2043-01-01,49.71,-106.88,9.30,21.00,38.40,12.90,30.00,37.70,4.90,24.50,44.50
2044-01-01,49.71,-106.88,8.30,21.00,37.50,11.00,25.50,40.70,11.60,20.50,31.00
2045-01-01,49.71,-106.88,9.10,23.00,42.80,4.30,21.50,46.30,14.00,27.00,48.00
2046-01-01,49.71,-106.88,8.90,19.50,41.40,13.60,28.00,51.20,10.90,31.50,46.00
2047-01-01,49.71,-106.88,9.00,23.50,44.70,13.30,32.50,50.20,21.60,32.00,50.40
2048-01-01,49.71,-106.88,10.90,21.00,40.00,17.40,34.50,52.10,24.00,29.50,52.70
2049-01-01,49.71,-106.88,12.00,28.00,44.10,8.50,23.00,40.00,24.00,32.00,61.20
2050-01-01,49.71,-106.88,5.30,20.00,40.70,17.30,32.00,45.00,8.60,33.00,48.70
2051-01-01,49.71,-106.88,8.90,24.50,41.00,16.30,29.50,47.80,16.00,27.50,50.80
2052-01-01,49.71,-106.88,12.30,23.50,35.40,12.60,27.00,46.70,12.60,32.00,47.70
2053-01-01,49.71,-106.88,7.30,20.50,45.70,16.60,29.50,44.70,21.00,43.00,59.70
2054-01-01,49.71,-106.88,12.30,29.00,49.40,6.60,26.50,48.70,16.20,40.50,60.90
2055-01-01,49.71,-106.88,14.30,26.50,49.10,13.60,27.50,43.20,16.80,34.50,54.40
2056-01-01,49.71,-106.88,6.60,21.50,38.00,6.40,26.50,44.40,26.30,44.00,62.00
2057-01-01,49.71,-106.88,8.90,20.00,43.60,15.30,33.50,49.50,24.60,40.50,61.10
2058-01-01,49.71,-106.88,12.90,24.50,39.70,20.30,35.00,57.50,26.30,41.50,59.70
2059-01-01,49.71,-106.88,6.00,26.00,55.70,12.00,26.50,44.00,23.10,42.50,56.70
2060-01-01,49.71,-106.88,5.20,20.50,48.00,13.30,30.50,58.50,14.60,40.00,59.90
2061-01-01,49.71,-106.88,7.30,25.50,39.70,14.00,34.00,55.50,12.90,37.00,57.80
2062-01-01,49.71,-106.88,5.90,20.00,43.10,17.60,33.50,48.40,19.10,42.00,57.00
2063-01-01,49.71,-106.88,5.20,18.00,30.40,18.20,37.50,52.00,18.80,41.00,63.00
2064-01-01,49.71,-106.88,14.20,29.00,48.00,11.40,26.50,49.70,16.60,40.50,64.50
2065-01-01,49.71,-106.88,13.00,22.50,32.70,13.00,29.50,54.70,29.00,50.00,67.10
2066-01-01,49.71,-106.88,6.90,21.00,36.40,9.00,34.50,50.10,24.90,51.00,67.00
2067-01-01,49.71,-106.88,6.60,22.00,41.00,13.90,30.00,54.40,23.50,52.50,76.70
2068-01-01,49.71,-106.88,12.00,25.00,37.20,19.60,30.00,43.00,31.80,45.50,66.70
2069-01-01,49.71,-106.88,10.00,25.00,33.80,9.60,34.00,48.40,27.80,48.00,70.70
2070-01-01,49.71,-106.88,10.90,20.00,31.00,13.90,35.50,48.40,25.30,43.00,65.40
2071-01-01,49.71,-106.88,3.50,20.00,37.10,22.90,37.00,59.70,25.50,53.00,69.70
2072-01-01,49.71,-106.88,2.30,22.00,42.90,16.20,34.00,50.70,26.90,46.00,67.40
2073-01-01,49.71,-106.88,11.00,28.50,47.10,20.90,35.50,56.70,31.60,51.00,72.60
2074-01-01,49.71,-106.88,5.90,25.00,46.50,13.20,31.50,55.50,31.80,50.50,66.00
2075-01-01,49.71,-106.88,9.30,20.50,53.90,21.30,33.00,53.70,30.20,49.00,68.90
2076-01-01,49.71,-106.88,7.50,29.00,53.70,16.30,35.50,56.00,34.30,55.00,74.70
2077-01-01,49.71,-106.88,6.30,20.00,32.10,14.60,40.00,63.70,23.30,56.50,78.50
2078-01-01,49.71,-106.88,3.90,16.50,39.40,16.10,37.00,54.70,31.00,58.00,68.80
2079-01-01,49.71,-106.88,8.00,22.50,35.50,10.90,36.00,52.80,32.60,55.00,70.10
2080-01-01,49.71,-106.88,11.30,25.00,44.70,21.30,33.50,48.40,34.00,60.50,76.40
2081-01-01,49.71,-106.88,7.30,25.00,41.80,11.50,29.00,50.90,31.20,58.00,67.70
2082-01-01,49.71,-106.88,7.30,19.50,36.40,16.20,30.50,47.80,43.00,65.50,81.40
2083-01-01,49.71,-106.88,13.00,22.00,39.00,17.30,28.50,54.70,37.00,58.00,77.40
2084-01-01,49.71,-106.88,8.90,22.00,40.70,17.70,35.50,61.50,28.30,55.50,79.10
2085-01-01,49.71,-106.88,10.30,21.00,42.00,14.70,31.50,63.70,40.30,61.50,80.50
2086-01-01,49.71,-106.88,18.00,27.00,47.00,11.20,33.00,48.70,34.10,57.00,81.20
2087-01-01,49.71,-106.88,7.90,22.50,40.00,18.90,32.00,48.60,35.30,58.50,85.90
2088-01-01,49.71,-106.88,10.20,24.50,40.10,10.60,32.00,61.50,45.30,64.00,86.60
2089-01-01,49.71,-106.88,4.60,22.00,41.40,12.90,33.50,60.10,42.20,61.00,86.40
2090-01-01,49.71,-106.88,5.60,22.50,38.00,19.00,34.50,49.80,35.60,65.50,93.20
2091-01-01,49.71,-106.88,5.60,21.50,37.50,17.60,41.00,54.40,47.30,71.50,93.50
2092-01-01,49.71,-106.88,6.60,21.50,33.40,16.60,40.00,64.00,51.30,66.50,83.80
2093-01-01,49.71,-106.88,4.60,21.50,37.70,17.50,33.50,45.50,53.30,70.00,89.70
