time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-107.04,58.87,241.60,253.00,262.40,241.60,253.00,264.40,241.60,254.00,264.40
1951-01-01,-107.04,58.87,242.90,254.50,265.00,242.90,254.00,265.00,242.90,254.00,265.00
1952-01-01,-107.04,58.87,244.00,253.50,267.40,244.00,253.50,267.40,244.00,253.50,267.40
1953-01-01,-107.04,58.87,241.60,252.00,261.70,241.60,252.50,261.70,241.60,252.50,263.40
1954-01-01,-107.04,58.87,239.60,254.00,263.70,239.60,254.00,263.70,239.60,254.00,263.70
1955-01-01,-107.04,58.87,247.60,256.00,266.00,247.60,256.00,266.00,247.60,257.00,266.70
1956-01-01,-107.04,58.87,243.30,252.50,267.50,243.30,252.50,267.50,243.30,254.00,269.00
1957-01-01,-107.04,58.87,244.30,256.50,266.70,244.30,256.00,266.70,244.30,257.00,266.70
1958-01-01,-107.04,58.87,245.80,255.00,263.10,245.80,255.00,263.10,245.80,255.00,263.10
1959-01-01,-107.04,58.87,244.60,255.00,261.00,244.60,255.00,261.00,244.60,255.00,261.00
1960-01-01,-107.04,58.87,244.90,254.00,268.70,244.90,254.00,269.00,246.60,253.50,269.00
1961-01-01,-107.04,58.87,243.00,254.50,266.40,243.00,254.50,265.70,243.00,254.50,267.40
1962-01-01,-107.04,58.87,240.30,256.50,265.40,240.30,256.50,265.40,240.30,256.50,265.40
1963-01-01,-107.04,58.87,248.60,255.00,263.70,248.60,255.00,263.70,248.90,255.00,263.70
1964-01-01,-107.04,58.87,241.20,253.00,261.70,241.20,253.00,261.70,241.20,254.00,261.70
1965-01-01,-107.04,58.87,243.30,253.00,264.10,243.30,253.00,264.10,243.30,253.00,264.10
1966-01-01,-107.04,58.87,251.30,256.00,267.70,251.30,256.00,267.70,249.60,256.00,267.70
1967-01-01,-107.04,58.87,242.30,258.00,264.70,242.30,258.00,264.70,242.30,257.00,264.70
1968-01-01,-107.04,58.87,243.30,253.50,266.70,243.30,253.50,266.70,243.30,253.50,266.70
1969-01-01,-107.04,58.87,245.60,253.00,267.50,245.60,253.00,267.50,247.00,253.00,267.50
1970-01-01,-107.04,58.87,244.30,255.00,262.00,244.30,255.00,262.00,244.30,255.00,262.00
1971-01-01,-107.04,58.87,243.30,254.00,260.00,243.30,254.00,260.00,243.30,254.00,260.00
1972-01-01,-107.04,58.87,245.00,252.00,262.50,245.60,252.50,262.50,245.00,252.00,259.00
1973-01-01,-107.04,58.87,240.30,254.00,267.40,240.30,254.00,267.40,240.30,254.00,267.40
1974-01-01,-107.04,58.87,245.30,254.00,267.70,245.30,256.50,267.70,245.30,256.50,267.70
1975-01-01,-107.04,58.87,243.30,255.50,264.70,243.30,255.50,264.70,243.30,255.50,264.70
1976-01-01,-107.04,58.87,242.30,254.00,268.10,242.30,251.00,268.10,242.30,249.00,268.10
1977-01-01,-107.04,58.87,244.00,258.50,270.00,244.00,258.50,270.00,244.00,256.50,270.00
1978-01-01,-107.04,58.87,247.00,253.50,263.70,247.00,253.50,263.70,247.00,255.50,263.70
1979-01-01,-107.04,58.87,250.00,258.50,265.70,250.00,258.50,265.70,250.00,258.00,265.70
1980-01-01,-107.04,58.87,244.90,253.00,265.70,244.90,253.00,265.70,244.90,253.00,265.70
1981-01-01,-107.04,58.87,246.30,258.50,264.70,246.30,259.50,264.70,245.30,258.50,264.70
1982-01-01,-107.04,58.87,249.30,261.00,267.00,246.90,257.50,266.70,250.30,261.00,267.00
1983-01-01,-107.04,58.87,243.30,255.00,263.70,243.30,255.00,263.70,243.30,255.00,263.70
