time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-107.04,58.87,145.00,154.00,174.00,145.00,154.50,174.00,144.30,154.50,174.00
1951-01-01,-107.04,58.87,141.00,153.50,167.10,141.00,153.50,167.80,141.00,153.50,167.80
1952-01-01,-107.04,58.87,142.60,155.00,162.00,142.60,155.00,162.00,142.60,155.00,162.00
1953-01-01,-107.04,58.87,136.50,155.50,164.40,136.50,154.50,164.40,136.50,154.50,164.40
1954-01-01,-107.04,58.87,138.00,156.50,164.70,138.00,156.50,164.00,138.00,156.50,164.00
1955-01-01,-107.04,58.87,142.00,155.50,168.10,142.00,155.50,168.10,142.30,156.00,168.10
1956-01-01,-107.04,58.87,142.50,156.50,163.00,142.50,155.50,162.40,142.50,155.50,162.40
1957-01-01,-107.04,58.87,144.10,155.00,164.70,144.10,155.00,164.70,144.10,155.00,164.70
1958-01-01,-107.04,58.87,138.90,151.00,162.40,138.90,151.00,162.70,138.90,151.00,162.40
1959-01-01,-107.04,58.87,149.00,157.50,169.20,149.30,157.50,169.20,149.30,157.50,169.20
1960-01-01,-107.04,58.87,142.90,147.50,164.40,142.90,147.50,164.40,142.90,147.50,164.40
1961-01-01,-107.04,58.87,138.60,155.50,161.70,138.60,155.50,161.70,138.60,155.50,161.70
1962-01-01,-107.04,58.87,137.60,155.00,168.20,137.60,155.00,168.20,137.60,155.00,168.20
1963-01-01,-107.04,58.87,143.00,152.50,161.80,143.00,152.50,161.20,143.00,152.50,161.80
1964-01-01,-107.04,58.87,146.60,155.50,167.10,146.60,156.00,167.10,146.60,155.50,167.10
1965-01-01,-107.04,58.87,142.00,152.50,162.70,142.00,152.50,162.70,142.00,152.50,162.70
1966-01-01,-107.04,58.87,136.30,154.50,166.10,136.30,155.50,165.40,136.30,156.50,167.70
1967-01-01,-107.04,58.87,149.00,158.00,171.70,149.00,158.00,171.70,149.00,158.00,171.00
