time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,58.87,-107.04,-30.11,-25.02,-21.96,-30.11,-25.02,-21.96,-30.11,-25.02,-21.96
1950-02-01,58.87,-107.04,-25.51,-20.98,-15.43,-25.51,-20.98,-15.43,-25.51,-20.98,-15.43
1950-03-01,58.87,-107.04,-17.88,-12.97,-9.98,-17.88,-12.97,-9.98,-17.88,-12.97,-9.98
1950-04-01,58.87,-107.04,-7.49,-2.67,1.83,-7.49,-2.67,1.83,-7.49,-2.67,1.83
1950-05-01,58.87,-107.04,2.71,5.74,8.52,2.71,5.74,8.52,2.71,5.74,8.52
1950-06-01,58.87,-107.04,10.89,12.28,15.09,10.89,12.28,15.09,10.89,12.28,14.99
1950-07-01,58.87,-107.04,13.59,15.42,16.96,13.59,15.42,16.96,13.59,15.42,16.89
1950-08-01,58.87,-107.04,12.15,13.74,15.74,12.15,13.74,15.74,12.15,13.72,15.74
1950-09-01,58.87,-107.04,5.29,7.32,9.20,5.29,7.32,9.20,5.29,7.32,9.18
1950-10-01,58.87,-107.04,-3.71,0.09,2.62,-3.71,0.09,2.62,-3.61,0.09,2.62
1950-11-01,58.87,-107.04,-18.59,-12.60,-8.39,-18.59,-12.60,-8.39,-18.59,-12.60,-8.42
1950-12-01,58.87,-107.04,-25.35,-19.59,-15.95,-25.35,-19.59,-15.95,-25.35,-19.59,-15.95
1951-01-01,58.87,-107.04,-29.62,-25.53,-20.93,-29.62,-25.53,-20.93,-29.62,-25.53,-20.93
1951-02-01,58.87,-107.04,-29.17,-21.99,-18.07,-29.17,-21.99,-18.07,-29.17,-22.03,-18.07
1951-03-01,58.87,-107.04,-19.89,-14.96,-9.85,-19.89,-14.96,-9.85,-19.89,-14.96,-9.85
1951-04-01,58.87,-107.04,-6.90,-3.25,2.31,-6.90,-3.25,2.31,-6.90,-3.25,2.31
1951-05-01,58.87,-107.04,3.51,6.18,8.40,3.51,6.18,8.40,3.51,6.18,8.40
1951-06-01,58.87,-107.04,10.01,11.49,14.62,10.01,11.49,14.62,10.01,11.49,14.62
1951-07-01,58.87,-107.04,13.01,15.13,16.48,13.01,15.13,16.48,12.97,15.13,16.48
1951-08-01,58.87,-107.04,11.69,13.43,15.37,11.69,13.43,15.37,11.69,13.43,15.37
1951-09-01,58.87,-107.04,5.00,7.37,8.31,5.00,7.37,8.31,5.00,7.37,8.31
1951-10-01,58.87,-107.04,-2.36,-0.84,1.88,-2.36,-0.84,1.88,-2.36,-0.84,1.88
1951-11-01,58.87,-107.04,-15.54,-11.24,-8.92,-15.54,-11.24,-8.92,-15.54,-11.24,-8.92
1951-12-01,58.87,-107.04,-26.24,-20.13,-16.13,-26.24,-20.13,-16.13,-26.24,-20.09,-16.11
1952-01-01,58.87,-107.04,-29.89,-26.08,-21.71,-29.89,-26.08,-21.71,-29.89,-26.08,-21.71
1952-02-01,58.87,-107.04,-24.82,-19.96,-15.36,-24.82,-19.96,-15.36,-24.82,-19.96,-15.36
1952-03-01,58.87,-107.04,-18.82,-15.00,-11.04,-18.82,-15.00,-11.04,-18.82,-15.00,-11.04
1952-04-01,58.87,-107.04,-8.59,-2.54,0.38,-8.59,-2.54,0.38,-8.59,-2.54,0.32
1952-05-01,58.87,-107.04,3.04,5.83,9.26,3.04,5.83,9.26,2.95,5.83,9.26
1952-06-01,58.87,-107.04,10.57,12.43,13.83,10.57,12.43,13.83,10.57,12.43,13.83
1952-07-01,58.87,-107.04,14.04,15.37,17.81,14.04,15.37,17.81,14.04,15.30,17.81
1952-08-01,58.87,-107.04,10.78,13.71,15.24,10.78,13.71,15.24,10.78,13.70,15.24
1952-09-01,58.87,-107.04,4.42,6.32,8.65,4.42,6.32,8.65,4.42,6.32,8.65
1952-10-01,58.87,-107.04,-5.47,-0.07,2.98,-5.47,-0.07,2.98,-5.47,-0.02,2.98
1952-11-01,58.87,-107.04,-17.75,-13.40,-10.16,-17.75,-13.40,-10.16,-17.75,-13.42,-10.16
1952-12-01,58.87,-107.04,-27.33,-21.51,-15.15,-27.33,-21.51,-15.15,-27.33,-21.51,-15.15
1953-01-01,58.87,-107.04,-30.67,-26.53,-22.60,-30.67,-26.53,-22.60,-30.67,-26.53,-22.60
1953-02-01,58.87,-107.04,-25.66,-21.53,-17.44,-25.66,-21.53,-17.44,-25.66,-21.53,-17.44
1953-03-01,58.87,-107.04,-20.86,-17.40,-12.35,-20.86,-17.40,-12.35,-20.86,-17.40,-12.35
1953-04-01,58.87,-107.04,-8.50,-3.61,1.41,-8.50,-3.61,1.41,-8.50,-3.61,1.41
1953-05-01,58.87,-107.04,3.00,4.31,9.04,3.00,4.31,9.04,3.00,4.31,8.81
1953-06-01,58.87,-107.04,10.25,12.28,13.76,10.25,12.28,13.76,10.25,12.28,13.76
1953-07-01,58.87,-107.04,12.86,14.58,16.65,12.86,14.58,16.65,12.86,14.58,16.65
1953-08-01,58.87,-107.04,11.68,13.42,14.98,11.68,13.42,14.98,11.68,13.42,14.98
1953-09-01,58.87,-107.04,4.39,6.52,8.49,4.39,6.52,8.49,4.39,6.52,8.49
1953-10-01,58.87,-107.04,-4.57,-0.46,2.06,-4.57,-0.46,2.06,-4.57,-0.46,2.06
1953-11-01,58.87,-107.04,-14.19,-11.15,-8.39,-14.19,-11.15,-8.39,-14.19,-11.15,-8.39
1953-12-01,58.87,-107.04,-25.12,-20.16,-14.21,-25.12,-20.16,-14.21,-25.12,-20.16,-14.21
1954-01-01,58.87,-107.04,-28.93,-24.81,-19.35,-28.93,-24.81,-19.35,-29.13,-24.81,-19.35
1954-02-01,58.87,-107.04,-26.40,-21.46,-16.32,-26.40,-21.46,-16.32,-26.40,-21.51,-16.32
1954-03-01,58.87,-107.04,-19.71,-14.30,-9.00,-19.71,-14.30,-9.00,-19.71,-14.30,-9.00
1954-04-01,58.87,-107.04,-7.02,-2.70,0.78,-7.02,-2.70,0.78,-7.02,-2.70,0.78
1954-05-01,58.87,-107.04,3.41,5.46,8.72,3.41,5.46,8.72,3.41,5.46,8.72
1954-06-01,58.87,-107.04,9.54,11.69,14.26,9.54,11.69,14.26,9.54,11.69,14.20
1954-07-01,58.87,-107.04,13.32,15.59,17.77,13.32,15.59,17.77,13.32,15.59,17.72
1954-08-01,58.87,-107.04,11.79,14.31,15.24,11.79,14.31,15.24,11.79,14.31,15.24
1954-09-01,58.87,-107.04,5.32,7.09,9.19,5.32,7.09,9.19,5.32,7.09,9.19
1954-10-01,58.87,-107.04,-2.96,-0.03,2.41,-2.96,-0.03,2.41,-2.96,-0.03,2.41
1954-11-01,58.87,-107.04,-16.97,-12.12,-7.92,-16.97,-12.12,-7.92,-16.98,-12.12,-7.92
1954-12-01,58.87,-107.04,-25.42,-20.35,-15.75,-25.42,-20.35,-15.75,-25.38,-20.31,-15.75
1955-01-01,58.87,-107.04,-31.81,-26.47,-22.16,-31.81,-26.47,-22.16,-31.81,-26.47,-22.16
1955-02-01,58.87,-107.04,-26.89,-20.52,-13.27,-26.89,-20.52,-13.27,-26.89,-20.52,-13.27
1955-03-01,58.87,-107.04,-18.49,-14.15,-10.04,-18.49,-14.15,-10.04,-18.49,-14.15,-10.04
1955-04-01,58.87,-107.04,-5.96,-2.81,-0.36,-5.96,-2.81,-0.36,-5.96,-2.81,-0.36
1955-05-01,58.87,-107.04,2.70,6.04,9.25,2.70,6.04,9.25,2.70,6.04,9.25
1955-06-01,58.87,-107.04,9.62,12.27,13.48,9.62,12.27,13.48,9.62,12.18,13.48
1955-07-01,58.87,-107.04,13.17,15.05,17.02,13.17,15.05,17.02,13.17,15.05,17.02
1955-08-01,58.87,-107.04,12.05,13.47,15.67,12.05,13.47,15.67,12.05,13.47,15.67
1955-09-01,58.87,-107.04,5.27,7.24,9.45,5.27,7.24,9.45,5.27,7.24,9.45
1955-10-01,58.87,-107.04,-2.31,-0.31,2.66,-2.31,-0.31,2.66,-2.31,-0.31,2.66
1955-11-01,58.87,-107.04,-17.66,-13.20,-9.15,-17.66,-13.20,-9.15,-17.66,-13.22,-9.15
1955-12-01,58.87,-107.04,-28.25,-20.04,-14.78,-28.25,-20.04,-14.78,-28.25,-20.04,-14.78
1956-01-01,58.87,-107.04,-29.52,-25.78,-21.32,-29.52,-25.78,-21.32,-29.52,-25.78,-21.32
1956-02-01,58.87,-107.04,-25.46,-19.70,-14.12,-25.46,-19.70,-14.12,-25.46,-19.73,-14.12
1956-03-01,58.87,-107.04,-19.41,-12.78,-9.15,-19.41,-12.78,-9.15,-19.53,-12.78,-9.15
1956-04-01,58.87,-107.04,-6.04,-3.70,-0.27,-6.04,-3.70,-0.27,-6.04,-3.80,-0.27
1956-05-01,58.87,-107.04,2.75,5.79,8.00,2.75,5.79,8.00,2.75,5.79,8.00
1956-06-01,58.87,-107.04,10.83,12.20,13.77,10.83,12.20,13.77,10.83,12.20,13.77
1956-07-01,58.87,-107.04,13.36,15.12,17.14,13.36,15.12,17.14,13.36,15.12,17.14
1956-08-01,58.87,-107.04,11.03,14.31,15.62,11.03,14.31,15.62,11.03,14.31,15.62
1956-09-01,58.87,-107.04,4.91,7.11,9.26,4.91,7.11,9.26,4.91,7.11,9.26
1956-10-01,58.87,-107.04,-1.89,-0.18,2.04,-1.89,-0.18,2.04,-1.89,-0.18,2.04
1956-11-01,58.87,-107.04,-16.34,-12.77,-9.26,-16.34,-12.77,-9.26,-16.34,-12.77,-9.26
1956-12-01,58.87,-107.04,-25.34,-20.46,-16.07,-25.34,-20.46,-16.07,-25.34,-20.46,-16.07
1957-01-01,58.87,-107.04,-30.58,-25.61,-22.67,-30.58,-25.61,-22.67,-30.75,-25.61,-22.67
1957-02-01,58.87,-107.04,-26.49,-22.09,-16.57,-26.49,-22.09,-16.57,-26.49,-22.09,-16.57
1957-03-01,58.87,-107.04,-18.68,-14.76,-10.45,-18.68,-14.76,-10.45,-18.68,-14.76,-10.45
1957-04-01,58.87,-107.04,-8.47,-3.73,0.06,-8.47,-3.73,0.06,-8.47,-3.73,0.06
1957-05-01,58.87,-107.04,2.34,5.12,7.39,2.34,5.12,7.39,2.34,5.12,7.39
1957-06-01,58.87,-107.04,9.24,11.11,13.74,9.24,11.11,13.74,9.11,11.11,13.74
1957-07-01,58.87,-107.04,13.82,15.30,17.91,13.82,15.30,17.91,13.79,15.30,17.91
1957-08-01,58.87,-107.04,12.05,13.90,16.18,12.05,13.90,16.18,12.05,13.86,16.18
1957-09-01,58.87,-107.04,4.48,6.76,9.14,4.48,6.76,9.14,4.48,6.76,9.14
1957-10-01,58.87,-107.04,-2.58,0.36,2.80,-2.58,0.36,2.80,-2.58,0.36,2.80
1957-11-01,58.87,-107.04,-18.56,-12.69,-9.62,-18.56,-12.69,-9.62,-18.56,-12.69,-9.62
1957-12-01,58.87,-107.04,-25.28,-22.24,-16.47,-25.28,-22.24,-16.47,-25.28,-22.24,-16.47
1958-01-01,58.87,-107.04,-30.53,-26.45,-22.73,-30.53,-26.45,-22.73,-30.53,-26.45,-22.73
1958-02-01,58.87,-107.04,-26.82,-22.35,-19.70,-26.82,-22.35,-19.70,-26.82,-22.35,-19.70
1958-03-01,58.87,-107.04,-18.76,-15.94,-10.16,-18.76,-15.94,-10.16,-18.76,-15.94,-10.16
1958-04-01,58.87,-107.04,-8.39,-4.59,-0.10,-8.39,-4.59,-0.10,-8.39,-4.59,-0.10
1958-05-01,58.87,-107.04,1.96,6.28,7.79,1.96,6.28,7.79,1.96,6.28,7.79
1958-06-01,58.87,-107.04,10.34,12.24,15.27,10.34,12.24,15.27,10.34,12.24,15.27
1958-07-01,58.87,-107.04,14.02,15.67,17.33,14.02,15.67,17.33,13.90,15.67,17.33
1958-08-01,58.87,-107.04,11.58,13.57,15.12,11.58,13.57,15.12,11.58,13.57,15.12
1958-09-01,58.87,-107.04,4.89,6.85,9.29,4.89,6.85,9.29,4.89,6.85,9.29
1958-10-01,58.87,-107.04,-3.23,-0.67,2.40,-3.23,-0.67,2.40,-3.23,-0.67,2.40
1958-11-01,58.87,-107.04,-14.60,-11.42,-8.67,-14.60,-11.42,-8.67,-14.60,-11.42,-8.67
1958-12-01,58.87,-107.04,-26.98,-21.39,-16.59,-26.98,-21.39,-16.59,-26.98,-21.39,-16.59
1959-01-01,58.87,-107.04,-31.07,-25.13,-20.74,-31.07,-25.13,-20.74,-31.07,-25.13,-20.74
1959-02-01,58.87,-107.04,-26.41,-20.44,-15.46,-26.41,-20.44,-15.46,-26.41,-20.44,-15.46
1959-03-01,58.87,-107.04,-20.21,-15.15,-9.48,-20.21,-15.15,-9.48,-20.21,-15.15,-9.48
1959-04-01,58.87,-107.04,-7.08,-3.74,0.80,-7.08,-3.74,0.80,-7.22,-3.74,0.80
1959-05-01,58.87,-107.04,1.77,4.59,8.05,1.77,4.59,8.05,1.77,4.59,8.05
1959-06-01,58.87,-107.04,9.93,11.51,14.24,9.93,11.51,14.24,9.93,11.51,14.24
1959-07-01,58.87,-107.04,13.61,14.63,17.87,13.61,14.63,17.87,13.53,14.63,17.87
1959-08-01,58.87,-107.04,11.61,12.49,15.06,11.61,12.49,15.06,11.61,12.47,15.06
1959-09-01,58.87,-107.04,4.11,6.60,9.11,4.11,6.60,9.11,4.11,6.60,9.10
1959-10-01,58.87,-107.04,-4.35,-0.82,1.82,-4.35,-0.82,1.82,-4.35,-0.82,1.82
1959-11-01,58.87,-107.04,-16.53,-11.41,-9.13,-16.53,-11.41,-9.13,-16.53,-11.41,-9.13
1959-12-01,58.87,-107.04,-25.81,-21.03,-14.30,-25.81,-21.03,-14.30,-25.81,-21.03,-14.30
1960-01-01,58.87,-107.04,-32.50,-26.28,-22.85,-32.50,-26.28,-22.85,-32.50,-26.28,-22.85
1960-02-01,58.87,-107.04,-26.85,-22.31,-15.37,-26.85,-22.31,-15.37,-26.89,-22.31,-15.37
1960-03-01,58.87,-107.04,-17.99,-14.24,-9.43,-17.99,-14.24,-9.43,-17.99,-14.24,-9.48
1960-04-01,58.87,-107.04,-8.72,-3.93,2.35,-8.72,-3.93,2.35,-8.72,-3.93,2.35
1960-05-01,58.87,-107.04,2.32,4.19,8.81,2.32,4.19,8.81,2.32,4.19,8.81
1960-06-01,58.87,-107.04,10.33,13.31,14.50,10.33,13.31,14.50,10.33,13.31,14.50
1960-07-01,58.87,-107.04,14.02,14.91,17.95,14.02,14.91,17.95,14.02,14.91,17.95
1960-08-01,58.87,-107.04,12.40,14.50,16.53,12.40,14.50,16.53,12.40,14.50,16.53
1960-09-01,58.87,-107.04,5.22,7.57,9.96,5.22,7.57,9.96,5.22,7.57,9.96
1960-10-01,58.87,-107.04,-2.35,-0.36,1.94,-2.35,-0.36,1.94,-2.35,-0.36,1.94
1960-11-01,58.87,-107.04,-16.14,-11.00,-7.47,-16.14,-11.00,-7.47,-16.14,-11.00,-7.47
1960-12-01,58.87,-107.04,-27.13,-21.25,-17.91,-27.13,-21.25,-17.91,-27.05,-21.25,-17.91
1961-01-01,58.87,-107.04,-29.80,-25.67,-19.23,-29.80,-25.67,-19.23,-29.80,-25.67,-19.23
1961-02-01,58.87,-107.04,-27.35,-20.32,-14.75,-27.35,-20.32,-14.75,-27.35,-20.32,-14.75
1961-03-01,58.87,-107.04,-18.34,-13.53,-9.76,-18.34,-13.53,-9.76,-18.34,-13.53,-9.76
1961-04-01,58.87,-107.04,-8.63,-3.54,-0.25,-8.63,-3.54,-0.25,-8.63,-3.54,-0.25
1961-05-01,58.87,-107.04,3.25,6.34,8.83,3.25,6.34,8.83,3.25,6.34,8.83
1961-06-01,58.87,-107.04,10.17,12.39,13.87,10.17,12.39,13.87,10.17,12.39,13.87
1961-07-01,58.87,-107.04,13.97,15.31,16.91,13.97,15.31,16.91,13.97,15.31,16.91
1961-08-01,58.87,-107.04,11.83,13.56,15.50,11.83,13.56,15.50,11.83,13.56,15.50
1961-09-01,58.87,-107.04,5.47,7.60,8.92,5.47,7.60,8.92,5.47,7.60,8.92
1961-10-01,58.87,-107.04,-3.57,-0.29,2.11,-3.57,-0.29,2.11,-3.57,-0.29,2.11
1961-11-01,58.87,-107.04,-16.03,-12.46,-8.97,-16.03,-12.46,-8.97,-16.03,-12.46,-8.97
1961-12-01,58.87,-107.04,-25.55,-21.45,-15.58,-25.55,-21.45,-15.58,-25.51,-21.45,-15.57
1962-01-01,58.87,-107.04,-29.70,-25.79,-22.04,-29.70,-25.79,-22.04,-29.70,-25.79,-22.04
1962-02-01,58.87,-107.04,-27.42,-23.44,-16.50,-27.42,-23.44,-16.50,-27.42,-23.44,-16.50
1962-03-01,58.87,-107.04,-19.01,-16.56,-10.79,-19.01,-16.56,-10.79,-19.01,-16.56,-10.79
1962-04-01,58.87,-107.04,-6.66,-2.34,0.83,-6.66,-2.34,0.83,-6.66,-2.34,0.83
1962-05-01,58.87,-107.04,2.46,6.33,8.66,2.46,6.33,8.66,2.46,6.33,8.66
1962-06-01,58.87,-107.04,10.43,12.27,13.75,10.43,12.27,13.75,10.43,12.27,13.75
1962-07-01,58.87,-107.04,12.66,14.86,15.86,12.66,14.86,15.86,12.66,14.86,15.86
1962-08-01,58.87,-107.04,11.51,13.17,14.51,11.51,13.17,14.51,11.51,13.17,14.51
1962-09-01,58.87,-107.04,4.09,6.53,8.81,4.09,6.53,8.81,4.05,6.53,8.81
1962-10-01,58.87,-107.04,-2.66,-0.42,1.26,-2.66,-0.42,1.26,-2.66,-0.42,1.26
1962-11-01,58.87,-107.04,-16.66,-11.46,-7.82,-16.66,-11.46,-7.82,-16.66,-11.46,-7.82
1962-12-01,58.87,-107.04,-26.89,-21.37,-16.17,-26.89,-21.37,-16.17,-26.89,-21.37,-16.17
1963-01-01,58.87,-107.04,-30.89,-26.55,-22.80,-30.89,-26.55,-22.80,-30.89,-26.55,-22.80
1963-02-01,58.87,-107.04,-26.40,-20.73,-17.26,-26.40,-20.73,-17.26,-26.40,-20.73,-17.26
