time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-107.04,58.87,15.40,23.16,37.16,15.62,23.16,37.16,15.85,23.16,37.16
1950-02-01,-107.04,58.87,10.35,14.60,26.47,10.13,14.52,26.47,10.12,14.52,26.47
1950-03-01,-107.04,58.87,12.25,19.92,33.46,12.25,19.60,33.46,12.25,19.60,33.46
1950-04-01,-107.04,58.87,9.26,15.73,21.78,9.26,15.47,22.83,9.59,15.46,22.69
1950-05-01,-107.04,58.87,10.56,20.15,41.85,10.56,20.32,41.85,10.56,20.32,41.85
1950-06-01,-107.04,58.87,17.79,33.99,63.73,17.79,33.47,63.73,17.79,34.07,63.73
1950-07-01,-107.04,58.87,33.22,57.12,89.83,33.21,56.32,89.03,33.21,56.23,89.03
1950-08-01,-107.04,58.87,23.85,39.88,84.77,24.21,39.97,84.77,24.21,39.17,84.76
1950-09-01,-107.04,58.87,23.64,42.12,88.10,23.28,41.13,88.10,23.62,41.56,88.10
1950-10-01,-107.04,58.87,17.38,26.09,45.88,17.38,25.66,46.39,17.38,25.68,46.08
1950-11-01,-107.04,58.87,14.67,24.01,45.33,14.27,23.72,45.33,14.27,24.21,45.33
1950-12-01,-107.04,58.87,16.57,22.16,39.99,16.57,21.85,39.99,16.29,21.85,39.99
1951-01-01,-107.04,58.87,12.85,20.73,34.09,13.25,21.28,33.77,13.25,20.94,35.10
1951-02-01,-107.04,58.87,11.85,18.23,23.37,11.71,18.23,23.57,11.72,18.23,23.57
1951-03-01,-107.04,58.87,12.38,22.18,30.63,12.38,22.76,29.54,12.38,22.76,30.18
1951-04-01,-107.04,58.87,7.69,15.52,24.66,7.69,15.63,24.32,7.69,15.63,24.37
1951-05-01,-107.04,58.87,15.42,26.77,43.53,15.33,26.77,43.64,15.33,26.77,43.32
1951-06-01,-107.04,58.87,21.12,38.04,61.23,21.12,38.04,61.23,21.12,38.04,61.23
1951-07-01,-107.04,58.87,27.06,55.53,89.59,27.65,53.55,89.59,28.02,53.55,89.59
1951-08-01,-107.04,58.87,21.94,46.74,84.78,22.90,47.43,85.66,22.90,47.51,85.66
1951-09-01,-107.04,58.87,28.09,46.20,64.88,28.09,47.07,64.48,28.09,47.07,65.05
1951-10-01,-107.04,58.87,16.09,27.70,43.51,15.82,27.70,43.51,15.82,27.70,43.51
1951-11-01,-107.04,58.87,15.73,31.02,41.86,16.34,31.12,41.03,15.72,30.91,41.12
1951-12-01,-107.04,58.87,16.53,23.73,34.04,16.53,23.97,33.27,16.53,23.97,33.25
1952-01-01,-107.04,58.87,10.49,20.75,35.56,10.51,20.57,35.56,10.65,20.75,35.62
1952-02-01,-107.04,58.87,9.99,21.01,30.62,9.99,20.54,31.49,9.99,20.60,30.95
1952-03-01,-107.04,58.87,11.08,19.00,32.06,10.88,19.15,32.06,11.30,19.15,32.06
1952-04-01,-107.04,58.87,7.90,20.82,31.77,7.90,20.82,31.77,7.90,20.82,31.77
1952-05-01,-107.04,58.87,10.79,23.95,57.34,10.79,24.04,57.34,10.79,24.04,57.34
1952-06-01,-107.04,58.87,16.75,42.94,61.56,16.71,42.03,60.90,16.84,42.03,61.32
1952-07-01,-107.04,58.87,28.18,49.27,76.46,28.18,48.62,76.46,28.18,49.96,76.46
1952-08-01,-107.04,58.87,21.72,55.68,80.27,21.72,55.91,80.99,21.72,55.97,80.99
1952-09-01,-107.04,58.87,36.57,45.68,73.06,35.80,45.68,72.71,35.80,45.68,73.18
1952-10-01,-107.04,58.87,13.07,29.71,42.07,12.75,29.71,42.07,12.51,29.70,42.07
1952-11-01,-107.04,58.87,12.51,21.57,37.64,12.34,21.90,36.76,12.57,21.61,36.91
1952-12-01,-107.04,58.87,16.34,22.75,35.34,16.50,22.75,34.45,16.50,22.74,34.50
1953-01-01,-107.04,58.87,13.22,21.17,35.18,13.22,21.46,35.33,13.22,21.17,36.60
1953-02-01,-107.04,58.87,9.91,17.28,21.03,9.91,17.28,21.03,9.91,17.28,21.03
1953-03-01,-107.04,58.87,9.32,20.12,30.30,9.34,20.46,30.81,9.21,20.69,30.81
1953-04-01,-107.04,58.87,4.66,15.06,23.49,4.85,15.06,23.49,4.85,15.06,23.49
1953-05-01,-107.04,58.87,12.99,29.14,56.17,13.32,28.20,53.95,13.21,28.21,53.81
1953-06-01,-107.04,58.87,24.68,42.19,69.98,24.68,42.19,70.49,24.68,42.19,71.05
1953-07-01,-107.04,58.87,31.94,55.19,98.00,32.55,53.33,98.00,32.79,54.54,98.00
1953-08-01,-107.04,58.87,37.49,64.08,100.22,37.49,64.45,100.22,37.49,63.52,100.22
1953-09-01,-107.04,58.87,34.58,51.48,89.48,34.33,51.48,89.48,34.59,51.47,89.48
1953-10-01,-107.04,58.87,14.49,25.31,48.32,14.62,25.31,48.32,14.62,25.31,48.32
1953-11-01,-107.04,58.87,13.38,26.41,36.33,13.21,26.41,36.69,13.21,26.41,36.59
1953-12-01,-107.04,58.87,14.70,21.05,28.48,14.77,21.05,28.28,14.56,21.05,28.28
1954-01-01,-107.04,58.87,12.93,21.58,27.76,13.77,21.59,27.76,14.03,21.65,27.76
1954-02-01,-107.04,58.87,10.56,16.79,30.29,10.56,16.91,30.83,10.56,16.91,30.43
1954-03-01,-107.04,58.87,5.73,17.53,28.92,5.90,17.53,29.10,5.90,17.53,28.75
1954-04-01,-107.04,58.87,7.13,14.58,30.63,6.99,14.62,30.54,6.99,14.93,29.68
1954-05-01,-107.04,58.87,14.69,28.34,49.71,14.66,28.42,49.71,14.66,28.42,49.71
1954-06-01,-107.04,58.87,16.63,37.26,58.88,16.72,37.86,58.58,16.71,37.86,59.30
1954-07-01,-107.04,58.87,22.13,56.34,91.37,22.13,53.52,88.41,22.13,53.25,88.65
1954-08-01,-107.04,58.87,31.72,57.06,86.34,31.75,57.06,86.34,31.75,57.06,86.34
1954-09-01,-107.04,58.87,24.70,43.65,58.28,24.68,43.14,58.28,24.70,43.65,58.28
1954-10-01,-107.04,58.87,18.23,33.96,47.73,18.15,33.96,47.72,18.15,33.73,47.73
