time,lon,lat,rcp26_first_fall_frost_p10,rcp26_first_fall_frost_p50,rcp26_first_fall_frost_p90,rcp45_first_fall_frost_p10,rcp45_first_fall_frost_p50,rcp45_first_fall_frost_p90,rcp85_first_fall_frost_p10,rcp85_first_fall_frost_p50,rcp85_first_fall_frost_p90
1950-01-01,-116.71,57.79,239.00,258.50,271.00,239.00,258.50,270.70,239.00,258.50,270.70
1951-01-01,-116.71,57.79,243.00,257.50,268.40,243.00,257.00,268.40,243.00,259.50,268.40
1952-01-01,-116.71,57.79,241.30,256.00,267.10,241.00,256.00,267.10,241.00,256.00,266.80
1953-01-01,-116.71,57.79,236.20,253.00,263.00,236.20,253.00,263.00,236.20,253.00,263.00
1954-01-01,-116.71,57.79,236.90,251.00,264.70,236.90,252.00,264.70,236.90,252.00,264.70
1955-01-01,-116.71,57.79,242.90,256.00,268.70,242.90,255.00,268.70,242.60,255.00,268.70
1956-01-01,-116.71,57.79,245.30,253.00,267.70,245.30,252.00,267.70,245.30,255.50,267.70
1957-01-01,-116.71,57.79,241.90,256.50,269.00,241.90,256.50,269.00,241.90,256.50,269.00
1958-01-01,-116.71,57.79,244.90,254.00,267.50,244.90,252.50,267.50,244.90,254.00,269.00
1959-01-01,-116.71,57.79,246.90,256.50,269.40,245.30,256.50,269.40,245.30,256.50,269.40
1960-01-01,-116.71,57.79,240.30,254.50,271.40,240.30,253.50,271.40,240.30,253.50,271.40
1961-01-01,-116.71,57.79,243.00,257.00,266.00,243.00,256.50,266.00,243.00,257.00,266.00
1962-01-01,-116.71,57.79,239.30,256.50,266.40,239.30,256.50,265.70,239.30,256.50,265.70
1963-01-01,-116.71,57.79,243.60,254.50,265.70,243.60,254.50,265.70,243.60,254.50,265.70
1964-01-01,-116.71,57.79,238.30,253.50,269.80,238.30,253.50,269.80,238.30,253.50,266.40
1965-01-01,-116.71,57.79,242.30,255.50,264.00,240.60,255.50,264.00,242.30,255.50,264.00
1966-01-01,-116.71,57.79,244.00,255.50,266.70,244.00,255.50,266.70,244.00,255.50,266.00
1967-01-01,-116.71,57.79,243.10,260.50,270.70,243.10,260.50,270.70,243.10,260.50,270.70
1968-01-01,-116.71,57.79,243.30,256.50,264.70,243.30,256.50,264.70,243.30,256.50,264.70
1969-01-01,-116.71,57.79,247.00,255.50,265.80,247.00,255.50,265.80,247.00,255.50,265.80
1970-01-01,-116.71,57.79,245.30,255.50,269.70,245.30,256.00,266.90,245.30,256.00,266.90
1971-01-01,-116.71,57.79,240.00,254.50,264.10,240.60,254.50,264.10,240.60,254.00,264.10
1972-01-01,-116.71,57.79,243.50,254.50,265.70,243.50,256.00,265.00,243.50,257.00,265.70
1973-01-01,-116.71,57.79,236.20,253.00,266.70,236.20,253.00,266.70,236.20,253.00,266.00
1974-01-01,-116.71,57.79,241.30,251.50,266.70,241.30,251.50,266.70,241.30,251.50,266.70
1975-01-01,-116.71,57.79,240.60,256.50,269.80,240.60,256.50,269.80,240.60,256.50,269.80
1976-01-01,-116.71,57.79,238.20,256.50,268.00,237.90,256.50,268.00,237.90,255.50,268.00
1977-01-01,-116.71,57.79,241.50,257.00,269.70,241.50,257.00,269.70,241.50,257.00,269.00
1978-01-01,-116.71,57.79,239.30,251.00,262.70,239.30,251.00,262.70,240.60,251.00,262.70
1979-01-01,-116.71,57.79,242.30,256.50,263.80,242.30,258.00,265.70,242.30,256.50,265.70
1980-01-01,-116.71,57.79,245.30,259.50,266.70,243.60,256.50,266.70,245.00,256.50,266.70
1981-01-01,-116.71,57.79,240.20,253.00,268.70,240.20,253.00,268.70,240.20,253.00,268.70
1982-01-01,-116.71,57.79,239.20,256.00,267.00,239.20,256.00,267.00,239.20,256.00,267.00
1983-01-01,-116.71,57.79,236.10,255.50,267.80,236.10,255.50,267.80,236.10,255.50,267.80
1984-01-01,-116.71,57.79,247.70,260.00,270.40,242.20,258.50,270.40,245.60,259.00,270.40
1985-01-01,-116.71,57.79,239.30,252.00,264.00,239.30,252.00,264.00,237.60,252.00,264.00
1986-01-01,-116.71,57.79,248.00,256.00,266.40,248.00,256.00,266.70,248.30,256.00,266.70
