time,lon,lat,rcp26_last_spring_frost_p10,rcp26_last_spring_frost_p50,rcp26_last_spring_frost_p90,rcp45_last_spring_frost_p10,rcp45_last_spring_frost_p50,rcp45_last_spring_frost_p90,rcp85_last_spring_frost_p10,rcp85_last_spring_frost_p50,rcp85_last_spring_frost_p90
1950-01-01,-116.71,57.79,122.30,142.00,153.70,122.30,138.50,153.70,122.30,138.50,153.70
1951-01-01,-116.71,57.79,123.00,130.50,143.70,123.00,131.50,143.10,123.00,131.50,143.70
1952-01-01,-116.71,57.79,125.60,137.50,157.50,125.60,137.50,157.50,125.60,137.50,157.50
1953-01-01,-116.71,57.79,121.60,134.50,150.10,121.60,134.00,150.10,121.60,134.00,149.40
1954-01-01,-116.71,57.79,127.60,139.00,158.40,127.60,138.50,158.40,127.60,139.00,158.40
1955-01-01,-116.71,57.79,126.00,134.50,155.00,126.00,134.50,155.00,125.30,134.50,155.00
1956-01-01,-116.71,57.79,128.60,142.00,158.70,128.60,142.00,158.70,129.60,145.00,158.70
1957-01-01,-116.71,57.79,126.30,139.00,155.80,126.30,139.00,155.80,126.30,139.00,156.40
1958-01-01,-116.71,57.79,127.00,139.50,158.10,127.30,141.00,158.10,127.30,140.00,158.10
1959-01-01,-116.71,57.79,125.00,136.50,154.20,125.30,135.50,153.90,125.30,136.50,156.70
1960-01-01,-116.71,57.79,116.20,134.00,156.50,119.70,134.00,156.50,119.70,134.00,156.50
1961-01-01,-116.71,57.79,125.00,137.50,156.70,125.00,137.50,156.70,125.00,137.50,156.70
1962-01-01,-116.71,57.79,124.60,134.50,147.00,124.60,135.50,147.00,124.60,135.50,155.40
1963-01-01,-116.71,57.79,126.50,139.00,157.70,126.50,139.00,158.70,126.50,139.50,158.70
1964-01-01,-116.71,57.79,131.30,147.00,154.00,131.30,147.50,154.00,132.30,147.50,154.00
1965-01-01,-116.71,57.79,126.60,136.50,147.40,126.60,136.50,147.40,126.60,136.50,147.40
1966-01-01,-116.71,57.79,126.60,137.00,151.20,126.60,137.00,151.20,126.60,137.00,151.50
1967-01-01,-116.71,57.79,124.00,138.50,154.40,124.00,138.50,155.10,124.00,138.50,155.10
1968-01-01,-116.71,57.79,124.50,141.00,158.70,124.50,139.50,158.70,124.50,139.50,158.70
1969-01-01,-116.71,57.79,126.00,138.00,159.40,126.00,138.00,159.40,126.00,138.50,159.40
1970-01-01,-116.71,57.79,127.00,133.00,162.10,127.00,133.00,162.10,127.00,133.00,162.10
1971-01-01,-116.71,57.79,124.60,135.00,157.80,124.60,135.00,157.80,124.30,135.00,157.80
1972-01-01,-116.71,57.79,124.60,138.50,154.40,124.60,138.50,154.40,124.60,138.50,154.40
