time,lat,lon,rcp26_tg_mean_p10,rcp26_tg_mean_p50,rcp26_tg_mean_p90,rcp45_tg_mean_p10,rcp45_tg_mean_p50,rcp45_tg_mean_p90,rcp85_tg_mean_p10,rcp85_tg_mean_p50,rcp85_tg_mean_p90
1950-01-01,57.79,-116.71,-25.00,-19.71,-15.99,-25.00,-19.71,-15.99,-25.00,-19.71,-15.99
1950-02-01,57.79,-116.71,-18.90,-14.90,-10.48,-18.90,-14.90,-10.48,-18.90,-14.90,-10.48
1950-03-01,57.79,-116.71,-11.47,-7.79,-5.30,-11.47,-7.79,-5.30,-11.47,-7.79,-5.30
1950-04-01,57.79,-116.71,-1.23,3.03,6.13,-1.23,3.03,6.13,-1.23,2.93,6.13
1950-05-01,57.79,-116.71,7.21,9.73,13.19,7.21,9.73,13.19,7.21,9.73,13.19
1950-06-01,57.79,-116.71,11.59,14.06,16.12,11.59,14.06,16.12,11.59,14.06,16.12
1950-07-01,57.79,-116.71,14.62,15.78,18.24,14.62,15.78,18.24,14.62,15.78,18.17
1950-08-01,57.79,-116.71,12.80,14.83,16.83,12.80,14.83,16.83,12.80,14.83,16.83
1950-09-01,57.79,-116.71,7.20,9.45,11.40,7.20,9.45,11.40,7.20,9.45,11.40
1950-10-01,57.79,-116.71,-1.46,2.70,5.02,-1.46,2.70,5.02,-1.46,2.70,5.02
1950-11-01,57.79,-116.71,-17.70,-10.42,-4.57,-17.70,-10.42,-4.57,-17.70,-10.42,-4.57
1950-12-01,57.79,-116.71,-21.40,-16.37,-12.72,-21.40,-16.37,-12.72,-21.40,-16.37,-12.72
1951-01-01,57.79,-116.71,-25.59,-20.56,-14.69,-25.59,-20.56,-14.69,-25.59,-20.56,-14.69
1951-02-01,57.79,-116.71,-24.26,-17.77,-10.71,-24.26,-17.77,-10.71,-24.26,-17.74,-10.71
1951-03-01,57.79,-116.71,-14.05,-8.49,-2.37,-14.05,-8.49,-2.37,-14.05,-8.49,-2.37
1951-04-01,57.79,-116.71,-0.92,2.13,6.13,-0.92,2.13,6.13,-0.92,2.13,6.13
1951-05-01,57.79,-116.71,8.38,10.31,12.36,8.38,10.31,12.36,8.38,10.31,12.36
1951-06-01,57.79,-116.71,13.01,14.68,16.13,13.01,14.68,16.13,13.01,14.68,16.13
1951-07-01,57.79,-116.71,14.70,15.84,18.17,14.70,15.84,18.17,14.59,15.84,18.17
1951-08-01,57.79,-116.71,13.67,14.61,16.37,13.67,14.61,16.37,13.67,14.61,16.37
1951-09-01,57.79,-116.71,8.03,9.15,11.41,8.03,9.15,11.41,8.03,9.15,11.41
1951-10-01,57.79,-116.71,0.27,3.06,4.53,0.27,3.06,4.53,0.27,3.06,4.53
1951-11-01,57.79,-116.71,-12.34,-9.26,-6.07,-12.34,-9.26,-6.07,-12.34,-9.26,-6.05
1951-12-01,57.79,-116.71,-22.76,-15.26,-10.77,-22.76,-15.26,-10.77,-22.76,-15.26,-10.64
1952-01-01,57.79,-116.71,-25.01,-20.83,-17.00,-25.01,-20.83,-17.00,-25.01,-20.83,-17.00
1952-02-01,57.79,-116.71,-20.15,-14.78,-10.26,-20.15,-14.78,-10.26,-20.14,-14.78,-10.26
1952-03-01,57.79,-116.71,-12.79,-8.60,-4.59,-12.79,-8.60,-4.59,-12.79,-8.60,-4.59
1952-04-01,57.79,-116.71,-1.76,2.93,5.53,-1.76,2.93,5.53,-1.76,2.93,5.53
1952-05-01,57.79,-116.71,7.97,9.92,13.03,7.97,9.92,13.03,7.95,9.92,13.03
1952-06-01,57.79,-116.71,12.16,14.54,15.59,12.16,14.54,15.59,12.16,14.54,15.59
