time,lon,lat,rcp26_prcptot_p10,rcp26_prcptot_p50,rcp26_prcptot_p90,rcp45_prcptot_p10,rcp45_prcptot_p50,rcp45_prcptot_p90,rcp85_prcptot_p10,rcp85_prcptot_p50,rcp85_prcptot_p90
1950-01-01,-116.71,57.79,10.79,21.56,35.25,10.79,21.85,36.88,10.79,21.56,37.03
1950-02-01,-116.71,57.79,8.04,18.82,29.59,7.87,19.03,29.59,8.02,18.47,29.59
1950-03-01,-116.71,57.79,6.76,16.29,23.87,5.67,16.18,24.08,5.67,16.28,25.14
1950-04-01,-116.71,57.79,5.74,10.95,25.18,6.21,10.95,25.18,6.21,10.95,25.18
1950-05-01,-116.71,57.79,15.53,36.38,61.24,15.54,36.28,58.80,15.54,36.28,60.58
1950-06-01,-116.71,57.79,28.87,53.63,110.00,28.71,53.63,109.58,28.70,53.63,112.86
1950-07-01,-116.71,57.79,28.04,68.00,118.99,28.04,68.00,115.14,28.04,68.00,115.14
1950-08-01,-116.71,57.79,26.50,50.38,98.50,26.50,51.87,98.33,26.50,51.87,98.50
1950-09-01,-116.71,57.79,15.86,37.52,57.77,15.87,37.52,57.66,16.16,38.52,57.66
1950-10-01,-116.71,57.79,11.36,17.62,34.16,11.46,17.27,35.17,10.55,17.28,34.69
1950-11-01,-116.71,57.79,10.47,18.24,35.32,11.19,18.42,34.28,10.71,18.55,34.28
1950-12-01,-116.71,57.79,12.08,23.01,37.36,12.38,23.01,36.83,12.02,23.01,36.47
1951-01-01,-116.71,57.79,9.30,22.13,31.01,9.66,23.07,31.54,9.66,22.72,31.66
1951-02-01,-116.71,57.79,8.70,19.17,33.14,8.48,19.17,31.39,8.48,19.18,31.40
1951-03-01,-116.71,57.79,7.26,13.97,26.86,7.26,13.97,26.88,7.26,13.63,27.07
1951-04-01,-116.71,57.79,2.58,13.05,23.92,2.58,13.05,24.04,2.58,13.05,24.07
1951-05-01,-116.71,57.79,13.70,40.50,67.73,12.87,40.24,69.47,13.26,39.77,68.62
1951-06-01,-116.71,57.79,22.14,47.75,109.28,22.14,47.75,109.28,22.14,47.75,109.28
1951-07-01,-116.71,57.79,32.44,61.31,112.74,32.53,61.10,112.74,32.53,61.10,112.40
1951-08-01,-116.71,57.79,21.22,42.98,70.06,21.30,42.71,70.61,20.98,42.71,71.07
